project_description,organization_address,funded_amount,community_board,building_number,zip
"Purchase 2-mid-sized four door sedan for use by criminal defense attorney, social workers, and investigators to interview incarcerated clients, interview witnesses, investigate crime scenes, serve process and the like. Clients are based in Upper manhattan","317 Lenox Avenue, 10th Fl.",0.0,CB10,,10027
"Purchase and Installation of audio-visual equipment (computer control systems and software, (20 overhead video projection systems (including hidden screens and ceiling mounted projectors), ans ouund equipment (including amplifiers, pre-amplifiers, mixers,",365 5th Avenue ,200000.0,CB5,,10016
Purchase mobile wireless laptop cartsallowing integration into classroom instruction. Due to overcrowding their computer lab was converted into a  classroom 8 years ago. ,419 West 66th Street,150000.0,CB8,02M183,10065
"Hot water heating piping system will be tested, chemically flushed and replaced as required throughout the building. ",1000 Fifth Avenue ,500000.0,CB8,,10028
"Dermolition/Renovation of the Eastside Loft and hallway on the 7th Floor of the building at 59 East 4th Street in Manhattan for the Offices of Creative Time. (Concrete/masonry, carpentry, architectural woodwork, caulking & firestopping, doors and frames, ","59 East 4th Street, 6th Fl.",100000.0,CB3,,10003
"Demolition and removal of 8 existing light poles and foundations of streetlights on Spring Street, cap conduit, remove junction boxes, asphalt repairs/resurfacing, permeable pavement, permeable concrete pavers, structural soil including excavation, repair","180 Varick Street, Suite 422",0.0,CB2,,10014
"Removal/Demolition of existing, non-historicelements, furniture, cabinetry, architectural mill work, etc.  Application/installation of finishes such as wall, floor and ceiling treatments. Installation/testing of furniture, exhibit interactive technology, ",1 Bowling Green,200000.0,CB1,,10004
"Installation of an irrigation system including water connection and improved drainage by re-grading the surface; removal of the wicket fence around the lawn perimeter, open space will be incorporated for Summer in the square program with weekly lunchtime ","4 Irving Place, Rm. 1428",140000.0,CB5,,10003
"Installation of a new hurricane resistant roof and double hung, storm grade windows for their mainstage theater located at 336 West 20th Street.  This exterior upgrade will protect and preserve 2012 interior improvements.","76 Ninth Avenue, Suite 537",200000.0,CB4,,10011
Purchase 20 interactive Smart Boards and inclusive technology to install in all occupied classrooms.,216 East 120th Street,150000.0,CB11,04M096,10035
"Purchase theatrical lights, dimmers, power and safety cables, clamps, and a light control board and monitor for Pop-Up Classics.","40 West 116th Street, #B1004",48000.0,CB10,,10026
"Upgrade existing electrical outlet in each classroom and create new outlets where necessary, as well as fuse boxes and amp supply will be upgraded.",525 East Houston Street,0.0,CB3,01M696,10002
"Purchase and install two new elevators and boys and girls lockers for gym.  Elevators are constantly breaking down, which causes a dangerous situation in an emergency.  Lockers are unsafe for students to secure their personal items such as jackets, coats, textbooks, etc.","111 East 33rd Street, 8th Fl.",0.0,CB6,02M432 02M620 02M500 02M427,10016
"Renovate the 8,400 square foot firehouse on 125th street.  The concept for the design consists of refinishing the façade and adapting the building,  landmark by NYC Landmarks Preservation Commission, to a new vibrant program that includes a café, gallery space, flexible multi-purpose space, computer center, recording studio, and offices.","408 W 58th St,",0.0,CB11,,10019
"The Friedman’s upgrade to its sound system includes the purchase of a Clear-Com intercom system and amps. These upgrades will provide outstanding levels of audio performance with regard to clarity, reliability and functionality.",261 West 47th Street,0.0,CB5,,10036
"Replace curb and concrete sidewalk, asphalt and concrete replacement/repairs along the garage and plazaroofs and in the garage; disposal of brick planters; waterproofing membrane repair/replacement; refurbishment aof benches and trash receptacles; fence r",2289 Fifth Avenue ,500000.0,CB11,,10037
"Renovation of Upper (3) Floors of its 103 Orchard Street buildingto increase exhibit, education, and administrative spaces, roof repalcement, elevator extension to upper floors, providing wheelchair accessibility to the new exhibit, education, and adminis",91 Orchard Street,230000.0,CB3,,10002
"Install new drop ceilings infrastructure and energy efficient lighting in both centers, updated kitchen in the Youth Center and room dividers for the multi-space rooms---the dining room in the Senior Center and the classrooms in the Youth Center.",415 East 93rd Street,263000.0,CB8,,10128
"Arbrons Arts Center is in need of renovation to prevent water penetration, improve the building's structural integrity, and improve temperature control.  Work includes; scaffolding, repointing, flashingthroughout and window replacement where necessary.",466 Grand Street,325000.0,CB3,,10002
Structurally repair and restore the building's deteriorated roof to include a Teaching Kitchen and Roof garden assassible by elevator extending to the roof.,105 East 22nd Street,0.0,CB10,,10010
"Renovation of school auditorium, replace fire retardent stage curtains, house lights, auditorium chairs, projection screen and equipment ste-up, stage lights and controls.",45 East 81st Street,125000.0,CB8,02M006,10028
"Provide all equipment , furniture, fixtures, and data, security and phone systems for new rented space at 45 Wadsworth Avenue.  ",76 Wadsworth Street,500000.0,CB12,,10033
"Build a science lab equipped with hydroponic farmingtechnology with nutrient film technique, vertical growing systems, integrated pest  management, a fish farm and a rain water cachment system.",111 Columbia Street,200000.0,CB2,01M539,10002
"Redesign and Renovate the art and music wing at SHS = Assessment and design, theater multimedia control center, theater sound system, theater projector TV's (2), theatre lighting upgrade, theater painting, carpet and stage floor replacement, classroom sound system (3), Classroom interactive boards and accessories, classroom painting and other renovations (3), classroom instrument and sheet music storage (3), office renovation, musical instruments, and renovation labor cost.  ",345 Chambers Street,,CB1,02M475,10282
"Replace outdated and inefficient HVAC boiler systems which will include design, technology and plumbing/electrical upgrades to support a high technical system.",466 West 152nd Street,310000.0,CB9,,10031
"Installation of a multi-purpose activity/performance space and audio visual booth, two classrooms equipped for a variety of media and technology based training programs, a Teaching Commercial Kitchen in the culinary arts for youth leadership.",1776 Clay Avenue ,0.0,CB3,,10457
