project_title,latitude,longitude,borough,census_tract
Concourse Renovation,40.771414,-73.983201,MANHATTAN,149.0
Electronic Health Record Upgrade,40.707116,-74.007329,MANHATTAN,7.0
Electrical Outlet Upgrade Project,40.719029,-73.975891,MANHATTAN,1002.0
Electronic Medical Records System Upgrade.,40.789687,-73.944267,MANHATTAN,170.0
Smart Board Technology Upgrade Project,40.732447,-73.983031,MANHATTAN,48.0
BBMS(P.S.182) Mobile Laptop Lab,40.793194,-73.942548,MANHATTAN,180.0
Gymnasium Upgrade,40.76337,-73.990593,MANHATTAN,127.0
Mott Hall Teacher Resource and Media Center Upgrade,40.802917,-73.965613,MANHATTAN,195.0
Theatre Upgrade/ Expansion Project,,,,
Subotnick Center Display System Project,40.740601,-73.983389,MANHATTAN,68.0
Safety & Security/ Technology Upgrade Project ,40.838954,-73.936838,MANHATTAN,249.0
Telescoping tiered seating units Project,40.80145,-73.948342,MANHATTAN,190.0
ImagiNATIONS Education Center Project,40.704294,-74.013237,MANHATTAN,9.0
Laptop Cart Upgrade Project,40.85899,-73.922894,MANHATTAN,299.0
Building Renovation/Construction Project,40.718664,-74.004452,MANHATTAN,33.0
Auditorium and Technology Upgrade Project ,40.866706,-73.923948,MANHATTAN,291.0
West 95th Street Lampost Replacement,,,,
Phase II of Roof replacement Project,40.772031,-73.98275,MANHATTAN,149.0
Office Technology Project  ,40.808291,-73.945122,MANHATTAN,222.0
Housing Upgrade Project,40.815052,-73.935936,MANHATTAN,210.0
Street Lamps Project,40.850603,-73.929417,MANHATTAN,269.0
Technological Improvement Project,40.764149,-73.955251,MANHATTAN,116.0
BCCHS Multi-purpose Room Conversion,40.74193,-73.986521,MANHATTAN,56.0
Playground Project,40.802917,-73.965613,MANHATTAN,195.0
Ticket ScannerSystem Project,40.758742,-73.993394,MANHATTAN,115.0
Theatre Renovation Project,40.793842,-73.972393,MANHATTAN,183.0
Multi Use Arts Center Project,40.719206,-73.985447,MANHATTAN,3001.0
"Theatre, Art and Music Wing Renovation Project",40.71759,-74.013748,MANHATTAN,31703.0
Historic Skylights and Dormers Project,40.781312,-73.972254,MANHATTAN,165.0
Building Envelope Renovation Project,40.793072,-73.951992,MANHATTAN,168.0
Freight Elevator Replacement Project,40.706631,-74.003495,MANHATTAN,1502.0
School Student Locker and Elevator Upgrade,40.746176,-73.981241,MANHATTAN,72.0
Roof Restoration Project,40.739265,-73.986215,MANHATTAN,68.0
Media/History Lab Project for Grades 7 & 8,40.792122,-73.951961,MANHATTAN,168.0
Public Service Area Improvement Project,40.730806,-73.987364,MANHATTAN,40.0
Fashion Center Information Kiosk Renovation Project,40.753769,-73.98937,MANHATTAN,113.0
HRP Pier 40 Roof Repair & HRP Clinton Cove Lawn Upgrade,40.729719,-74.010622,MANHATTAN,69.0
Library and Learning Center Upgrades,40.768973,-73.965367,MANHATTAN,120.0
MSM -John C. Borden Auditorium Renovation Project,40.812588,-73.961848,MANHATTAN,211.0
Green Roof & Green House Project,40.775078,-73.953096,MANHATTAN,138.0
School Expansion - Sound Installation Rooms,,,,
Building Renovation Completion Project,40.726785,-73.990807,MANHATTAN,38.0
MTC- Friedman Sound and Lights,40.759974,-73.986428,MANHATTAN,125.0
Auditorium Upgrade Project,40.785287,-73.97343,MANHATTAN,169.0
UA Gateway One-to-One Laptop Program,40.76337,-73.990593,MANHATTAN,127.0
Building Renovation Project,40.73861,-73.997654,MANHATTAN,81.0
Conversion/Renovation Project,40.718252,-73.990181,MANHATTAN,18.0
Laptop and Projector Upgrade,40.761448,-73.988019,MANHATTAN,127.0
Purchase of an ImageStreamX Flow Cytometer machine,40.765386,-73.960171,MANHATTAN,118.0
New Building Project,40.766041,-73.993054,MANHATTAN,135.0
Purchase of a 14-foot hybrid refrigerated truck.,40.746958,-73.985059,MANHATTAN,74.0
Dr. Muriel Petioni Geriatric Center of Excellence,40.814358,-73.940659,MANHATTAN,212.0
125th Street Firehouse,40.768837,-73.985812,MANHATTAN,139.0
Vehicle Purchase and stand Alone Equipment,40.808291,-73.945122,MANHATTAN,222.0
Hudson Guild Children's Renovation Project,40.749196,-74.001815,MANHATTAN,97.0
Network Infrastructure Modernization; Max Bond Center; Wingate Pool Restoration,40.819196,-73.950221,MANHATTAN,21703.0
East River Park Constructed Wetland,,,,
Youth and Senior Center Renovation Completion Project,40.780904,-73.945112,MANHATTAN,152.0
Computer Upgrade Project,40.810928,-73.948938,MANHATTAN,224.0
Times Square Rehabilitation Project,40.703597,-74.009781,MANHATTAN,9.0
Auditorium Seating and Gymnasium Lighting Upgrade,40.729636,-73.983818,MANHATTAN,40.0
