task_start_date,task_description
2023-01-01T00:00:00.000,SUBSTANTIAL COMPLETION
2025-01-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2023-05-01T00:00:00.000,DESIGN
2021-01-01T00:00:00.000,SUBSTANTIAL COMPLETION
2021-12-01T00:00:00.000,DESIGN
2024-11-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2021-01-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2022-09-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2008-02-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2017-01-01T00:00:00.000,CONSTRUCTION TO 75%
2022-09-01T00:00:00.000,CONSTRUCTION
2024-01-01T00:00:00.000,SUBSTANTIAL COMPLETION
2015-05-01T00:00:00.000,PRELIMINARY DESIGN
2021-08-01T00:00:00.000,CONSTRUCTION
2017-11-01T00:00:00.000,FINAL DESIGN
2021-12-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2021-07-01T00:00:00.000,DESIGN
2020-07-01T00:00:00.000,CONSTRUCTION
2023-03-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2023-03-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2014-06-01T00:00:00.000,DEVELOP SCOPE
2022-05-01T00:00:00.000,CONSTRUCTION TO 25%
2023-09-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2015-01-01T00:00:00.000,FINAL DESIGN
2007-01-01T00:00:00.000,CONSTRUCTION TO 50%
2022-03-01T00:00:00.000,CONSTRUCTION
2014-09-01T00:00:00.000,PRELIMINARY DESIGN
2022-04-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2021-07-01T00:00:00.000,FINAL DESIGN
2021-12-01T00:00:00.000,FINAL DESIGN
2014-06-01T00:00:00.000,DEVELOP SCOPE
2023-09-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2022-07-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2022-09-01T00:00:00.000,CONSTRUCTION
2020-09-01T00:00:00.000,CONSTRUCTION
2016-06-01T00:00:00.000,CONSTRUCTION TO 75%
2020-01-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2021-11-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2020-12-01T00:00:00.000,DESIGN
2023-04-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2024-08-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2019-10-01T00:00:00.000,CONSTRUCTION
2021-12-01T00:00:00.000,DESIGN
2015-07-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2023-06-01T00:00:00.000,DEVELOP SCOPE
2023-06-01T00:00:00.000,CONSTRUCTION TO 75%
2017-08-01T00:00:00.000,DESIGN
