lit_start,closed_date,disposition,total_city_payout_amt,docket_index,judge,total_disposition_amt
1983-07-01T00:00:00.000,1983-09-01T00:00:00.000,Administrative Closing,0.0,4267983,,0.0
1982-09-01T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1982-04-16T00:00:00.000,1986-01-01T00:00:00.000,Settlement,0.0,040764-1984,,32700.0
1984-04-25T00:00:00.000,1985-05-01T00:00:00.000,Zero Disposition,0.0,,,0.0
1976-03-31T00:00:00.000,1977-09-20T00:00:00.000,Zero Disposition,0.0,027143-1976,,0.0
1983-11-15T00:00:00.000,1987-04-01T00:00:00.000,Zero Disposition,0.0,82CIV0457,,0.0
1975-06-13T00:00:00.000,1989-01-10T00:00:00.000,Zero Disposition,0.0,,"Lowe, Mary Johnson",0.0
1975-09-05T00:00:00.000,1986-07-11T00:00:00.000,Administrative Closing,0.0,,,0.0
1984-08-03T00:00:00.000,1984-12-06T00:00:00.000,Zero Disposition,0.0,,,0.0
1985-03-14T00:00:00.000,1985-10-15T00:00:00.000,Settlement,0.0,,,26930.67
1982-07-13T00:00:00.000,1987-01-01T00:00:00.000,Zero Disposition,0.0,,,0.0
1980-01-21T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1984-09-11T00:00:00.000,1985-02-01T00:00:00.000,Zero Disposition,0.0,,,0.0
1984-08-06T00:00:00.000,1984-10-01T00:00:00.000,Settlement,0.0,,,2532.96
1975-12-10T00:00:00.000,1993-02-16T00:00:00.000,Zero Disposition,0.0,021539/1986,,0.0
1977-10-17T00:00:00.000,1988-05-24T00:00:00.000,Zero Disposition,0.0,018715/1986,,0.0
1982-05-11T00:00:00.000,1986-10-23T00:00:00.000,Zero Disposition,0.0,009132/1982,,0.0
1985-03-27T00:00:00.000,1987-05-01T00:00:00.000,Zero Disposition,0.0,,,0.0
1982-07-20T00:00:00.000,1985-02-22T00:00:00.000,Zero Disposition,0.0,141429-1982,,0.0
1974-05-02T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1979-01-25T00:00:00.000,1988-10-07T00:00:00.000,Zero Disposition,0.0,002943/1979,,0.0
1983-08-10T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1981-10-28T00:00:00.000,2000-01-27T00:00:00.000,Administrative Closing,0.0,,,0.0
1985-04-01T00:00:00.000,1992-06-09T00:00:00.000,Zero Disposition,0.0,010879/1986,,0.0
1984-08-09T00:00:00.000,1986-01-09T00:00:00.000,Administrative Closing,0.0,42653,"Wolin, Eugene R.",0.0
1981-05-26T00:00:00.000,1984-01-01T00:00:00.000,Zero Disposition,0.0,018567/1981,,0.0
1981-11-10T00:00:00.000,1984-04-01T00:00:00.000,Settlement,0.0,,,4000.0
1983-12-12T00:00:00.000,1989-01-12T00:00:00.000,Administrative Closing,0.0,,,0.0
1984-10-23T00:00:00.000,1985-07-15T00:00:00.000,Zero Disposition,0.0,,,0.0
1985-02-21T00:00:00.000,1986-01-29T00:00:00.000,Settlement,0.0,,,430.0
1982-07-22T00:00:00.000,2007-09-25T00:00:00.000,Administrative Closing,0.0,,,0.0
1984-06-01T00:00:00.000,1986-02-01T00:00:00.000,Settlement,0.0,,,0.0
1981-06-08T00:00:00.000,1981-07-01T00:00:00.000,Zero Disposition,0.0,,,0.0
1978-02-22T00:00:00.000,1985-02-12T00:00:00.000,Zero Disposition,0.0,,,0.0
1984-06-01T00:00:00.000,1985-06-27T00:00:00.000,Administrative Closing,0.0,,,0.0
1982-09-24T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1979-12-21T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1976-02-06T00:00:00.000,2012-04-10T00:00:00.000,Administrative Closing,0.0,006399/1979,,0.0
1985-03-12T00:00:00.000,2001-01-12T00:00:00.000,Administrative Closing,0.0,003565/1985,,0.0
1973-02-08T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1984-03-05T00:00:00.000,1987-04-01T00:00:00.000,Settlement,4860.0,84CIV0425,"Tyler, Joel J.",4860.0
1979-11-26T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,79CIV2861,,0.0
1976-02-13T00:00:00.000,1976-11-01T00:00:00.000,Settlement,0.0,,,21000.0
1983-08-09T00:00:00.000,1984-08-01T00:00:00.000,Zero Disposition,0.0,,,0.0
1983-10-14T00:00:00.000,1986-05-30T00:00:00.000,Zero Disposition,0.0,83CIV4238,,0.0
1977-07-18T00:00:00.000,1987-09-01T00:00:00.000,Administrative Closing,0.0,,,0.0
1981-12-10T00:00:00.000,1984-07-01T00:00:00.000,Settlement,0.0,020585/1982,,60000.0
1984-02-28T00:00:00.000,1996-02-22T00:00:00.000,Settlement,0.0,,,115000.0
1984-08-07T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1984-07-27T00:00:00.000,1986-07-30T00:00:00.000,Zero Disposition,0.0,,"Saxe, David B.",0.0
1983-11-23T00:00:00.000,1985-04-25T00:00:00.000,Order/Judgment (Verdict),1500.0,83CIV7443,,1500.0
1984-01-20T00:00:00.000,1984-07-01T00:00:00.000,Settlement,0.0,,,7875.0
1982-01-29T00:00:00.000,1990-11-29T00:00:00.000,Settlement,0.0,,,1050649.0
1981-02-17T00:00:00.000,1983-11-16T00:00:00.000,Order/Judgment (Verdict),0.0,81CIV385,,0.0
1966-06-07T00:00:00.000,2012-04-13T00:00:00.000,Administrative Closing,0.0,,,0.0
1983-05-13T00:00:00.000,1987-02-17T00:00:00.000,Order/Judgment (Verdict),0.0,005088,,0.0
1983-11-17T00:00:00.000,1986-02-01T00:00:00.000,Zero Disposition,0.0,,,0.0
1983-08-16T00:00:00.000,1984-10-01T00:00:00.000,Settlement,0.0,020751/1983,,16000.0
1984-01-31T00:00:00.000,1984-10-01T00:00:00.000,Settlement,0.0,002397/1984,,85500.0
1985-03-01T00:00:00.000,2012-04-10T00:00:00.000,Administrative Closing,0.0,011064-1979,,0.0
1983-09-29T00:00:00.000,2012-04-05T00:00:00.000,Administrative Closing,0.0,029481-1983,,0.0
1976-12-16T00:00:00.000,1986-11-01T00:00:00.000,Settlement,0.0,016548/1977,,0.0
1984-10-24T00:00:00.000,1985-02-26T00:00:00.000,Zero Disposition,0.0,,,0.0
1980-12-16T00:00:00.000,2000-04-19T00:00:00.000,Administrative Closing,0.0,,,0.0
1981-05-22T00:00:00.000,1984-04-19T00:00:00.000,Settlement,0.0,,,317000.0
1981-07-08T00:00:00.000,1985-08-30T00:00:00.000,Order/Judgment (Verdict),0.0,81CIV2066,,0.0
