deny,date_from
91,2020-07-01T00:00:00.000
183,2023-07-01T00:00:00.000
71,2024-01-01T00:00:00.000
79,2021-01-01T00:00:00.000
2532,2024-07-01T00:00:00.000
4051,2023-01-01T00:00:00.000
61,2024-01-01T00:00:00.000
141,2023-01-01T00:00:00.000
127,2023-01-01T00:00:00.000
3553,2023-01-01T00:00:00.000
1740,2021-01-01T00:00:00.000
117,2021-07-01T00:00:00.000
140,2022-07-01T00:00:00.000
58,2024-07-01T00:00:00.000
2220,2021-01-01T00:00:00.000
3051,2022-07-01T00:00:00.000
1852,2022-01-01T00:00:00.000
2547,2021-07-01T00:00:00.000
1908,2020-01-01T00:00:00.000
2718,2024-01-01T00:00:00.000
1821,2024-07-01T00:00:00.000
3661,2022-07-01T00:00:00.000
116,2020-07-01T00:00:00.000
68,2022-01-01T00:00:00.000
2008,2024-01-01T00:00:00.000
88,2022-01-01T00:00:00.000
2044,2020-07-01T00:00:00.000
1956,2021-07-01T00:00:00.000
2479,2022-01-01T00:00:00.000
91,2021-07-01T00:00:00.000
4242,2023-07-01T00:00:00.000
63,2021-01-01T00:00:00.000
47,2020-01-01T00:00:00.000
2562,2020-07-01T00:00:00.000
52,2024-07-01T00:00:00.000
4074,2023-07-01T00:00:00.000
33,2020-01-01T00:00:00.000
194,2023-07-01T00:00:00.000
1472,2020-01-01T00:00:00.000
109,2022-07-01T00:00:00.000
