pure_subtotal,pure_prov_0_9_mos
0,0
1,0
1,0
2,1
1,1
0,0
0,0
1,0
2,0
258,80
77,0
8,5
1,0
6,1
0,0
2,0
1,0
2,2
65,5
3,3
1,1
0,0
0,0
7,3
1,0
1,1
1,0
2,0
3,0
0,0
2,0
1,0
9,0
2,2
0,0
13,3
5,2
0,0
1,0
7,0
1,0
11,2
1,0
1,1
3,0
2,0
6,2
5,3
20,13
1,0
1,0
2,0
0,0
6,0
5,5
91,21
1,1
8,3
4,1
2,0
5,0
2,0
13,8
3,1
0,0
5,0
3,1
114,40
0,0
3,3
1,0
1,0
1,0
0,0
1,0
13,5
1,1
11,2
0,0
1,0
0,0
2,1
2,2
0,0
1,0
3,1
1,1
0,0
4,3
0,0
4,4
1,0
1,1
3,1
49,9
0,0
1,1
1,0
1,0
0,0
1,0
9,1
0,0
0,0
1,1
1,1
15,13
1,0
2,0
5,2
1,0
17,0
4,0
2,0
5,4
2,1
1,0
1,0
1,0
0,0
3,0
2,0
0,0
1,1
1,0
4,0
1,0
17,1
0,0
1,1
1,0
3,0
11,3
2,2
5,2
3,1
3,0
1,0
1,1
6,0
1,1
9,2
1,1
0,0
1,1
4,1
17,6
0,0
3,0
1,0
1,0
1,1
1,1
1,0
0,0
1,0
3,0
3,3
1,0
0,0
1,1
2,0
1,0
0,0
0,0
180,79
2,0
2,1
1,0
3,1
1,0
18,0
7,4
1,1
0,0
34,7
1,0
1,0
1,0
1,0
4,4
1,0
0,0
7,0
11,3
0,0
1,1
0,0
1,1
12,12
0,0
1,1
2,0
1,0
4,0
6,0
1,0
0,0
44,24
1,0
