step_prov_10_24_mos,step_prov_0_9_mos,agency_code
1,0,21
0,0,57
0,0,57
0,1,56
0,0,2
1,0,56
0,1,9
0,0,57
0,0,56
1,1,19
3,0,56
0,0,8
0,0,2
0,2,15
0,1,15
0,0,15
0,0,15
0,0,57
1,0,17
0,0,15
0,0,41
0,1,57
0,0,41
0,0,2
0,0,57
0,0,11
0,0,56
0,0,15
0,0,15
0,0,56
0,0,25
0,0,41
0,0,4
0,0,10
0,0,57
0,0,15
0,0,2
0,0,15
0,0,41
0,0,15
0,0,56
0,0,4
0,0,2
0,0,56
0,0,15
0,0,15
2,1,41
0,0,56
0,0,56
0,0,10
0,0,56
0,0,15
0,0,56
0,0,41
0,0,15
1,2,2
0,0,2
0,0,56
0,0,30
0,0,15
0,0,15
0,0,15
0,1,56
0,0,9
0,0,57
0,0,4
1,1,25
0,1,17
0,0,56
0,0,41
0,0,57
0,0,56
0,0,15
0,0,15
0,0,15
0,0,30
0,0,56
1,0,57
0,0,56
0,0,56
0,0,25
0,0,56
0,0,30
0,2,56
0,0,57
0,0,8
0,0,30
0,1,56
0,0,56
0,0,2
0,0,56
0,0,15
0,0,56
2,0,57
1,1,4
0,0,25
0,0,56
0,0,57
0,0,2
0,0,56
0,0,56
0,0,2
1,4,56
0,0,57
0,0,11
0,0,2
0,0,30
0,0,4
0,0,57
0,0,25
0,0,15
0,0,56
0,0,56
0,0,56
0,0,56
0,0,25
0,0,11
0,0,56
0,0,57
1,0,56
0,1,15
0,0,15
0,0,56
0,0,41
0,0,15
0,0,56
0,0,2
0,0,2
0,0,57
0,1,56
0,0,15
0,0,57
0,0,30
0,0,25
1,0,2
0,1,15
0,0,56
0,0,56
0,0,56
0,0,15
0,0,56
0,0,19
0,0,56
0,0,25
0,0,9
0,0,57
0,0,25
0,0,15
0,0,15
0,0,25
0,0,57
0,0,41
0,0,15
0,0,41
0,9,56
0,0,41
0,0,56
0,0,56
0,0,15
0,0,25
0,0,2
0,0,57
0,0,56
0,0,57
0,0,56
0,8,2
0,0,30
0,0,25
0,0,56
0,1,4
0,0,57
0,0,4
1,1,41
0,0,15
0,0,25
1,1,19
0,0,57
0,0,2
0,0,11
0,0,56
0,1,56
0,0,56
0,0,57
1,1,9
0,0,15
0,0,56
0,0,15
1,0,9
0,0,17
0,0,41
1,0,41
0,0,15
0,0,15
0,0,9
0,1,56
0,0,15
0,0,2
0,0,57
1,0,9
0,0,2
