postcode,latitude,location_1
10462,40.833586,"{'latitude': '40.833586', 'longitude': '-73.845099'}"
10010,40.737101,"{'latitude': '40.737101', 'longitude': '-73.978306'}"
10301,40.608517,"{'latitude': '40.608517', 'longitude': '-74.102078'}"
10033,40.853466,"{'latitude': '40.853466', 'longitude': '-73.934048'}"
11101,40.75008,"{'latitude': '40.75008', 'longitude': '-73.938208'}"
11201,40.690743,"{'latitude': '40.690743', 'longitude': '-73.988605'}"
11209,40.619931,"{'latitude': '40.619931', 'longitude': '-74.028086'}"
11416,40.684196,"{'latitude': '40.684196', 'longitude': '-73.858495'}"
11201,40.690743,"{'latitude': '40.690743', 'longitude': '-73.988605'}"
10001,40.747629,"{'latitude': '40.747629', 'longitude': '-73.99306'}"
10458,40.860994,"{'latitude': '40.860994', 'longitude': '-73.890073'}"
