matter_id,file_num,name,primary_sponsor
72311,Int 1030-2024,"Requiring the department of transportation to mail notices to, and receive comments from, residents, businesses, and organizations along the route of a proposed bicycle lane project.",Lee
74814,Int 1046-2024,Establishing a pilot program to provide oral appliances to individuals diagnosed with sleep apnea.,Abreu
75119,Int 1144-2024,"Bi-annual reporting of safe havens, shelters and drug treatment centers",Ayala
74556,Int 1080-2024,Requiring the integration of mental health professionals into public service answering points.,Louis
74958,Int 1098-2024,Madison Avenue BID,Powers
74687,Int 1027-2024,Requiring that people in the custody and staff of the DOC have access to gender-affirming items and medical devices.,Hudson
74719,Int 1019-2024,Reporting and publication of mental health emergency response data.,Brannan
74990,Int 1106-2024,Annual study to identify non-operational schools and the subsequent removal of speed cameras from eliminated school speed zones.,Hanks
75085,Int 1147-2024,Requiring the cleaning of medians at least once per quarter.,Brooks-Powers
75178,Int 1145-2024,Requiring that electric bicycles and electric scooters that are part of share systems have speedometers and limit electric speed assistance to new riders.,Brewer
75155,Int 1157-2024,Requiring child protective specialists to provide certain information to parents and other persons legally responsible for the care of children who are the subject of reports of child abuse or maltreatment.,Rivera
74473,Int 1179-2025,Establishing a public outreach and education campaign regarding the availability and use of fentanyl test strips.,Bottcher
75083,Int 1131-2024,Establishment of a task force to study options for making street design and infrastructure safer in consideration of increased use of electric bicycles and related collisions.,Brooks-Powers
75311,Int 1178-2025,"Renaming one thoroughfare in the Borough of Queens, The Live End, and to amend the official map of the city of New York accordingly.",Williams
75246,Int 1193-2025,Requiring home improvement contractors to provide information on required permits to owners and requiring public outreach and education on the watch list of contractors performing work without a permit.,Salaam
75035,Int 1129-2024,Complaints to 311 about overhead wires.,Williams
74718,Int 1068-2024,Establishing rules of decorum for posting on official social media accounts.,Williams
74444,Int 1110-2024,"Information on safe passage routes for students in New York city public schools, and to repeal section two of such local law upon the expiration thereof.",Sanchez
74890,Int 1074-2024,Limited hoist machine operator license requirements for rotating telehandlers.,Farías
72392,Int 1029-2024,Providing local community boards and elected officials with advance notice of planned street closures.,Hudson
75158,Int 1172-2025,Pilot program to establish a pet food pantry.,Holden
75039,Int 1123-2024,Stationary on-street containers for the storage and collection of residential waste.,Hudson
75149,Int 1152-2024,Prohibiting the sale of flavored cigarettes.,Joseph
75059,Int 1128-2024,Construction of ancillary dwelling units.,Sanchez
74725,Int 1041-2024,Outreach campaign to inform parents about their rights in relation to child care programs.,Sanchez
74682,Int 1037-2024,Posting certain information in multiple dwellings containing rent stabilized units.,Nurse
75388,Int 1201-2025,Access to gender-affirming care facilities and a cause of action related to interference with gender-affirming care.,Hanif
75091,Int 1135-2024,Minimum payments to grocery delivery workers.,Gutiérrez
72116,Int 1091-2024,Identifying and explaining the use of tree pits located on streets and in landscaped parks on the tree map.,Brewer
74782,Int 1054-2024,10-year plan to support aging in place.,Hudson
74527,Int 1060-2024,The sale of tianeptine.,Lee
74868,Int 1071-2024,Reporting on domestic violence emergency and tier II shelters.,Ayala
74532,Int 1056-2024,Training for medical personnel in public schools and reporting on participation in such training.,Hudson
73527,Int 1156-2024,Establishing a prevailing wage requirement for covered workers in financially assisted facilities.,Riley
75165,Int 1140-2024,"Annual reporting on firehouse vehicles, equipment and supplies.",Ariola
75262,Int 1186-2025,Requiring the department of sanitation to conduct a study regarding the feasibility of accommodations for religious practices that conflict with set-out times for solid waste and recyclable materials.,Louis
72739,Int 1187-2025,Requiring third-party food delivery services and food service establishments to display sanitary inspection letter grades online.,Louis
75305,Int 1169-2025,Safe collection and disposal of needles and syringes.,Feliz
73682,Int 1063-2024,"Third party transfer program, and to repeal sections 11-425, 11-426, and 11-427 of such code, relating to agreements for payment of delinquent taxes and charges in installments.",Sanchez
75410,Int 1189-2025,Study and report on expediting the child care permitting process.,Menin
75259,Int 1167-2025,Resignation of members of boards of directors of business improvement district management associations.,Farías
74257,Int 1047-2024,Establishing a sleep apnea screening pilot program and public education and outreach campaign.,Abreu
74446,Int 1008-2024,Eliminating the fees for firearm licenses and permits.,Paladino
75072,Int 1191-2025,Requiring a study of and changes to information requested in the supportive housing application.,Nurse
74685,Int 1036-2024,Requiring the DOC to provide reports regarding people in custody who have been ordered to undergo a mental health examination.,Nurse
70882,Int 1180-2025,Capping renewable energy credits to 10% of a building’s electricity emissions in excess of its limit.,De La Rosa
74764,Int 1061-2024,Department of correction report on sexual abuse.,Louis
74724,Int 1033-2024,Education and outreach campaign to enroll students in 3-K and pre-K.,Menin
74772,Int 1052-2024,LGBTQIA+ foster youth experience surveys.,Hudson
72354,Int 1014-2024,Campaign finance board deadlines.,Powers
74850,Int 1095-2024,Requiring the civilian complaint review board to conduct an investigation of any injury or death caused by police action.,Louis
74973,Int 1101-2024,Requiring the police department to provide information and officer training relating to identity theft.,Salaam
74915,Int 1099-2024,Requiring reporting on the impact of algorithmic tools on city employees and changes in employment responsibilities due to algorithmic tools.,Powers
74541,Int 1038-2024,Master plan for the redevelopment of Rikers Island for sustainability and resiliency purposes.,Nurse
75408,Int 1196-2025,Prohibiting the unauthorized depiction of public officials by artificial intelligence.,Williams
73459,Int 1118-2024,Ability of supreme court justices in the twelfth and thirteenth judicial districts to order summary inquiries into official misconduct.,Carr
