matter_id,title,previous_file_number
74725,"A Local Law to amend the administrative code of the city of New York, in relation to an outreach campaign to inform parents about their rights in relation to child care programs",
74683,"A Local Law to amend the administrative code of the city of New York, in relation to quarterly reporting regarding the visitation of incarcerated individuals and requiring the department of correction to record interactions in which an individual is informed about a visitor and refuses to attend the visit",
75119,"A Local Law to amend the administrative code of the city of New York, in relation to bi-annual reporting of safe havens, shelters and drug treatment centers",
74685,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of correction to provide reports regarding people in custody who have been ordered to undergo a mental health examination",
73527,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a prevailing wage requirement for covered workers in financially assisted facilities",Int 1218-2023
75474,"A Local Law to amend the administrative code of the city of New York, in relation to a public information and outreach campaign regarding legal rights and resources available to TGNCNBI individuals",
74958,"A Local Law to amend the administrative code of the city of New York, in relation to increasing the amount to be expended annually in the Madison Avenue business improvement district and amending the district plan of such district to change the method of assessment upon which the district charge is based",
75017,"A Local Law to amend the administrative code of the city of New York, in relation to requiring notification of community boards and elected officials before renewing an emergency shelter contract",
75399,"A Local Law to amend the New York city charter, in relation to requiring the department of investigation to investigate the fire department’s compliance with laws and policies relating to discrimination, harassment, and equal employment opportunity",
72754,"A Local Law to amend the administrative code of the city of New York, in relation to consumer warnings regarding rifles, shotguns, and firearms",Int 1029-2023
74423,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the police department to timely retrieve stored sexual offense evidence collection kits",
74985,"A Local Law to amend the administrative code of the city of New York, in relation to establishing ferry service to LaGuardia and John F. Kennedy International airports",
75158,A Local Law in relation to a pilot program to establish a pet food pantry,
74889,A Local Law in relation to a study and report on fees and costs required to start and maintain a small business,
75000,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the commissioner of transportation to create an online capital project tracker",
72739,"A Local Law to amend the administrative code of the city of New York, in relation to requiring third-party food delivery services and food service establishments to display sanitary inspection letter grades online",Int 1176-2023
73459,"A Local Law to amend the New York city charter, in relation to the ability of supreme court justices in the twelfth and thirteenth judicial districts to order summary inquiries into official misconduct",
74798,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the installation of artificial grass in city parks",
75060,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a pilot program to convert existing basement or cellar apartments to habitable dwelling units",
71312,"A Local Law to amend the administrative code of the city of New York, in relation to community land trust regulatory agreements for the provision of services in addition to housing that benefit the local community",
75144,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a comprehensive stormwater plan and a stormwater dashboard",
72354,"A Local Law to amend the administrative code of the city of New York, in relation to campaign finance board deadlines",
74686,A Local Law in relation to a review of the potential use of lower-strength oleoresin capsicum sprays in facilities operated by the department of correction,
73638,"A Local Law to amend the administrative code of New York, in relation to requiring bicyclists to wear protective headgear",Int 1259-2023
75105,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a program that transfers liability for certain engine idling violations to lessees of vehicles",
75312,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a special inspector of cybersecurity within the department of investigation",
74507,"A Local Law to amend the administrative code of the city of New York, in relation to allowing sick time to be used for the care for certain animals",
75408,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the unauthorized depiction of public officials by artificial intelligence",
75178,"A Local Law to amend the administrative code of the city of New York, in relation to requiring that electric bicycles and electric scooters that are part of share systems have speedometers and limit electric speed assistance to new riders",
74719,"A Local Law to amend the administrative code of the city of New York, in relation to the reporting and publication of mental health emergency response data",
74684,"A Local Law to amend the administrative code of the city of New York, relation to requiring the department of correction to establish, operate and maintain an online scheduling system to facilitate visits to incarcerated individuals",
74924,"A Local Law to amend the administrative code of the city of New York, in relation to the suspension of alternate side of the street parking rules near street work that reduces the number of available parking spaces",
74595,A Local Law in relation to requiring a study and plan regarding naturally occurring retirement communities and aging in place,
74820,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the installation of security cameras in parks",
75310,"A Local Law to amend the administrative code of the city of New York, in relation to a plan to mitigate wildfires in parks under the jurisdiction of the department of parks and recreation",
72146,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting standing or parking a vehicle within 20 feet of a crosswalk at an intersection",
74724,"A Local Law to amend the administrative code of the city of New York, in relation to an education and outreach campaign to enroll students in 3-K and pre-K",
75311,"A Local Law in relation to renaming one thoroughfare in the Borough of Queens, The Live End, and to amend the official map of the city of New York accordingly",
74738,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the operation of shared electric scooter systems on certain streets in the Borough of Queens",
74552,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of education to report on early childhood education seat availability, outreach, and staff vacancies",
75388,"A Local Law to amend the administrative code of the city of New York, in relation to access to gender-affirming care facilities and a cause of action related to interference with gender-affirming care",
75066,A Local Law in relation to a feasibility study of zero-emission port operations,
74532,"A Local Law to amend the administrative code of the city of New York, in relation to training for medical personnel in public schools and reporting on participation in such training",
73615,"A Local Law to amend the administrative code of the city of New York, in relation to regulating the police department’s response to first amendment events",Int 0277-2022
74446,"A Local Law to amend the administrative code of the city of New York, in relation to eliminating the fees for firearm licenses and permits",
