name,modified_date-law_number
"Requiring the commissioner of health and mental hygiene to develop a health agenda to promote the health and wellbeing of transgender, gender nonconforming, nonbinary, and intersex New Yorkers.",2025-03-05T22:27:18.000-nan
Installing pavement markings.,2025-02-26T16:53:24.000-nan
Madison Avenue BID,2025-02-20T22:20:30.000-2025/008
Conducting a complaint based siren sound study in the city.,2025-02-13T18:48:30.000-nan
Geographically targeted regulatory compliance services for small businesses.,2025-02-18T16:30:04.000-nan
"Information on safe passage routes for students in New York city public schools, and to repeal section two of such local law upon the expiration thereof.",2025-02-11T18:25:59.000-nan
"Requiring the chair of the commission on gender equity to develop a plan to support newly arrived migrants 24 years old and younger and transgender, gender non-conforming, non-binary, and intersex newly arrived migrants.",2025-03-05T22:27:04.000-nan
Prohibiting standing or parking a vehicle within 20 feet of a crosswalk at an intersection.,2025-02-18T14:39:27.000-nan
"Renaming one thoroughfare in the Borough of Queens, The Live End, and to amend the official map of the city of New York accordingly.",2025-01-31T14:52:59.000-nan
Creation of a public awareness campaign for the disability rent increase exemption program.,2025-01-31T14:52:53.000-nan
Limiting the amount of liability coverage that the taxi and limousine commission may require for vehicles it licenses.,2025-03-06T14:00:19.000-nan
Requiring the department of sanitation to conduct a study regarding the feasibility of accommodations for religious practices that conflict with set-out times for solid waste and recyclable materials.,2025-02-25T18:24:01.000-nan
Requiring the dept of small business services to conduct a study on the economic impact of film and television production on local businesses and develop a plan to mitigate lost revenue attributable to filming.,2025-02-28T15:14:37.000-nan
Campaign finance board deadlines.,2025-02-21T15:01:40.000-nan
Establishment of a task force to study options for making street design and infrastructure safer in consideration of increased use of electric bicycles and related collisions.,2025-02-11T23:04:50.000-nan
Prohibiting the operation of shared electric scooter systems on certain streets in the Borough of Queens.,2025-02-25T15:29:43.000-nan
Posting certain information in multiple dwellings containing rent stabilized units.,2025-02-25T15:28:23.000-nan
Requiring the DOC to provide reports regarding people in custody who have been ordered to undergo a mental health examination.,2025-02-28T16:15:57.000-nan
Resignation of members of boards of directors of business improvement district management associations.,2025-01-31T14:52:54.000-nan
The sale of tianeptine.,2024-10-25T12:13:04.000-nan
Construction of ancillary dwelling units.,2025-01-13T16:58:03.000-2024/127
Regulation of indirect sources of air pollution.,2025-03-03T02:36:03.000-nan
Establishing rules of decorum for posting on official social media accounts.,2025-02-11T18:15:09.000-nan
Establishing a climate migrant services coordinator,2025-02-28T15:33:11.000-nan
Training for medical personnel in public schools and reporting on participation in such training.,2024-10-30T17:04:26.000-nan
Establishing a pilot program to provide oral appliances to individuals diagnosed with sleep apnea.,2025-02-11T18:10:15.000-nan
Clarifying the requirement that heads of mayoral agencies advise and assist elected officials and bodies of elected officials in regard to matters under the jurisdiction of their agencies.,2025-02-03T14:26:00.000-nan
"Inventory of vacant industrial space, and an estimate of underutilization of industrial space, in significant maritime industrial areas.",2024-12-02T14:08:42.000-nan
"Requiring the provision of official waste containers at no cost to certain residential buildings with 2 or fewer dwelling units, and providing for the repeal of such local law upon the expiration thereof.",2025-02-28T19:00:02.000-nan
Provision of information regarding employment discrimination and older adult workforce programs.,2025-02-25T15:26:00.000-2024/133
Requiring the commissioner of transportation to create an online capital project tracker.,2025-02-11T18:27:18.000-nan
Requiring the cleaning of medians at least once per quarter.,2025-01-23T18:38:50.000-nan
Requiring the integration of mental health professionals into public service answering points.,2024-10-18T19:55:37.000-nan
Requiring the police department to provide information and officer training relating to identity theft.,2025-02-28T20:59:20.000-nan
Requiring police precincts to develop plans for identifying and responding to individuals with special needs.,2024-11-18T15:43:15.000-nan
Requiring an interagency portal to track street vending enforcement.,2025-02-05T23:58:01.000-nan
Prohibiting the installation of artificial grass in city parks.,2025-03-06T14:27:56.000-nan
Installing child with autism warning plaques on streets.,2025-02-05T23:56:40.000-nan
Creating an office of housing development fund company outreach.,2025-03-05T15:03:24.000-nan
Requiring that notices of violation issued by the department of health and mental hygiene during inspections of food service establishments include photographs or video recordings of each violation cited in such notice.,2025-03-06T12:27:01.000-nan
Study on a program to make bridge loans available to awardees of capital funding from the city.,2025-02-11T18:19:21.000-nan
Requiring third-party food delivery services and food service establishments to display sanitary inspection letter grades online.,2025-02-28T15:24:15.000-nan
Requiring borough presidents to provide trainings on legislative processes and rules of parliamentary procedure to local entities.,2024-10-15T15:38:03.000-nan
Race and ethnicity data collected by agencies.,2024-12-16T18:10:53.000-nan
Prohibiting the unauthorized depiction of public officials by artificial intelligence.,2025-03-06T14:07:33.000-nan
Ability of supreme court justices in the twelfth and thirteenth judicial districts to order summary inquiries into official misconduct.,2025-02-03T14:27:48.000-nan
Study and report on the feasibility of direct ferry service to Coney Island.,2025-02-25T15:20:53.000-nan
Prohibiting the sale of certain gift cards that lack chip-and-PIN technology.,2024-10-15T15:38:04.000-nan
Providing notice of applications for stoop line stand licenses to community boards and council members.,2024-11-18T15:43:15.000-nan
Reporting and analysis of pay and employment equity data concerning city contractors.,2025-01-27T18:40:25.000-nan
Supportive housing eligibility for justice involved persons.,2025-02-26T17:37:56.000-nan
Reporting on domestic violence emergency and tier II shelters.,2025-01-13T21:50:17.000-2024/136
"Requiring the department of education to report on early childhood education seat availability, outreach, and staff vacancies.",2025-02-21T14:59:36.000-nan
Requiring the department of education to report on school librarians and library access in New York city public schools.,2025-03-06T14:47:59.000-nan
Requiring bird friendly materials in certain existing buildings.,2025-02-07T13:11:27.000-nan
Establishing a special inspector of cybersecurity within the department of investigation.,2025-02-25T18:24:02.000-nan
