district_manager,latitude,census_tract,borough,bbl,:@computed_region_efsh_h5xi
Jesse Bodine,40.757661,115.0,MANHATTAN,1010320048.0,13094.0
Wally Rubin,40.751359,109.0,MANHATTAN,1007840041.0,11722.0
Jesus Perez,,,,,
Latha Thompson,40.763117,11402.0,MANHATTAN,1013940001.0,12419.0
Andrew Lassalle,40.809259,222.0,MANHATTAN,1019310021.0,12424.0
Susan Stetzer,40.726785,38.0,MANHATTAN,1004600056.0,11724.0
Noah Pfefferblit,40.713001,29.0,MANHATTAN,1001210001.0,11728.0
Bob Gormley,40.727881,5501.0,MANHATTAN,1005330001.0,12075.0
Eutha R. Prince,40.815433,219.0,MANHATTAN,1019820067.0,12424.0
Ebenezer Smith,40.839328,251.0,MANHATTAN,1021240001.0,13090.0
Angel D. Mescain,40.800223,184.0,MANHATTAN,1016230035.0,13093.0
Penny Ryan,40.789078,175.0,MANHATTAN,1012347501.0,12421.0
