address_bbl,addressnumber,address_communitydistrict,address_censustract2020,address_citycouncildistrict,record_type_description
1012700044.0,18,105.0,104.0,4.0,Accident
1008110062.0,152,105.0,109.0,3.0,Accident
1012720047.0,14,105.0,11201.0,4.0,Accident
3024940006.0,16,301.0,56302.0,33.0,Accident
5040820009.0,57,502.0,12804.0,50.0,Incident
2044270012.0,2512,211.0,33202.0,15.0,Accident
4019800033.0,45-12,404.0,413.0,21.0,Incident
1001280002.0,240,101.0,21.0,1.0,Accident
2033190046.0,2880,207.0,40701.0,14.0,Accident
1013160012.0,219,106.0,88.0,4.0,Accident
,255,106.0,88.0,4.0,Accident
2028560011.0,1351,204.0,219.0,16.0,Accident
4022920007.0,48-37,402.0,23501.0,26.0,Accident
2056500001.0,1,228.0,504.0,13.0,Accident
3070500001.0,2930,313.0,342.0,47.0,Incident
4097640063.0,88-06,412.0,44602.0,24.0,Accident
1007730134.0,202,104.0,91.0,3.0,Accident
1012320014.0,211,107.0,171.0,6.0,Accident
2025330029.0,1387,204.0,201.0,16.0,Accident
1004710059.0,188,102.0,41.0,1.0,Incident
1008530002.0,1,105.0,56.0,2.0,Incident
3034330052.0,81,304.0,403.0,37.0,Incident
1009340001.0,480,106.0,66.0,2.0,Accident
1009690001.0,650,106.0,8601.0,4.0,Accident
1013100063.0,126,105.0,100.0,4.0,Accident
3020500100.0,71,302.0,1501.0,35.0,Accident
4102620011.0,109-25,412.0,414.0,27.0,Incident
3010110005.0,445,306.0,139.0,39.0,Accident
3006460043.0,714,307.0,145.0,38.0,Incident
1016607503.0,2005,111.0,180.0,8.0,Accident
1019090009.0,144,110.0,222.0,9.0,Accident
4004140023.0,41-02,401.0,3301.0,26.0,Accident
,6120,311.0,250.0,43.0,Accident
4002670021.0,26-32,402.0,1902.0,26.0,Notification
1008400081.0,58,105.0,84.0,4.0,Accident
3020500100.0,71,302.0,1501.0,35.0,Incident
3068510039.0,2378,311.0,298.0,43.0,Accident
1008650014.0,200,105.0,82.0,4.0,Accident
1005970037.0,533,102.0,37.0,3.0,Incident
3027620014.0,624,301.0,503.0,34.0,Incident
3005380001.0,92,306.0,85.0,38.0,Accident
4115570009.0,98-24,410.0,88.0,32.0,Incident
1004040021.0,534,103.0,34.0,2.0,Incident
4001530007.0,45-45,402.0,23502.0,26.0,Incident
1016607503.0,2005,111.0,180.0,8.0,Incident
3032320005.0,60,304.0,423.0,34.0,Accident
3015540016.0,2440,316.0,367.0,37.0,Accident
1011680044.0,2178,107.0,163.0,6.0,Notification
4002660027.0,43-14,402.0,1902.0,26.0,Accident
2057110045.0,3019,208.0,289.0,11.0,Incident
1012710038.0,712,105.0,104.0,4.0,Accident
3010280007.0,487,306.0,139.0,38.0,Accident
4120990036.0,144-06,412.0,792.0,28.0,Accident
5010360004.0,269,501.0,213.0,49.0,Incident
2028560011.0,1351,204.0,219.0,16.0,Accident
1010100015.0,125,105.0,137.0,6.0,Accident
3004390001.0,498,306.0,11901.0,39.0,Incident
1014397503.0,337,108.0,118.0,5.0,Notification
,15,302.0,21.0,33.0,Accident
,564,309.0,878.0,41.0,Notification
1000650006.0,21,101.0,1502.0,1.0,Incident
2027380002.0,1223,202.0,9301.0,17.0,Accident
2028560011.0,1351,204.0,219.0,16.0,Accident
4066450055.0,147-27,408.0,809.0,24.0,Incident
3025380001.0,18,301.0,565.0,33.0,Incident
1007080065.0,450,104.0,9903.0,3.0,Accident
1000050010.0,25,101.0,9.0,1.0,Accident
1011500037.0,118,107.0,165.0,6.0,Accident
1009690001.0,650,106.0,8601.0,4.0,Accident
1007080065.0,450,104.0,9903.0,3.0,Accident
4049600029.0,35-32,407.0,869.0,20.0,Incident
1005790047.0,310,102.0,37.0,3.0,Accident
3048880033.0,3421,317.0,856.0,40.0,Accident
2028650160.0,1600,205.0,217.0,14.0,Accident
1012610036.0,550,105.0,96.0,4.0,Accident
3072820062.0,3100,313.0,35602.0,48.0,Accident
4049700011.0,133-25,407.0,869.0,20.0,Accident
1012630055.0,32,105.0,96.0,4.0,Accident
3004240001.0,488,306.0,75.0,39.0,Notification
2028650134.0,1600,205.0,217.0,14.0,Accident
1016607503.0,205,111.0,180.0,8.0,Accident
3020950010.0,19,302.0,33.0,35.0,Accident
3024140026.0,320,301.0,551.0,33.0,Accident
1010950011.0,648,104.0,12902.0,3.0,Accident
2028560011.0,1351,204.0,219.0,16.0,Accident
4002670021.0,26-32,402.0,1902.0,26.0,Accident
3012510066.0,40,308.0,339.0,35.0,Incident
4101560014.0,166-36,412.0,444.0,27.0,Incident
2033080092.0,261,207.0,413.0,11.0,Accident
1012830021.0,270,105.0,94.0,4.0,Incident
4002650013.0,42-06,402.0,1902.0,26.0,Accident
1008640047.0,34,106.0,74.0,4.0,Accident
2027770100.0,221 D,202.0,9302.0,17.0,Accident
1000250001.0,55,101.0,9.0,1.0,Incident
1014290045.0,200,108.0,134.0,5.0,Accident
1000010111.0,111,101.0,5.0,1.0,Accident
2022600010.0,138,201.0,1902.0,8.0,Accident
4019180090.0,98-25,404.0,455.0,21.0,Accident
3001610003.0,15,302.0,37.0,33.0,Accident
,564,309.0,878.0,41.0,Incident
2028920034.0,334,205.0,231.0,15.0,Accident
1014610021.0,1233,108.0,116.0,5.0,Notification
3009800077.0,380,306.0,11901.0,39.0,Accident
1000697502.0,90,101.0,1502.0,1.0,Incident
3022280016.0,316,301.0,529.0,33.0,Accident
4121160050.0,133-28,412.0,788.0,28.0,Accident
1013110013.0,126,105.0,11203.0,4.0,Accident
4003670033.0,37-28,401.0,3302.0,26.0,Accident
3020880025.0,240,302.0,3101.0,35.0,Accident
1012760051.0,50,105.0,82.0,4.0,Accident
4161880028.0,148,414.0,938.0,32.0,Accident
4050667508.0,131-02 B,407.0,871.0,20.0,Accident
3020500100.0,71,302.0,1501.0,35.0,Accident
,14,,,,Incident
4049600029.0,35-32,407.0,869.0,20.0,Accident
4008140010.0,35-15,401.0,10701.0,22.0,Accident
4002650013.0,42-06,402.0,1902.0,26.0,Incident
4002650013.0,42-06,402.0,1902.0,26.0,Accident
3045940064.0,955,317.0,882.0,41.0,Incident
3021060035.0,570,302.0,33.0,35.0,Accident
2023440112.0,120,201.0,6301.0,8.0,Accident
1007510020.0,335,104.0,97.0,3.0,Accident
4002660027.0,43-14,402.0,1902.0,26.0,Accident
3006210050.0,721,306.0,5302.0,38.0,Incident
3004450011.0,395,306.0,75.0,39.0,Incident
1012790023.0,343,105.0,94.0,4.0,Incident
2028560011.0,1351,204.0,219.0,16.0,Notification
1020460063.0,2855,110.0,23502.0,9.0,Incident
1012590035.0,520,105.0,96.0,4.0,Incident
3004530001.0,424,306.0,11901.0,39.0,Accident
3070530014.0,2926,313.0,342.0,47.0,Accident
1013420051.0,300,106.0,98.0,4.0,Accident
3020940001.0,625,302.0,33.0,35.0,Accident
1005720041.0,16,102.0,63.0,2.0,Accident
1004260035.0,183,103.0,3601.0,1.0,Accident
,564,309.0,878.0,41.0,Accident
3017567501.0,205,303.0,25901.0,36.0,Incident
1005687501.0,64,102.0,61.0,2.0,Accident
1019890001.0,46,109.0,205.0,7.0,Incident
1004230017.0,327,103.0,18.0,1.0,Incident
1009690001.0,650,106.0,8601.0,4.0,Accident
3022940001.0,16,301.0,557.0,33.0,Incident
2028050063.0,121,205.0,23301.0,14.0,Incident
3071320017.0,2118,315.0,394.0,44.0,Incident
3018180002.0,371,303.0,249.0,36.0,Accident
1012830021.0,270,105.0,94.0,4.0,Accident
3046030001.0,548,309.0,878.0,41.0,Accident
1009780001.0,601,106.0,60.0,4.0,Accident
1006430001.0,90,102.0,79.0,3.0,Accident
3018420015.0,1215,303.0,245.0,36.0,Accident
4003630001.0,37-15,401.0,43.0,26.0,Incident
3025380001.0,18,301.0,565.0,33.0,Incident
1012320014.0,215,107.0,171.0,6.0,Accident
3053220004.0,23,307.0,50401.0,40.0,Incident
1010170001.0,740,105.0,119.0,3.0,Accident
2028560011.0,1351,204.0,219.0,16.0,Accident
1007960013.0,143,104.0,87.0,3.0,Notification
1017340002.0,40,110.0,212.0,9.0,Accident
1004640059.0,3,103.0,38.0,2.0,Incident
4002390111.0,31-28,401.0,17102.0,26.0,Accident
1007340010.0,439,104.0,111.0,3.0,Accident
3015710016.0,1906,316.0,367.0,37.0,Incident
1003977503.0,280,103.0,3002.0,2.0,Accident
1014310046.0,1345,108.0,134.0,5.0,Incident
3011220021.0,880,308.0,203.0,35.0,Notification
3033520023.0,262,304.0,435.0,37.0,Incident
3004450011.0,395,306.0,75.0,39.0,Accident
4100300006.0,97-10,412.0,208.0,27.0,Accident
1010080001.0,149,105.0,137.0,6.0,Incident
1000970003.0,113,101.0,1501.0,1.0,Incident
1012370017.0,206,107.0,175.0,6.0,Incident
1009620108.0,540,106.0,62.0,4.0,Accident
1010070029.0,1345,105.0,137.0,6.0,Incident
4049730006.0,39-03,407.0,871.0,20.0,Accident
2032470070.0,2756,207.0,409.0,11.0,Accident
5031910100.0,40,502.0,9601.0,50.0,Incident
4008140010.0,35-15,401.0,10701.0,22.0,Accident
1016690001.0,1901,111.0,15602.0,8.0,Accident
4004360001.0,23-15,402.0,1903.0,26.0,Accident
4008140010.0,35-15,401.0,10701.0,22.0,Accident
2025720003.0,323,201.0,33.0,8.0,Accident
1013750049.0,667,108.0,11401.0,4.0,Accident
4003830001.0,38-29,401.0,31.0,26.0,Accident
3010417501.0,195,306.0,14101.0,38.0,Incident
3023750012.0,82,301.0,513.0,34.0,Incident
3020500100.0,71,302.0,1501.0,35.0,Accident
1009780001.0,8,106.0,60.0,4.0,Accident
4097960063.0,90-02,412.0,460.0,27.0,Accident
3054370001.0,4609,312.0,476.0,44.0,Accident
4158250007.0,331,414.0,992.0,31.0,Accident
3050900035.0,158,317.0,822.0,40.0,Incident
4002670021.0,26-32,402.0,1902.0,26.0,Accident
1016607503.0,205,111.0,180.0,8.0,Incident
3039647501.0,268,305.0,1198.0,37.0,Accident
,133-45,407.0,871.0,20.0,Accident
3025890001.0,79,301.0,561.0,33.0,Accident
3066650014.0,815,315.0,418.0,44.0,Accident
4002940106.0,28-90,402.0,19902.0,26.0,Accident
3001747502.0,100,302.0,39.0,33.0,Accident
1012720047.0,14,105.0,11201.0,4.0,Accident
