address_nta2020,boro,street
MN0502,Manhattan,WEST 55 STREET
MN0502,Manhattan,WEST 36 STREET
MN0502,Manhattan,WEST 57 STREET
BK0101,Brooklyn,DUPONT STREET
SI0202,Staten Island,MAPLE TERRACE
BX1104,Bronx,BRONX PARK EAST
QN0402,Queens,104 STREET
MN0102,Manhattan,GREENWICH STREET
BX0702,Bronx,JEROME AVENUE
MN0603,Manhattan,EAST 42 STREET
MN0603,Manhattan,EAST 39 STREET
BX0403,Bronx,JEROME AVENUE
QN0202,Queens,48 STREET
BX2891,Bronx,ORCHARD BEACH
BK1302,Brooklyn,WEST 30 STREET
QN1201,Queens,161 STREET
MN0401,Manhattan,WEST 24 STREET
MN0702,Manhattan,WEST 84 STREET
BX0402,Bronx,UNIVERSITY AVENUE
MN0201,Manhattan,GRAND STREET
MN0501,Manhattan,MADISON AVENUE
BK0402,Brooklyn,COOPER STREET
MN0603,Manhattan,SECOND AVENUE
MN0603,Manhattan,1 AVENUE
MN0604,Manhattan,EAST 56 STREET
BK0202,Brooklyn,PRINCE STREET
QN1202,Queens,MERRICK BOULEVARD
BK0602,Brooklyn,5 AVENUE
BK0702,Brooklyn,5 AVENUE
MN1102,Manhattan,3 AVENUE
MN1001,Manhattan,WEST 125 STREET
QN0105,Queens,CRESCENT STREET
BK1101,Brooklyn,15 AVENUE
QN0201,Queens,JACKSON AVENUE
MN0502,Manhattan,WEST 39 STREET
BK0202,Brooklyn,PRINCE STREET
BK1103,Brooklyn,82 STREET
MN0502,Manhattan,MADISON AVENUE
MN0201,Manhattan,GREENWICH STREET
BK0104,Brooklyn,METROPOLITAN AVENUE
BK0601,Brooklyn,centre mall
QN1002,Queens,ALBERT ROAD
MN0303,Manhattan,EAST 11 STREET
QN0202,Queens,46 STREET
MN1102,Manhattan,3 AVENUE
BK0401,Brooklyn,CEDAR STREET
BK1601,Brooklyn,FULTON STREET
MN0702,Manhattan,BROADWAY
QN0201,Queens,QUEENS STREET
BX0802,Bronx,CORLEAR AVENUE
MN0502,Manhattan,5 AVENUE
BK0602,Brooklyn,4 AVENUE
QN1203,Queens,135 AVENUE
SI0106,Staten Island,PORT RICHMOND AVENUE
BX0403,Bronx,JEROME AVENUE
MN0502,Manhattan,WEST 57 STREET
BK0601,Brooklyn,UNION STREET
MN0801,Manhattan,EAST 64 STREET
BK0202,Brooklyn,HUDSON AVENUE
BK1703,Brooklyn,UTICA AVENUE
MN0101,Manhattan,MAIDEN LANE
BX0201,Bronx,SPOFFORD AVENUE
BX0403,Bronx,JEROME AVENUE
QN0801,Queens,JEWEL AVENUE
BK0101,Brooklyn,INDIA STREET
MN0401,Manhattan,11 AVENUE
MN0101,Manhattan,WATER STREET
MN0702,Manhattan,WEST 79 STREET
MN0603,Manhattan,1 AVENUE
MN0401,Manhattan,11 AVENUE
QN0707,Queens,LEAVITT STREET
MN0201,Manhattan,HUDSON STREET
BK1701,Brooklyn,SNYDER AVENUE
BX0501,Bronx,GRAND AVENUE
MN0502,Manhattan,5 AVENUE
BK1302,Brooklyn,OCEAN PARKWAY
QN0707,Queens,37 AVENUE
MN0502,Manhattan,WEST 48 STREET
BK0601,Brooklyn,DEGRAW STREET
BX0501,Bronx,MACOMBS ROAD
MN1102,Manhattan,EAST 110 STREET
BK0203,Brooklyn,ROCKWELL PLACE
BK0102,Brooklyn,KENT AVENUE
MN0402,Manhattan,WEST 48 STREET
BX0403,Bronx,JEROME AVENUE
QN0201,Queens,JACKSON AVENUE
BK0802,Brooklyn,HAMPTON PLACE
QN1201,Queens,JAMAICA AVENUE
BX0702,Bronx,EAST 202 STREET
MN0502,Manhattan,PARK AVENUE
QN0201,Queens,ORCHARD STREET
MN0501,Manhattan,EAST 35 STREET
BX0201,Bronx,MANIDA STREET
MN0101,Manhattan,BROAD STREET
MN0801,Manhattan,EAST 75 STREET
MN0191,Manhattan,ANDES ROAD
BX0101,Bronx,BRUCKNER BOULEVARD
QN0402,Queens,HORACE HARDING EXPRESSWAY
BK0202,Brooklyn,HANOVER PLACE
BK1703,Brooklyn,UTICA AVENUE
BX0502,Bronx,EAST 176 STREET
MN0801,Manhattan,YORK AVENUE
BK0601,Brooklyn,4 AVENUE
MN0101,Manhattan,JOHN STREET
BK0103,Brooklyn,RUTLEDGE STREET
QN1203,Queens,150 STREET
MN0604,Manhattan,EAST 57 STREET
QN0105,Queens,CRESCENT STREET
BK0203,Brooklyn,WILLOUGHBY STREET
MN0502,Manhattan,EAST 42 STREET
QN1403,Queens,BEACH 116 STREET
QN0707,Queens,40 ROAD
BK0202,Brooklyn,PRINCE STREET
,Staten Island,SEAFOAN STREET
QN0707,Queens,LEAVITT STREET
QN0101,Queens,19 AVENUE
QN0201,Queens,ORCHARD STREET
QN0201,Queens,ORCHARD STREET
BK1704,Brooklyn,RUTLAND ROAD
BK0203,Brooklyn,FULTON STREET
BX0401,Bronx,EAST 144 STREET
MN0401,Manhattan,8 AVENUE
QN0201,Queens,QUEENS STREET
BK0601,Brooklyn,CLINTON STREET
BK0601,Brooklyn,CARROLL STREET
MN0502,Manhattan,MADISON AVENUE
BX0403,Bronx,JEROME AVENUE
MN1002,Manhattan,FREDERICK DOUGLAS BOULEVARD
MN0502,Manhattan,5 AVENUE
BK0601,Brooklyn,CARROLL STREET
BK1302,Brooklyn,WEST 25 STREET
MN0604,Manhattan,EAST 50 STREET
BK0203,Brooklyn,FULTON STREET
MN0202,Manhattan,5 AVENUE
MN0302,Manhattan,CHRYSTIE STREET
BK1703,Brooklyn,UTICA AVENUE
BK0301,Brooklyn,VERNON AVENUE
MN0202,Manhattan,UNIVERSITY PLACE
MN0901,Manhattan,CLAREMONT AVENUE
MN0302,Manhattan,BROOME STREET
MN0603,Manhattan,1 avenue
BK0102,Brooklyn,NORTH 11 STREET
BX0502,Bronx,MOUNT HOPE PLACE
BK1501,Brooklyn,OCEAN PARKWAY
BK0301,Brooklyn,NOSTRAND AVENUE
MN0502,Manhattan,PARK AVENUE
BK1703,Brooklyn,UTICA AVENUE
MN0601,Manhattan,EAST 20 STREET
MN0203,Manhattan,GANSEVOORT STREET
BK0301,Brooklyn,FULTON STREET
QN0105,Queens,13 STREET
BK0101,Brooklyn,INDIA STREET
MN0702,Manhattan,WEST 84 STREET
BK0701,Brooklyn,OCEAN PARKWAY
MN0502,Manhattan,8 AVENUE
BX0403,Bronx,JEROME AVENUE
MN0401,Manhattan,WEST 20 STREET
MN1002,Manhattan,WEST 137 STREET
MN0303,Manhattan,ST MARKS PLACE
QN0161,Queens,northern blvd
MN0401,Manhattan,WEST 36 STREET
BK1601,Brooklyn,EASTERN PARKWAY
MN0303,Manhattan,EAST HOUSTON STREET
MN0801,Manhattan,3 AVENUE
BK0801,Brooklyn,ATLANTIC AVENUE
BK0402,Brooklyn,PALMETTO STREET
BK0601,Brooklyn,CARROLL STREET
QN1201,Queens,SUTPHIN BOULEVARD
MN0502,Manhattan,WEST 55 STREET
MN0101,Manhattan,SOUTH STREET
MN0702,Manhattan,WEST 90 STREET
MN0603,Manhattan,1 AVENUE
MN0502,Manhattan,6 AVENUE
QN0707,Queens,COLLEGE POINT BOULEVARD
BX0702,Bronx,RESERVOIR AVENUE
SI0201,Staten Island,WILSON STREET
QN0101,Queens,19 AVENUE
MN1101,Manhattan,1 AVENUE
QN0201,Queens,44 ROAD
QN0101,Queens,19 AVENUE
BX0101,Bronx,JACKSON AVENUE
MN0802,Manhattan,MADISON AVENUE
QN0105,Queens,30 STREET
BK0602,Brooklyn,15 STREET
BK0102,Brooklyn,AINSLIE STREET
BK0202,Brooklyn,PRINCE STREET
MN0601,Manhattan,PETER COOPER ROAD
QN1201,Queens,168 STREET
BK1202,Brooklyn,16 AVENUE
QN1401,Queens,BEACH 35 STREET
BK1701,Brooklyn,MARTENSE STREET
QN0201,Queens,JACKSON AVENUE
MN1102,Manhattan,EAST 110 STREET
BK0502,Brooklyn,BARBEY STREET
QN0707,Queens,39 AVENUE
BK0101,Brooklyn,QUAY STREET
BK1501,Brooklyn,KINGS HIGHWAY
