x,omppropid,subpropertyname,borough,gispropnum,featuretype
998253.261679634,B284,Marc And Jason's Playground,B,B284,Sprinkler
1001606.47642989,B207,Sarsfield Playground,B,B207,Sprinkler
984663.015566214,B099,Lt. Joseph Petrosino Park,B,B099,Sprinkler
994819.04413864,B350,Stroud Playground,B,B350,Sprinkler
1017657.72516721,B246,Jerome Playground,B,B246,Sprinkler
994386.35241872,B073-10,Lincoln Rd Plgd,B,B073,Sprinkler
1008999.98231214,B332,Evergreen Playground,B,B332,Sprinkler
1012057.38466188,B107,Lion's Pride Playground,B,B107,Sprinkler
1015699.01254922,B214-01,Linden Park,B,B214,Sprinkler
1001420.43382297,B057-03,PS 278 Plgd,B,B057,Sprinkler
988599.396144882,B106A,Scarangella Park,B,B106A,Sprinkler
999053.639672055,B088,Herbert Von King Park,B,B088,Sprinkler
999187.73881331,B323,Hattie Carthan Playground,B,B323,Sprinkler
991997.381474882,B244,McDonald Playground,B,B244,Sprinkler
1006358.25432789,B153,South Pacific Playground,B,B153,Sprinkler
1012610.99477513,B097,Sledge Playground,B,B097,Sprinkler
1003540.76291564,B313,El Shabazz Playground,B,B313,Sprinkler
995612.412000457,B043,Greenpoint Playground,B,B043,Sprinkler
996264.326681137,B212,Hot Spot Tot Lot,B,B212,Sprinkler
1008403.19315138,B330,Hickman Playground,B,B330,Sprinkler
973139.627195716,B082-01B,Vinland Plgd,B,B082,Sprinkler
993862.919082388,B169A,Brighton Playground,B,B169A,Sprinkler
1006914.30866196,B139,Heckscher Playground,B,B139,Sprinkler
999697.699735641,B262,Potomac Playground,B,B262,Sprinkler
997861.660756811,B217,Marcy Playground,B,B217,Sprinkler
1001354.68559488,B340,Garden Playground,B,B340,Sprinkler
1000864.89326739,B239,Sheepshead Playground,B,B239,Sprinkler
980945.759549304,B052-03,Leif Ericson Park Playground,B,B052,Sprinkler
997466.514893561,B121,Dodger Playground,B,B121,Sprinkler
995558.490822464,B357,Jackie Robinson Playground,B,B357,Sprinkler
1000272.43907171,B225,St. Andrew's Playground,B,B225,Sprinkler
1003956.56096854,B364,Woods Playground,B,B364,Sprinkler
984438.127892643,B050,Van Voorhees Playground,B,B050,Sprinkler
999196.413664713,B286,Bartlett Playground,B,B286,Sprinkler
1008704.19911105,B362,Chester Playground,B,B362,Sprinkler
998193.186012387,B058-01,Vincent V Abate Plgd,B,B058,Sprinkler
988846.706345811,B169-ZN05B,Coney Island Beach Zone 5b,B,B169,Sprinkler
992763.856976047,B128,Colonel David Marcus Playground,B,B128,Sprinkler
1017335.70973514,B149A,Elton Playground,B,B149A,Sprinkler
1010650.87960088,B156,Powell Playground,B,B156,Sprinkler
998943.403672054,B250,Nostrand Playground,B,B250,Sprinkler
993803.230553478,B405,Epiphany Playground,B,B405,Sprinkler
