coursedescription,course_name,state,instructor_credentials,city,contact_lastname,website,phone1,zip_code,schedule
8 Hours Pre Assignment Training Course ( 8 HOURS ) .Unit 1 Introduction(1/4 hour) -Provides an overview of the Security Guard Act of 1992  Chapter 336  and explains the objectives of the course.Unit 2 Role of a Security Guard(1 1/4 hours) -Provides an overview of the security industry and defines duties typically performed.Unit 3 Legal Powers and Limitations(2 hours) -Defines the differences between security guards and law enforcement officials  and explains custody and arrest procedures.Unit 4 Emergency Situations(1 hour) -Provides an overview of different types of emergencies and methods of response.Unit 5 Communications and Public Relations(1 hour) -Explains the communication process and identifies how perceptions affect interactions.Unit 6 Access Control(1/2 hour) -Identifies the elements of access control  identification and defines three types of access control.Unit 7 Ethics and Conduct(1 hour) -Defines and explains the importance of the Code of Ethics for Security Guards.Unit 8 Review and Examination(1 hour). .16 Hour On the Job Training Course . .1.ROLE OF A SECURITY GUARD 1 &frac12; HOURS II. LEGAL POWERS AND LIMITATIONS 2 HOURS III. EMERGENCY SITUATIONS 1 &frac12; HOURS IV. COMMUNICATIONS PUBLIC RELATIONS 1 HOUR V. ACCESS CONTROL 1 HOUR VI. ETHICS AND CONDUCT 1 HOUR VII. REPORT WRITING 1 HOUR VIII. OVERVIEW OF THE INCIDENT COMMAND SYSTEM 2 HOURS IX. TERRORISM RELATED TOPICS 4 HOURS X. REVIEW AND EXAMINATION 1 HOUR . .Course price includes application and fees (background checks and fingerprinting fees) .,8 Hours Pre Assignment and 16 Hour On the Job Training,New York,,BROOKLYN,Pierre,http://www.lasisecurity.com,7184988660,11203.0,Check with school to receive most updated schedule
CDL Class B - School BusTraining Course . .This comprehensive CDL Class Bprogram is designed to prepare students for a successful career in commercial school bus driving. It is an umbrella class for all other types of buses as well. The course includes: . .Instructionsto prepare for CDL Class B Permit including endorsements P (buses) and S (school buses) . .20 hands-on driving lessons focused on mastering vehicle control  backing maneuvers and on-road driving techniques. . .10 Pre-Trip Inspection lessons to ensure students gain confidence in identifying vehicle components and passing the required pre-trip portion of the CDL road test. . .FMCSA-compliant ELDT (Entry-Level Driver Training) online theory program  covering all federal requirements for theory instruction including driving safety  vehicle systems  hours of service  and procedureshandling the passengers. . .Two CDL Road Test attempts included in the course package to maximize the student&#39;s opportunity to succeed. . .By the end of the program  students will meet all state and federal requirements to obtain a CDL Class B license and all endorsements required to drive buses including school buses .,CDL Class B - School Bus Training Course,New York,NYS DMV LICENSE,Brooklyn,Elisman,www.redhookcdl.com,6462505429,11218.0,Check with school to receive most updated schedule
Overview . .Welcome to theMedical Training Institute of New YorkCardiovascular Sonography and Echocardiography Program. The program is a 14-month full-time and 18-month Part-time beginning Summer of the enrollment year and running continuously through the Fall of the following year. . .This program is designed to provide clinical training  including hands-on practice  for echocardiographic sonography and an academic curriculum in echocardiographic principles  technology  physics  and instrumentation. . .The Cardiovascular Sonography program at theMedical Training Institute of New Yorkis designed to prepare students to perform echocardiographic examinations under the direction of a physician/ cardiologist. Students can gain didactic knowledge and practical experience in cardiovascular science  EKG  Holter monitoring  telemetry  and echocardiography. . .Our goal is to prepare competent entry-level adult cardiac sonographers in the cognitive (knowledge)  psychomotor (skills)  and affective (behavior) learning domains. We are dedicated to training sonographers who exemplify this standard and degree of excellence. Upon completing the program  graduates will be eligible to sit for the ARDMS and CCI Registry Exams. . .Our goal is to prepare competent entry-level adult general sonographers in the cognitive (knowledge)  psychomotor (skills)  and affective (behavior) learning domains. We are dedicated to training sonographers who exemplify this standard and degree of excellence. Upon completing the program  graduates will be eligible to sit for the ARDMS and ARRT Registry Exams. . .One of the many advantages of theMedical Training Institute of New Yorkprogram is that all clinical training is performed at one location. There is a strong collaboration with the didactic and clinical instructors to ensure harmony throughout the program. . .The students will be able to study the organ systems&#39; anatomy  physiology  and pathophysiology  recognize the EKG patterns of infarction and arrhythmia recognition  appreciate emergency protocols  and perform echocardiography. The core curriculum includes an on-campus lecture component  an on-campus imaging laboratory component  and an off-campus integrated clinical component. . .TheMedical Training Institute of New YorkEchocardiography Lab offers a variety of educational offerings in conjunction with the school&#39;s didactic sessions. . .The final externship portion of the curriculum is structured to include supervised experiences in the clinical environment that require competencies  logs  and evaluations completed by the student. After the program  graduates who have diligently attended class and their externship studied and practiced their skills should have the skills to seek entry-level employment as (noninvasive) cardiovascular technologists. .,Cardiovascular Sonography,New York,Medical doctor,New York,alarbi,www.mtiofnewyork.com,2122048577,10017.0,Check with school to receive most updated schedule
Get your CDL Class B License today! . .By taking the General Knowledge  Air Brakes  Passenger  and School Bus endorsements  you must obtain your CDL Class B P/S Learner's Permit at the New York State Department of Motor Vehicles. . .Getting your Commercial Driver's License is one of the ultimate licensing goals. Achieving this goal comes with great benefits  including excellent pay  flexible schedules  great opportunities  and what we find to be most important and exciting for most new drivers  independence. . .A bus driving license has its benefits right from the start. You get to go home daily due to short trips because your routes are mostly within the city. . .With your CDL Class B permit with the Passenger and School Bus endorsements  you are on the road to attaining a full class B license which would allow you to drive anything from a car to a school bus within the vicinity of Brooklyn and Queens  NY  including: . . . Straight Trucks . Large buses  such as MTA buses  Tourist buses  Coach buses  and School buses . Segmented buses . Large buses  such as MTA buses  Tourist buses  Coach buses  and School buses . Dump trucks with small trailers . . . .Many benefits come with obtaining your CDL class B P/S driver&#39;s license  including jobs with the MTA  Sanitation USPS  School Bus companies  and other great employers! . .At Executive Driving School in New York City  we've set a curriculum to help you best execute the hour-and-a-half to two-hour road test. Our greatest pleasure comes in our students&#39; success. Our state-of-the-art instructions and behind-the-wheel hands-on training will enhance the learning experience and benefit your driving skills. Executive Driving School provides quality education and training that prepares our drivers to be both skilled and knowledgeable professional drivers. Our teaching techniques allow our students to explore the safest ways to learn to drive. . .Executive Driving School provides quality education and training that prepares our new drivers to be both skilled and knowledgeable professional drivers. Our advanced teaching techniques and driving lessons allow our students to explore the safest ways to learn to drive in Brooklyn  Queens  NY  and surrounding areas and get the CDL bus driving license in Brooklyn.  . .We always look forward to having new students and strive to have you accomplish one of the biggest goals in your life. . .Please note that you would pay $40 for the skill test fee to the Department of Motor Vehicles. You could pay this fee in DMV  Use the link provided on our link page  or even pay us  and we'll pay it for you. . . . . .,CDL B P/S TRAINING,New York,DMV Instructor Certificate,Richmond HIll,Ram,https://www.executivedrivingschool.com,7184416500,11419.0,Check with school to receive most updated schedule
This course will cover subjects in A+  Network+  Network Security and Windows 10 studies. After Completion of the training  it will prepare students for the LAN support technician role. Upon completion of training  students will receive a certificate of completion. This training program will cover one time certification exam costs for A+  Network+ and Windows 10. .,Local Area Network (LAN) Support Technician,New York,,NEW YORK,Liang,http://www.ACS.edu,9292821837,10018.0,Check with school to receive most updated schedule
In this course  students will learn the techniques  methodologies  and software necessary to work as a Business Analyst / IT Business Analyst / Technical Business Analyst / Systems Analyst / Data Analyst  and other analyst related roles involved in systems and data analysis. They will gain skills in creating requirements documentation for building computer systems and software products  analyzing system processes and modeling workflows  optimizing and designing IT projects and change strategies to meet organizational goals  communicating with stakeholders  analyzing data and reporting  etc. The course provides the following modules: Business Analysis fundamentals  Software Quality Assurance Analysis  Agile and Scum  JIRA collaboration and issue tracking system  IT Project Coordination basics. It also covers data analysis modules on Statistics Basics  Advanced Excel Spreadsheets  SQL databases  and Data Visualization with Tableau. . .This course is designed for people with various work and educational backgrounds. It offers not only a foundation in the BA profession but also training in data analytics software  making students more competitive in the market and  as a result  enhancing their employment opportunities. Additionally  the training reviews industry certification  which is beneficial for both newcomers and those advancing in their careers. This hands-on course allows students to refine their skills through practical projects. This is online web-based synchronous (remote virtual real-time) instructor-led training. Upon completion  students will receive certificates of completion. .,Business Analyst Course (Online),New York,,Brooklyn,Kirshenbaum,http://www.samconsulting.com,7186483997,11229.0,Check with school to receive most updated schedule
The purpose of this course is to provide the fundamental knowledge and requirements of building maintenance codes for the protection of life  health  property  safety and welfare of the general public and owners and occupants of residential and commercial buildings. Those maintenance codes are required by different government agencies. Such as the building department  fire department  DEP-Department of Environmental Protection  Department of Health DOH  Department of Sanitation and other government agencies. All buildings must meet certain type requirements of a specific government agency&gt; . .High-rise buildings play an increasing important role in contemporary architecture. Their raising is a necessity for the process of population growth and its concentration in cities  as well as the high demand for areas in city center. It can be observed the dynamic development of their construction in Terms of both quantity and quality. . .Students will be instructed in the concepts of the Building code in reference to how it will reflect in their daily job responsibilities and the importance of these regulations. Instruction will review on integrity of the building and the safety of the tenants you are servicing . .The following will show the course outline and instruction: . .&bull; Building Classifications by Occupancy: Public Buildings Residence Buildings  Commercial Buildings and Mixed Use Building .&bull; Certificate of Occupancy  Inspection Certificate and Property Registration .&bull; Duties and Responsibilities of the landlord and tenant. .&bull; Understanding the different between Residential and Commercial Building .&bull; Define type of violations and penalties. .&bull; Responsibility of the Building Owners .&bull; What is proper scheduled Janitorial  maintenance and repair services .&bull; Stair and Elevator Identification Signs .&bull;Types of sprinkler systems and maintenance requirement .&bull; Classifications of Fires andExtinguishers .&bull; Window Frame and Fire Escapes .&bull; City Agencies monitoring code requirements. .,Building Maintenance Code of New York,New York,Licensed by The New York State Education Department,New York,Cruz,,2125941917,10038.0,Check with school to receive most updated schedule
Students learn the skills and concepts as applied to medical billing and coding  as it applies to administrative functions. . . .,Medical Billing and Coding,New York,,FOREST HILLS,Cavalieri,http://www.plazacollege.edu,7187791430,11375.0,Check with school to receive most updated schedule
(INCLUDES CNA EKG) Nursing Assistant Program trains to assist NURSE AIDE providing home care for the elderly in the hospital/nursing home. Didactic and skills training to work be qualified to take the Nurse Aide Competency Exam and work as a Nurse Aide in Nursing Homes and Hospitals too. A detailed course of Electrocardiography. Recommended for health workers who wish to enter the health care field or upgrade skills. Training for employment as a EKG technician in a hopital or clinic. Upon completion of training student will receive a certificate of completion. . .Language (English) course cost includes (Tuition  Books  Supplies  Materials) .,Nursing Assistant and EKG Technician,New York,,KEW GARDENS,Gunasingh,http://accessqueens.com,7182630750,11415.0,Check with school to receive most updated schedule
https://vpsdrivingschool.com/cdl-bus/ .,CDL B/P/S Training,New York,DMV Instructor Certificate,Richmond Hill,Persaud,https://vpsdrivingschool.com/,7185778970,11418.0,Check with school to receive most updated schedule
