course_name,delivery_method,numhours,duration,fax,prerequisites,keywords,max_class_size,cost_total
Medical Assistant with Externship,Web-Based,422,422,,,,,4199
Basic Bus Training Course,Apprenticeship,60,60,,<p>Driver license Class D</p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,,2500
Live Online Software Engineering Immersive - Part Time,Web-Based,198,198,,,,,12995
Class A CDL Training,Classroom Training,21,21,,<p>None</p> .,CDL  CLASS A  Class B  Class C   Bus  Passenger Vehicle   license  driver  drive  truck  commercial  brakes  air  driving lessons  air brakes  truck  warehouse operations  forklift operator  transportation,,3250
Medical Billing and Coding,Classroom Training,96,96,,<p>Basic Computer Skills.</p> .,Health  EMR  ehR  Pharmacy  Medical Biller  NCLEX  RN  Billing  Coding  Insurance  Emergency  EMS  EMT  clinical  clinic  transcription  Nurse  phlebotomy  EKG  Dentist  doctor  practitioner  physician  hygien  Can  LPN  HHA  PCA  Care,10.0,2200
Business Intelligence Analyst Course (Online),Web-Based,185,185,,<p>Excel and Statistics basics  Admission interview</p> .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,,4000
Quality Assurance Automation Analyst,Classroom Training,96,96,,<p>Computer user skills and Admission interview</p> .,network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE,,4000
Cosmetology,Classroom Training,1000,1000,2125942534.0,High School Diploma  GED or Entrance Test,,20.0,15000
Bookkeeping Clerk,Classroom Training,96,96,,<p>Basic Excel Skills.</p> .,Receptionist  Office Clerk  Executive Secretary  Administrative Assistant  microsoft  office  account  bookkeep  audit  quickbooks  bookkeeper  bookkeeping  excel  word,10.0,2200
16 Hour On The Job Training Course for Security Guards,Classroom Training,16,16,,8 Hour Pre-Assignment Training Course,,35.0,170
Hospitality and Food Service 360,Classroom Training,180,180,,Students must be over the age of 18 and have an intermediate to high level of English proficiency.,,15.0,0
Front-End Web Development Short Course,Distance Learning,60,60,,,,30.0,4500
