manufacture_identification_number,state_of_registration,business_asset_id,latest_inspection_result,dba_trade_name,asset_type
1FDNF6DC6HDB05346,NY,BAP-119462,Pass,,Tow Truck
201113,NY,BAP-117476,Pass,,Pedicab
FE9K0011,NY,BAP-110072,Pass,,Pedicab
SL2121,NY,BAP-109328,Pass,,Pedicab
M997,NY,BAP-117980,Pass,,Pedicab
1HTMMAAL0EH786883,NY,BAP-119462,Pass,,Tow Truck
FE009,,BAP-112347,Pass,,Pedicab
JHHSDM2H1JK007114,NY,BAP-119462,Pass,,Tow Truck
U303,NY,BAP-111838,Pass,,Pedicab
FE8J0821,NY,BAP-115557,Pass,,Pedicab
A0410,,BAP-111857,Pass,,Pedicab
1HTKJPVK5LH375772,NY,BAP-119462,Pass,,Tow Truck
3C7WRKAL0RG170133,NY,BAP-119462,Pass,,Tow Truck
FE1M1716,,BAP-117855,Pass,,Pedicab
FE6G0267,NY,BAP-117009,Pass,pedicab,Pedicab
FE9K0036,NY,BAP-117832,Pass,,Pedicab
U0878,NY,BAP-112392,Pass,,Pedicab
H2683,NY,BAP-111378,Pass,,Pedicab
FE23,NY,BAP-109838,Pass,pedicab,Pedicab
200018,NY,BAP-117062,Pass,pedicab,Pedicab
KB1976,NY,BAP-118532,Pass,,Pedicab
3HAEUMML8PL598563,NY,BAP-119462,Pass,,Tow Truck
5PVNJ8JR1L5S51874,NY,BAP-119462,Pass,,Tow Truck
SN609,NY,BAP-118592,Pass,,Pedicab
CO7572,,BAP-119603,Pass,Frankielegs,Pedicab
2FDLF47M1LCA01095,NY,BAP-109536,Fail,,Tow Truck
3C7WRNAL4RG207833,NY,BAP-119462,Pass,,Tow Truck
O972,NY,BAP-110344,Pass,,Pedicab
MN2205,NY,BAP-110201,Pass,,Pedicab
R042,NY,BAP-111832,Pass,,Pedicab
FE0E2137,NY,BAP-112256,Pass,,Pedicab
RH3428,,BAP-117452,Pass,Riza Hancioglu,Pedicab
3C7WRNAL9RG208783,NY,BAP-119462,Pass,,Tow Truck
3C7WRNEL4PG582970,NY,BAP-119462,Pass,,Tow Truck
FE6G0338,NY,BAP-115857,Pass,,Pedicab
FE6G0322,NY,BAP-115856,Pass,,Pedicab
H014,,BAP-114100,Pass,,Pedicab
E702,NY,BAP-115517,Pass,pedicab,Pedicab
1FDNF6DC5JDF01984,NY,BAP-119462,Pass,,Tow Truck
D697,NY,BAP-115608,Pass,,Pedicab
FE30E1938,,BAP-108996,Pass,,Pedicab
1FDUF4GN3REC48232,NY,BAP-119462,Pass,,Tow Truck
FE9A1597,NY,BAP-116025,Pass,,Pedicab
FE6G0291,NY,BAP-115854,Pass,,Pedicab
Y1544,,BAP-108699,Pass,,Pedicab
FE4L1229,NY,BAP-112009,Pass,,Pedicab
FE8J0689,NY,BAP-115615,Pass,pedicab,Pedicab
FE6G0277,NY,BAP-116959,Pass,pedicab,Pedicab
0626,NY,BAP-115991,Pass,,Pedicab
3HAEUMMN8SL001390,NY,BAP-119462,Pass,,Tow Truck
FE0E2043,NY,BAP-109521,Pass,,Pedicab
HM1962,NY,BAP-116497,Pass,,Pedicab
MSP#S018,NY,BAP-118241,Pass,,Pedicab
MARY,NY,BAP-110010,Pass,,Pedicab
A1111,NY,BAP-117175,Pass,,Pedicab
MSPL9013,NY,BAP-109806,Pass,,Pedicab
M996,,BAP-117789,Pass,,Pedicab
FE6G0763,NY,BAP-109535,Pass,,Pedicab
3HAEUMML6SL752292,NY,BAP-119462,Pass,,Tow Truck
13158,NY,BAP-108987,Pass,,Pedicab
FE9K0062,NY,BAP-115900,Pass,,Pedicab
5PVNJ8JP4K4S52620,NY,BAP-119462,Pass,,Tow Truck
F587,NY,BAP-118204,Pass,,Pedicab
FE2F1054,NY,BAP-117425,Pass,,Pedicab
KW072020,,BAP-119017,Pass,CITYPARK TOURS,Pedicab
MO875,,BAP-117629,Pass,,Pedicab
