bronx_condominium_property_address,comparable_rental_1_address,community_board,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_year_built,comparable_rental_1_building_classification,census_tract,comparable_rental_2_boro_block_lot,comparable_rental_2_building_classification,comparable_rental_1_neighborhood,bronx_condominium_property_year_built,comparable_rental_1_full_market_value
"{'latitude': '40.822104510466', 'longitude': '-73.890364889052', 'human_address': '{""address"": ""951 HOE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.823241597919', 'longitude': '-73.914391183117', 'human_address': '{""address"": ""827 MELROSE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2.0,1.3,2004.0,D1-ELEVATOR,119.0,2-02386-0144,D1-ELEVATOR,MELROSE/CONCOURSE,2005,2090000
"{'latitude': '40.849112484231', 'longitude': '-73.888021553165', 'human_address': '{""address"": ""2135 CROTONA AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.884672613798', 'longitude': '-73.909349893762', 'human_address': '{""address"": ""3205 OXFORD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",6.0,2.65,1980.0,C1-WALK-UP,373.0,2-05798-0101,C1-WALK-UP,RIVERDALE,2006,442000
"{'latitude': '40.838863175254', 'longitude': '-73.859930005413', 'human_address': '{""address"": ""9 METROPOLITAN OVAL"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.836597959481', 'longitude': '-73.871325612634', 'human_address': '{""address"": ""1500 NOBLE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",9.0,0.65,,D1-ELEVATOR,21001.0,,,PARKCHESTER,1955,7380000
"{'latitude': '40.809371426104', 'longitude': '-73.802555644605', 'human_address': '{""address"": ""24 PENNYFIELD AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.831187938107', 'longitude': '-73.85635222471', 'human_address': '{""address"": ""2040 GLEASON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",10.0,3.1,1989.0,C1-WALK-UP,118.0,2-05430-0052,C1-WALK-UP,CASTLE HILL/UNIONPORT,2000,1050000
"{'latitude': '40.880759467455', 'longitude': '-73.922278885436', 'human_address': '{""address"": ""2521 PALISADE AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""210 181 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,2.3,1954.0,D7-ELEVATOR,29301.0,2-05792-0430,D7-ELEVATOR,FORDHAM,1986,2520000
"{'latitude': '40.855486860448', 'longitude': '-73.855153367389', 'human_address': '{""address"": ""1144 LYDIG AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.856133797363', 'longitude': '-73.862912097751', 'human_address': '{""address"": ""2179 MATTHEWS AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",11.0,0.45,1950.0,C9-WALK-UP,288.0,2-04324-0001,C9-WALK-UP,PELHAM PARKWAY SOUTH,1964,1470000
"{'latitude': '40.837850419607', 'longitude': '-73.92532146511', 'human_address': '{""address"": ""1209 NELSON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.826293794275', 'longitude': '-73.924682760231', 'human_address': '{""address"": ""845 WALTON AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",4.0,0.75,2003.0,C1-WALK-UP,199.0,2-02691-0122,D1-ELEVATOR,MELROSE/CONCOURSE,2005,1190000
"{'latitude': '40.884102974299', 'longitude': '-73.911460483502', 'human_address': '{""address"": ""3240 NETHERLAND AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.856378494868', 'longitude': '-73.897432319013', 'human_address': '{""address"": ""2283 TIEBOUT AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,2.1,1980.0,C1-WALK-UP,297.0,2-05798-0101,C1-WALK-UP,FORDHAM,1988,360000
"{'latitude': '40.815857524884', 'longitude': '-73.900758859845', 'human_address': '{""address"": ""717 KELLY STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.832463162195', 'longitude': '-73.910076878871', 'human_address': '{""address"": ""391 168 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",2.0,1.25,1931.0,C7-WALK-UP,83.0,2-02301-0029,C7-WALK-UP,MELROSE/CONCOURSE,1909,395000
"{'latitude': '40.888921447901', 'longitude': '-73.91687613153', 'human_address': '{""address"": ""4455 DOUGLAS AVENUE"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}","{'latitude': '40.892626839154', 'longitude': '-73.909948914284', 'human_address': '{""address"": ""600 246 STREET"", ""city"": ""Bronx"", ""state"": ""New York"", ""zip"": """"}'}",8.0,0.3,1975.0,D3-ELEVATOR,309.0,2-05722-0475,D7-ELEVATOR,RIVERDALE,1955,33300000
