brooklyn_condominium_property_gross_sqft,postcode,brooklyn_condominium_property_est_gross_income,brooklyn_condominium_property_total_units,comparable_rental_1_address,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_income_per_sqft
61500,11215.0,676500,37,203 UNDERHILL AVENUE,1.1,11.16
87554,11201.0,1926188,79,65 WASHINGTON STREET,0.2,24.73
17387,11249.0,278192,12,399 PUTNAM AVENUE,1.15,17.25
58066,11201.0,1962630,56,65 WASHINGTON STREET,0.45,27.4
35464,11201.0,877024,37,16 WATER STREET,0.05,22.32
11680,11217.0,210240,12,41 UNDERHILL AVENUE,,
24639,11238.0,759620,14,802 BERGEN STREET,,
47988,,719820,24,28 HAVEMEYER STREET,,
133465,11231.0,3089714,124,204 HUNTINGTON STREET,0.85,16.75
27608,11213.0,448077,12,1176 PRESIDENT STREET,1.2,15.3
32490,11217.0,771312,20,138 MONTAGUE STREET,1.2,31.2
15531,11205.0,279558,12,640 LAFAYETTE AVENUE,,
20620,11205.0,475497,18,50 GREENE AVENUE,2.3,23.06
35389,11201.0,875169,31,254 WATER STREET,0.4,24.73
15957,11205.0,338767,12,88 CHAUNCEY STREET,,
11808,11206.0,208647,16,248 HANCOCK STREET,,
40106,11205.0,1117754,32,854 GATES AVENUE,,
7297,11205.0,210664,12,640 LAFAYETTE AVENUE,,
24672,11201.0,703152,13,65 WASHINGTON STREET,0.4,30.3
21259,11201.0,605881,11,89 HICKS STREET,0.25,27.3
73232,11201.0,2475241,99,65 WASHINGTON STREET,0.5,27.4
13201,11231.0,217816,15,911 8 AVENUE,1.0,21.53
32400,11213.0,356400,16,993 PRESIDENT STREET,,
29054,11205.0,430289,25,114 CALYER STREET,,
11030,11216.0,132580,13,105 QUINCY STREET,,
35200,11219.0,563552,16,4018 5 AVENUE,,
24200,11205.0,0,18,640 LAFAYETTE AVENUE,1.0,8.0
31034,11215.0,647989,24,136 PROSPECT PARK WEST,0.5,23.06
24200,11205.0,0,18,1371 ATLANTIC AVENUE,,
36669,11215.0,709911,40,227 13 STREET,2.65,18.96
130468,11205.0,2728085,95,854 GATES AVENUE,1.05,12.78
13731,11217.0,229994,12,911 8 AVENUE,0.7,16.12
33710,11238.0,332380,16,420 STOCKHOLM STREET,2.65,10.12
24200,11205.0,0,18,1371 ATLANTIC AVENUE,,
25423,11205.0,580407,20,640 LAFAYETTE AVENUE,,
17958,11205.0,309775,12,345 JEFFERSON AVENUE,,
11700,11238.0,339300,12,114 CALYER STREET,,
11174,11238.0,207836,16,441 49 STREET,0.45,19.61
15401,11205.0,200213,14,250 WASHINGTON AVENUE,0.3,11.79
10784,11238.0,143103,12,55 BROOKLYN AVENUE,,
25230,11201.0,489714,23,36 CLARK STREET,,
58244,11206.0,1005291,36,1084 BEDFORD AVENUE,,
9207,11201.0,276210,12,109 JORALEMON STREET,0.1,31.2
10247,11232.0,151655,23,215 33 STREET,,
17463,11231.0,312000,13,145 SACKETT STREET,0.1,12.6
16004,11238.0,353688,15,136 PROSPECT PARK WEST,0.6,23.32
20857,11238.0,500568,13,98 GRAND AVENUE,,
13550,11215.0,264225,12,390 2 STREET,0.65,24.63
56518,11215.0,960806,34,78 PROSPECT PARK WEST,1.1,16.09
107974,11205.0,2034230,103,213 TAAFFE PLACE,,
8620,11216.0,0,11,677 CLASSON AVENUE,,
11050,11233.0,177021,15,334 53 STREET,,
11725,11238.0,334279,16,677 CLASSON AVENUE,,
11800,11215.0,250750,15,243 13 STREET,0.3,19.92
74131,11201.0,2001537,56,25 MONROE PLACE,0.75,23.7
79058,11231.0,1818334,71,200 CLINTON STREET,0.8,27.4
13070,11215.0,279305,13,206 BERKELEY PLACE,1.15,37.5
32087,11233.0,326003,24,1521 EASTERN PARKWAY EXT,,
41476,11201.0,932795,31,254 WATER STREET,0.45,25.9
15740,11215.0,326605,18,206 BERKELEY PLACE,0.45,37.5
50668,11203.0,0,30,440 BERRY STREET,,
52529,11231.0,945522,60,142 REMSEN STREET,0.65,19.85
20202,11215.0,339595,30,94 PROSPECT PARK WEST,0.45,23.91
19350,11215.0,406350,16,390 2 STREET,,
24200,11205.0,0,18,1371 ATLANTIC AVENUE,,
21200,11215.0,510284,12,206 BERKELEY PLACE,0.45,20.88
23150,11201.0,544025,21,254 WATER STREET,0.0,24.73
7770,11215.0,178710,11,186 5 AVENUE,0.55,22.88
8800,11215.0,147400,25,329 3 STREET,0.1,19.26
10000,11232.0,167500,14,784 4 AVENUE,1.9,17.26
10194,11232.0,211525,12,206 BERKELEY PLACE,2.15,37.5
84000,11231.0,1558200,70,419 DE GRAW STREET,0.15,16.75
248762,11201.0,7462860,321,205 STATE STREET,0.25,44.0
36872,11218.0,814871,35,150 PROSPECT PARK WEST,0.8,20.88
17536,11205.0,506264,14,640 LAFAYETTE AVENUE,,
32500,11249.0,634075,36,5 SPENCER COURT,0.6,22.83
21442,11205.0,619030,12,640 LAFAYETTE AVENUE,,
56542,11231.0,1271629,40,200 CLINTON STREET,1.2,27.4
32500,11201.0,812500,33,36 CLARK STREET,0.15,27.3
21599,11215.0,475178,16,96 STERLING PLACE,0.35,21.31
31068,11213.0,372194,15,993 PRESIDENT STREET,1.05,11.05
31793,11221.0,469264,24,561 GATES AVENUE,,
22659,11221.0,313827,18,379 FRANKLIN AVENUE,,
60350,11205.0,722993,24,218 ST JAMES PLACE,0.45,23.32
332324,11201.0,9305072,251,182 MONTAGUE STREET,0.35,24.19
39964,11213.0,799280,22,677 CLASSON AVENUE,,
24122,11231.0,538403,20,254 WATER STREET,0.5,23.16
14037,11231.0,266703,12,104 LUQUER STREET,2.45,16.71
14291,11231.0,300111,12,104 LUQUER STREET,0.8,25.9
13057,11215.0,270932,24,206 BERKELEY PLACE,0.35,20.88
12930,11215.0,297390,16,602 44 STREET,0.5,18.37
10911,11215.0,163665,15,911 8 AVENUE,0.5,21.53
13680,11216.0,231602,16,1593 BEDFORD AVENUE,0.55,16.93
10604,11231.0,190872,12,360 UNION STREET,0.2,20.55
9924,11201.0,282834,20,119 LIVINGSTON STREET,0.45,35.0
15495,11216.0,185940,14,1035 UNION STREET,0.45,11.92
54818,11231.0,986724,55,142 REMSEN STREET,1.0,19.85
9280,11238.0,0,12,379 WASHINGTON AVENUE,,
37880,11215.0,739796,131,150 PROSPECT PARK WEST,0.65,17.33
230680,11217.0,2721600,168,545 PROSPECT PLACE,1.45,9.23
48738,11215.0,1133158,36,150 PROSPECT PARK WEST,0.6,18.43
34820,11201.0,522300,30,100 ADELPHI STREET,,
94982,11215.0,1685930,46,719 8 AVENUE,2.3,11.87
43348,11215.0,596035,20,530 2 STREET,0.85,15.15
52396,11201.0,1241785,57,16 WATER STREET,0.2,30.3
206022,11217.0,8240880,190,182 MONTAGUE STREET,0.75,24.19
19525,11213.0,238595,22,1035 UNION STREET,,
52530,11201.0,945540,58,16 WATER STREET,0.1,22.32
15335,11233.0,245513,12,4018 5 AVENUE,0.85,10.12
23868,11215.0,508627,29,390 2 STREET,0.7,21.31
15795,11236.0,157950,12,945 EAST 94 STREET,,
31540,11238.0,536180,23,62 CLERMONT AVENUE,0.5,20.35
9903,11232.0,165875,16,58 CHURCH AVENUE,0.95,15.52
17274,11205.0,276384,12,52 HERKIMER PLACE,1.1,17.67
17983,11218.0,409113,18,784 4 AVENUE,1.35,27.8
67889,11203.0,997968,50,415 STRATFORD ROAD,,
30360,11213.0,375553,30,471 ALBANY AVENUE,,
30700,11203.0,325727,22,1068 WINTHROP STREET,,
25632,11233.0,259908,20,1631 EASTERN PARKWAY EXT,0.75,8.65
11899,11238.0,343524,19,640 LAFAYETTE AVENUE,,
38430,11217.0,750537,36,150 PROSPECT PARK WEST,0.25,17.33
15600,11221.0,275652,16,248 HANCOCK STREET,2.3,16.87
9393,11231.0,140895,14,197 KANE STREET,0.55,17.11
35741,11217.0,843488,22,854 GATES AVENUE,0.4,58.0
21120,11217.0,344889,22,260 CUMBERLAND STREET,0.45,14.99
42550,11217.0,1167997,39,25 MONROE PLACE,0.9,23.7
12950,11215.0,297850,16,602 44 STREET,0.5,18.37
