bin,comparable_rental_2_est_gross_income,staten_island_condominium_property_year_built,comparable_rental_1_year_built,comparable_rental_2_year_built,comparable_rental_1_dist_from_coop_in_miles,bbl,comparable_rental_1_gross_sqft
5121202.0,,1988,1971,,1.25,5024527503.0,43200
5121203.0,,0,1971,,1.25,5024527503.0,43200
5095450.0,1690099.0,0,1950,1973.0,1.85,5035857501.0,382560
5112323.0,,0,1973,,4.6,5024507509.0,154860
5015704.0,,1981,1972,,0.75,5006107502.0,74260
5091251.0,,1986,1972,,1.35,5035437501.0,74260
5040473.0,,1983,1973,,4.1,5024507506.0,180495
5095349.0,,1989,1971,,1.1,5024517501.0,43200
5043008.0,,1985,1972,,1.4,5028627501.0,74260
5090787.0,,1989,1972,,3.85,5024527501.0,74260
5104717.0,3164612.0,1990,1953,1953.0,3.35,5024007501.0,222300
5157402.0,863625.0,0,1964,1972.0,0.55,5028297501.0,61130
,863625.0,0,1964,1972.0,0.15,,61130
5091156.0,,0,1972,,0.9,5033187501.0,74260
5006886.0,,1937,1972,,1.85,5002517501.0,74260
,816594.0,1987,1940,1940.0,1.15,,72600
5112220.0,,1965,1961,,0.85,5005797501.0,143419
5121204.0,,0,1971,,1.25,5024527503.0,43200
5095347.0,333781.0,1989,1971,1971.0,1.1,5024517501.0,43200
5095350.0,,1989,1971,,1.1,5024517501.0,43200
5042253.0,1291973.0,1987,1965,1965.0,2.15,5028327501.0,107960
5121201.0,,1987,1972,,3.85,5024527501.0,74260
5015638.0,,1981,1972,,0.75,5006107501.0,74260
5095348.0,527431.0,1989,1971,1971.0,1.1,5024517501.0,29200
