manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_est_gross_income,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_full_market_value,comparable_rental_1_dist_from_coop_in_miles,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,latitude
1-00259-0001,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""604 WATER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",2018400,126150,110.0,8990000,7.3,37.5,1988,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2034 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",18.84,40.71126
1-02180-0192,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""120 BENNETT AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1061502,80600,,3980000,1.95,48.0,1937,,13.1,40.854188
1-00374-0065,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""307 4 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",425788,19354,29.0,2110000,0.25,52.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""233 3 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.0,
1-01117-0036,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""46 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",4768647,122273,,17000000,0.45,195.0,1917,,33.2,40.782295
1-01386-0033,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""740 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",9575405,273583,263.0,46000000,0.7,168.0,1956,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""303 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.6,40.770625
1-00466-0056,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""103 10 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",577200,15600,23.0,3110000,0.15,185.0,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""320 9 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",43.5,
1-01827-0012,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""241 111 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",250473,21408,24.0,1160000,0.05,27.4,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""243 113 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",14.69,
1-01460-0017,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""435 65 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",3125620,107780,152.0,15400000,0.65,139.0,1959,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""225 63 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.3,
1-01140-0036,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""108 69 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",281268,7813,13.0,1260000,0.2,180.0,1900,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""35 75 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.6,
1-01786-0017,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""237 121 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",138400,8000,16.0,756000,0.5,40.5,1920,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""291 PLEASANT AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",20.86,
