staten_island_cooperatives_comparable_properties_boro_block_lot,latitude,longitude,comparable_rental_2_total_units,staten_island_cooperatives_comparable_properties_gross_income_per_sqft,postcode,bbl,comparable_rental_2_neighborhood,comparable_rental_1_est_gross_income,community_council,comparable_rental_1_address
5-00101-0525,40.634197,-74.099876,16.0,7.93,10301,5001010525,GRANT CITY,149760,49,"{'latitude': '40.646867703498', 'longitude': '-74.081996907549', 'human_address': '{""address"": ""167 CARROLL PLACE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-02925-0479,40.613569,-74.079128,11.0,10.54,10304,5029250479,ROSEBANK,347890,49,"{'latitude': '40.576986694649', 'longitude': '-74.104670051676', 'human_address': '{""address"": ""261 LINCOLN AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-02833-0031,40.611256,-74.060504,,9.47,10305,5028330031,,1833563,49,"{'latitude': '40.606004051169', 'longitude': '-74.0866151394', 'human_address': '{""address"": ""1950 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-05090-0035,40.556807,-74.139015,43.0,14.42,10306,5050900035,GREAT KILLS-BAY TERRACE,229905,51,"{'latitude': '40.548472372372', 'longitude': '-74.15508930347', 'human_address': '{""address"": ""4163 AMBOY ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-00130-0049,40.631813,-74.097739,13.0,14.81,10301,5001300049,WEST NEW BRIGHTON,99656,49,"{'latitude': '40.631202422565', 'longitude': '-74.088026655612', 'human_address': '{""address"": ""457 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-00593-0680,40.619535,-74.09497,17.0,14.81,10301,5005930680,TOMPKINSVILLE,273267,49,"{'latitude': '40.636779419508', 'longitude': '-74.131313349744', 'human_address': '{""address"": ""137 HEBERTON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-02925-0450,40.613034,-74.0789,11.0,10.54,10304,5029250450,ROSEBANK,347890,49,"{'latitude': '40.576986694649', 'longitude': '-74.104670051676', 'human_address': '{""address"": ""261 LINCOLN AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-03546-0031,40.584741,-74.0969,12.0,8.44,10305,5035460001,NEW DORP,157773,50,"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""2162 RICHMOND ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-00101-0537,40.634366,-74.10082,16.0,7.93,10301,5001010537,STAPLETON,138832,49,"{'latitude': '40.632670281', 'longitude': '-74.086832124013', 'human_address': '{""address"": ""395 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-00327-0060,40.619168,-74.106521,,10.6,10301,5003270060,,2291762,49,"{'latitude': '40.614664489609', 'longitude': '-74.083054238405', 'human_address': '{""address"": ""55 BOWEN STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-00138-0119,40.640837,-74.107835,13.0,10.54,10310,5001380119,WEST NEW BRIGHTON,273267,49,"{'latitude': '40.636779419508', 'longitude': '-74.131313349744', 'human_address': '{""address"": ""137 HEBERTON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-03546-0001,40.584631,-74.09704,,8.44,10305,5035460001,,889533,50,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-00327-0015,40.620623,-74.109884,,10.6,10301,5003270015,,2291762,49,"{'latitude': '40.614664489609', 'longitude': '-74.083054238405', 'human_address': '{""address"": ""55 BOWEN STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-00101-0554,40.634538,-74.101779,13.0,7.93,10301,5001010554,WEST NEW BRIGHTON,99656,49,"{'latitude': '40.631202422565', 'longitude': '-74.088026655612', 'human_address': '{""address"": ""457 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-00001-0216,40.638279,-74.073756,177.0,11.02,10301,5000010216,GRASMERE,2757971,49,"{'latitude': '40.643727817491', 'longitude': '-74.086539225988', 'human_address': '{""address"": ""163 JERSEY STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-03191-0061,40.598436,-74.091972,,10.6,10304,5031910061,,889533,50,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
5-02925-0432,40.612556,-74.08011,,10.54,10304,5029250432,,347890,49,"{'latitude': '40.576986694649', 'longitude': '-74.104670051676', 'human_address': '{""address"": ""261 LINCOLN AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
