average_sale_price,neighborhood
510731,FAR ROCKAWAY             
584485,WOODHAVEN                
765100,BRIARWOOD                
603605,MASPETH                  
328497,HAMMELS                  
572191,FLORAL PARK              
800750,HOLLISWOOD               
796973,WHITESTONE               
420901,CAMBRIA HEIGHTS          
572094,SPRINGFIELD GARDENS      
829557,FOREST HILLS             
446744,OZONE PARK               
642972,BELLE HARBOR             
354208,JAMAICA BAY              
673925,ELMHURST                 
662685,REGO PARK                
695845,COLLEGE POINT            
522950,HILLCREST                
339688,BROAD CHANNEL            
634446,MIDDLE VILLAGE           
454610,WOODHAVEN                
521685,ST. ALBANS               
689140,OAKLAND GARDENS          
625242,RIDGEWOOD                
637134,FLUSHING-NORTH           
704958,FRESH MEADOWS            
702766,LITTLE NECK              
350000,BROAD CHANNEL            
556167,CORONA                   
715430,COLLEGE POINT            
670275,SOUTH OZONE PARK         
772913,MIDDLE VILLAGE           
567857,SO. JAMAICA-BAISLEY PARK 
416969,ST. ALBANS               
822000,FRESH MEADOWS            
607703,RICHMOND HILL            
746711,HOLLIS HILLS             
614805,JAMAICA                  
583354,ELMHURST                 
431991,LAURELTON                
451839,RIDGEWOOD                
578846,OZONE PARK               
622627,WOODHAVEN                
908529,JAMAICA HILLS            
704592,ROCKAWAY PARK            
557359,QUEENS VILLAGE           
845427,EAST ELMHURST            
805500,REGO PARK                
812424,CORONA                   
517591,MASPETH                  
650167,QUEENS VILLAGE           
664771,WOODSIDE                 
560384,HOWARD BEACH             
917500,JAMAICA ESTATES          
825493,SUNNYSIDE                
521048,SO. JAMAICA-BAISLEY PARK 
539941,EAST ELMHURST            
534953,MIDDLE VILLAGE           
708556,SUNNYSIDE                
692948,JACKSON HEIGHTS          
655296,FRESH MEADOWS            
1132833,FOREST HILLS             
712750,OAKLAND GARDENS          
754000,LITTLE NECK              
656039,BRIARWOOD                
824348,ELMHURST                 
679800,HOWARD BEACH             
540555,SOUTH JAMAICA            
413719,SOUTH JAMAICA            
683919,BAYSIDE                  
469427,SOUTH OZONE PARK         
528175,CAMBRIA HEIGHTS          
420404,SPRINGFIELD GARDENS      
614445,GLENDALE                 
900000,NEPONSIT                 
849783,WOODSIDE                 
780481,LONG ISLAND CITY         
687181,FLUSHING-SOUTH           
747904,CORONA                   
772789,MASPETH                  
639667,LAURELTON                
530727,BELLEROSE                
953057,JAMAICA ESTATES          
853000,KEW GARDENS              
712231,RICHMOND HILL            
609474,HILLCREST                
195000,JAMAICA BAY              
534222,LAURELTON                
610343,JACKSON HEIGHTS          
572400,CAMBRIA HEIGHTS          
780882,WHITESTONE               
657926,HOWARD BEACH             
833336,JAMAICA                  
567218,ROCKAWAY PARK            
902231,ASTORIA                  
333479,ARVERNE                  
778500,BRIARWOOD                
939268,DOUGLASTON               
609000,ROSEDALE                 
769964,HOLLIS                   
460497,HAMMELS                  
597318,SOUTH OZONE PARK         
618472,JAMAICA HILLS            
556066,HOLLIS                   
924422,JAMAICA ESTATES          
786489,KEW GARDENS              
519023,COLLEGE POINT            
795000,BELLE HARBOR             
720973,WOODSIDE                 
764714,OAKLAND GARDENS          
509705,GLENDALE                 
829255,JACKSON HEIGHTS          
342737,BROAD CHANNEL            
879280,FOREST HILLS             
482136,RICHMOND HILL            
425949,ROCKAWAY PARK            
532171,BELLEROSE                
1361556,NEPONSIT                 
914532,BELLE HARBOR             
599595,SUNNYSIDE                
528130,ARVERNE                  
750500,REGO PARK                
571886,GLEN OAKS                
580000,AIRPORT LA GUARDIA       
745063,JAMAICA HILLS            
453160,ROSEDALE                 
466629,HAMMELS                  
393389,SO. JAMAICA-BAISLEY PARK 
551000,ST. ALBANS               
937495,DOUGLASTON               
904565,FLUSHING-NORTH           
756399,KEW GARDENS              
791096,GLEN OAKS                
498358,ARVERNE                  
555553,SOUTH JAMAICA            
460755,FAR ROCKAWAY             
688531,OZONE PARK               
748302,ASTORIA                  
623038,ASTORIA                  
603000,SPRINGFIELD GARDENS      
880221,BEECHHURST               
783878,FLUSHING-NORTH           
591708,RIDGEWOOD                
792450,LONG ISLAND CITY         
618767,ROSEDALE                 
990000,BEECHHURST               
516534,JAMAICA                  
901811,LITTLE NECK              
757946,WHITESTONE               
692115,EAST ELMHURST            
793100,LONG ISLAND CITY         
608250,FLORAL PARK              
841735,BAYSIDE                  
450858,QUEENS VILLAGE           
814165,BAYSIDE                  
857523,FLUSHING-SOUTH           
634918,FAR ROCKAWAY             
682888,HOLLISWOOD               
459876,HOLLIS                   
853750,BEECHHURST               
580269,FLUSHING-SOUTH           
766800,GLENDALE                 
