average_sale_price,median_sale_price,neighborhood
328333,350000,MELROSE/CONCOURSE        
426573,450250,MELROSE/CONCOURSE        
440599,455390,EAST TREMONT             
563452,560000,MOUNT HOPE/MOUNT EDEN    
355623,360000,WILLIAMSBRIDGE           
650000,650000,PELHAM GARDENS           
1703889,1750000,FIELDSTON                
527203,510000,WESTCHESTER              
517500,495000,MOTT HAVEN/PORT MORRIS   
359131,348224,BEDFORD PARK/NORWOOD     
410417,406250,MOTT HAVEN/PORT MORRIS   
385480,385000,CASTLE HILL/UNIONPORT    
618305,636000,BRONXDALE                
369595,370000,BAYCHESTER               
558526,570000,WAKEFIELD                
430885,450000,COUNTRY CLUB             
498667,610000,CITY ISLAND              
444014,529000,CROTONA PARK             
504478,523566,MORRISANIA/LONGWOOD      
447846,389014,WESTCHESTER              
635000,635000,MOUNT HOPE/MOUNT EDEN    
457584,450000,PARKCHESTER              
450000,427500,BELMONT                  
306229,306229,KINGSBRIDGE HTS/UNIV HTS 
552113,600000,SOUNDVIEW                
409629,381600,HUNTS POINT              
460663,437165,PELHAM PARKWAY NORTH     
599506,615000,BAYCHESTER               
630225,628400,PELHAM GARDENS           
456346,432500,PELHAM GARDENS           
380000,380000,CO-OP CITY               
428200,430000,MORRIS PARK/VAN NEST     
307553,283000,BATHGATE                 
484751,494500,MORRIS PARK/VAN NEST     
423079,370000,WOODLAWN                 
451676,440000,WAKEFIELD                
594202,595032,WILLIAMSBRIDGE           
452500,452500,BELMONT                  
433617,402500,MORRISANIA/LONGWOOD      
410943,417500,THROGS NECK              
519500,537500,PELHAM PARKWAY SOUTH     
446600,440000,WILLIAMSBRIDGE           
1046277,692500,RIVERDALE                
374588,395000,PARKCHESTER              
469786,430000,KINGSBRIDGE/JEROME PARK  
592900,611250,SCHUYLERVILLE/PELHAM BAY 
439000,458800,CROTONA PARK             
465000,477000,HIGHBRIDGE/MORRIS HEIGHTS
474073,511500,MELROSE/CONCOURSE        
592517,602550,COUNTRY CLUB             
501667,455000,HUNTS POINT              
487906,466667,FORDHAM                  
418081,423500,KINGSBRIDGE HTS/UNIV HTS 
523443,527200,THROGS NECK              
510309,540000,KINGSBRIDGE/JEROME PARK  
767792,767792,FIELDSTON                
451654,390000,MOTT HAVEN/PORT MORRIS   
583949,575000,MORRIS PARK/VAN NEST     
408806,446801,FORDHAM                  
587202,570000,BEDFORD PARK/NORWOOD     
346719,348650,SOUNDVIEW                
469689,465000,CASTLE HILL/UNIONPORT    
653875,653500,KINGSBRIDGE HTS/UNIV HTS 
502787,534581,WOODLAWN                 
545212,520000,THROGS NECK              
478848,500000,SOUNDVIEW                
645978,625400,WESTCHESTER              
652500,652500,PELHAM PARKWAY NORTH     
369650,382000,WAKEFIELD                
397313,422348,BATHGATE                 
521430,567500,BELMONT                  
397333,417000,CROTONA PARK             
503797,527500,BATHGATE                 
363935,368456,BRONXDALE                
496372,472375,PELHAM PARKWAY SOUTH     
591118,582500,CASTLE HILL/UNIONPORT    
404758,457357,MOUNT HOPE/MOUNT EDEN    
635667,660000,KINGSBRIDGE/JEROME PARK  
511616,548025,BAYCHESTER               
320106,319000,EAST TREMONT             
475174,470000,CITY ISLAND              
497661,510000,BRONXDALE                
468074,475000,BEDFORD PARK/NORWOOD     
513333,500000,WOODLAWN                 
730588,752500,RIVERDALE                
323458,318850,MORRISANIA/LONGWOOD      
522421,570000,HIGHBRIDGE/MORRIS HEIGHTS
511462,547500,COUNTRY CLUB             
544547,499945,SCHUYLERVILLE/PELHAM BAY 
408864,405000,SCHUYLERVILLE/PELHAM BAY 
519974,485250,PELHAM PARKWAY NORTH     
379667,375000,HIGHBRIDGE/MORRIS HEIGHTS
328750,330000,FORDHAM                  
549382,561350,EAST TREMONT             
577221,580000,PARKCHESTER              
560000,560000,PELHAM PARKWAY SOUTH     
