smm,smm_rate,nativity,diabetes,borough,parity,year,insurance,hypertension,employed,race_ethnicity
2854,256.0,All,All,All,All,2016,All,All,All,All
603,160.8,All,All,All,All,2016,All,All,All,White non-Latina
1982,239.7,All,All,All,All,2016,All,All,All,All
2875,257.3,All,All,All,All,2016,All,All,All,All
253,409.3,All,All,All,All,2016,All,All,All,All
1270,262.4,All,All,All,Yes,2016,All,All,All,All
1439,283.0,All,All,All,All,2016,All,All,No,All
876,203.0,All,All,All,All,2016,Private,All,All,All
21,801.5,All,All,All,All,2016,All,All,All,All
788,230.2,All,All,All,All,2016,All,All,All,All
421,245.0,All,All,All,All,2016,All,All,All,All
259,245.5,All,All,Non-resident of NYC,All,2016,All,All,All,All
898,428.6,All,All,All,All,2016,All,All,All,Black non-Latina
861,200.3,All,All,All,All,2016,All,All,All,All
1905,288.3,All,All,All,All,2016,Medicaid,All,All,All
