borough,supervision_caseload_type,month,year,supervision_caseload_count
Citywide,Special Program,February,2023,147
Citywide,Community Progression,November,2016,11272
Citywide,Community Progression,November,2023,1140
Citywide,Client Development,October,2023,3184
Citywide,Client Development,October,2022,3130
Citywide,Special Program,April,2023,148
Citywide,ACE Anyone Can Excel,February,2024,1026
Citywide,Intensive Engagement,June,2023,1269
Citywide,Special Program,May,2023,155
Citywide,Central Interstate Unit,February,2023,515
Citywide,Client Development,August,2022,3049
Citywide,NeON Neighborhood Opportunity Network,February,2023,2269
Citywide,Intensive Engagement,August,2023,1226
Citywide,NeON Neighborhood Opportunity Network,May,2023,2245
Citywide,Special Program,October,2023,154
Citywide,Special Program,September,2016,160
Citywide,ACE Anyone Can Excel,February,2017,1693
Citywide,ACE Anyone Can Excel,November,2023,1219
Citywide,Community Progression,September,2022,1496
Citywide,ACE Anyone Can Excel,March,2017,1846
Citywide,Client Development,February,2023,3081
Citywide,Special Program,October,2022,157
Citywide,Community Progression,May,2023,1254
Citywide,Community Progression,January,2023,1384
Citywide,Intensive Engagement,April,2023,1261
Citywide,Central Interstate Unit,March,2017,839
Citywide,Special Program,February,2017,156
Citywide,Central Interstate Unit,August,2022,502
Citywide,NeON Neighborhood Opportunity Network,September,2016,2497
Citywide,Intensive Engagement,October,2023,1235
Citywide,Community Progression,December,2022,1500
Citywide,Intensive Engagement,December,2016,1599
Citywide,NeON Neighborhood Opportunity Network,November,2016,2436
Citywide,Central Interstate Unit,April,2017,774
Citywide,Central Interstate Unit,April,2023,512
Citywide,Intensive Engagement,May,2023,1262
Citywide,Intensive Engagement,May,2024,2197
Citywide,NeON Neighborhood Opportunity Network,February,2017,2495
Citywide,NeON Neighborhood Opportunity Network,December,2016,2427
Citywide,Central Interstate Unit,August,2023,563
Citywide,Special Program,January,2023,154
Citywide,Intensive Engagement,January,2023,1232
Citywide,ACE Anyone Can Excel,June,2023,1126
Citywide,Central Interstate Unit,May,2023,503
Citywide,Client Development,April,2017,3076
Citywide,NeON Neighborhood Opportunity Network,November,2022,2240
Citywide,Intensive Engagement,November,2022,1239
Citywide,Client Development,March,2024,3300
Citywide,NeON Neighborhood Opportunity Network,January,2024,2272
Citywide,Intensive Engagement,March,2017,1582
Citywide,Client Development,November,2023,3202
Citywide,Client Development,January,2024,3209
Citywide,Client Development,January,2023,3110
Citywide,Community Progression,March,2024,969
Citywide,NeON Neighborhood Opportunity Network,April,2024,2476
Citywide,Intensive Engagement,December,2023,1240
Citywide,Special Program,March,2017,165
Citywide,NeON Neighborhood Opportunity Network,February,2024,2279
Citywide,Special Program,July,2023,143
Citywide,NeON Neighborhood Opportunity Network,July,2023,2268
Citywide,Community Progression,December,2016,11399
Citywide,Central Interstate Unit,March,2023,501
Citywide,NeON Neighborhood Opportunity Network,October,2022,2227
Citywide,Intensive Engagement,October,2022,1249
Citywide,Community Progression,July,2023,1230
Citywide,Client Development,March,2023,3111
Citywide,Intensive Engagement,March,2023,1253
Citywide,ACE Anyone Can Excel,May,2023,1099
Citywide,Intensive Engagement,February,2023,1218
Citywide,Client Development,April,2023,3131
Citywide,Central Interstate Unit,September,2022,514
Citywide,NeON Neighborhood Opportunity Network,April,2023,2213
