link_name,travel_time
CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),127
FDR S 63rd - 25th St,160
Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP,216
BQE S LEONARD STREET - ATLANTIC AVENUE,594
Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk,183
CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),103
VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL,0
LIE WB LITTLE NECK PKWY - NB CIP,93
TNB S Qns Anchorage - CIP S @ TNB,60
MLK S - SIE W WALKER STREET - RICHMOND AVENUE,107
11th ave n ganservoort - 12th ave @ 40th st,0
Belt Pkwy W 182nd St - JFK Expressway,179
TBB N QUEENS ANCHORAGE - BE N,138
ROUTE 169 S - MLK WALKER STREET,0
GOW N 92ND STREET - 7TH AVENUE,86
LINCOLN TUNNEL E CENTER TUBE NJ - NY,0
BQE S LEONARD STREET - ATLANTIC AVENUE,574
BBT W Toll Plaza - Manhattan Portal,384
12th ave @ 45th - 11 ave ganservoort st,0
MDE N RFK Bridge - 142nd St,0
MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL,130
CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,0
GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL,0
MLK N WALKER STREET - NJ ROUTE 169,0
SIE E WOOLEY AVENUE - BRADLEY AVENUE,0
VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL,0
BWB S Toll Plaza - Queens Anchorage,94
SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE,122
WSE N VICTORY BLVD - SOUTH AVENUE,53
BKN Bridge Manhattan Side - FDR N Catherine Slip,125
VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd),103
GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL,0
BWB N Queens Anchorage - Toll Plaza,86
MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL,125
LIE E 84TH ST - 108TH ST,106
TNB S Qns Anchorage - CIP S @ TNB,59
11th ave n ganservoort - 12th ave @ 40th st,0
ROUTE 169 S - MLK WALKER STREET,0
WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE,0
CIP N ramp to TNB - TNB Queens Anchorage,78
VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave),99
BE S TBB EXIT RAMP - QUEENS ANCHORAGE,145
TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE,181
MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL,130
BQE N ATLANTIC AVENUE - LEONARD STREET,718
CBE E CASTLE HILL AVE - BE N WATERBURY AVE,171
FDR N Catherine Slip - 25th St,215
VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),0
BWB N Queens Anchorage - Toll Plaza,89
GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE,149
Westside Hwy N 57th St - GWB,0
CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS,0
VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St,1019
LIE W 108TH ST - 84TH ST,99
VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave),208
SIE E SOUTH AVENUE - RICHMOND AVENUE,51
SIE W WOOLEY AVENUE - RICHMOND AVENUE,67
BE S CASTLE HILL AVENUE - STRATFORD AVENUE,79
WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE,117
GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL,0
CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,132
WSE N ARDEN AVENUE - VICTORY BLVD,138
VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),1310
LIE E 84TH ST - 108TH ST,103
WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE,85
GOW N 9TH STREET - ATLANTIC AVENUE,223
