shape_length,freq_organics
16810.0644234043,Fri
11391.0108722818,Wed
8964.90103434967,Sat
21028.3318643299,Sat
11201.1679764591,
23745.1661603724,Thu
11525.7997341871,
15792.9003306014,Mon
24247.1181562534,Thu
13416.3699047649,Tue
9040.19278444747,
14730.3949003578,Wed
13371.7314486768,Sat
19443.894384068,Thu
7702.14836783042,Sat
16424.1388547769,Fri
7759.25660400309,
43466.2453274298,
33320.8727796372,Mon
14251.8243833258,
13865.9336937643,
21702.4883039686,Wed
14034.0441100836,
14397.8628121847,Tue
10481.9390229634,Fri
11325.8380201618,Tue
16182.938659151,Wed
14667.5369107134,Mon
9149.35047146541,Thu
14557.9003233449,Wed
12769.4277060548,
14370.8044489761,Tue
15046.0478620407,
14990.6157318981,Wed
20417.1117049801,
29356.1448609233,Thu
17678.8205428543,Wed
32881.8036321054,
13029.2522693046,Wed
14211.2844870226,Sat
18116.3258957423,Sat
9577.47533783877,
14085.7901123896,Thu
11340.6532505456,
10503.0299384226,
35442.181727835,
12139.6197095965,Tue
13923.5895820949,Sat
16374.437279592,
10581.3481380512,Fri
9029.35793726652,Tue
35307.3693211637,
26402.105883674,Fri
7695.15030491817,Wed
79979.5640530157,Tue
63865.0477341068,
27863.7101245005,Thu
22088.906656769,Mon
62859.0742779447,Thu
12068.3038172678,Wed
18943.6191573742,Thu
16168.3522246535,Tue
13015.4395957684,Fri
11143.0260978142,Thu
13838.4170616333,
14675.7116326121,Fri
12303.9165394142,Mon
11772.5289012646,
22226.6184019607,
10816.2337833602,
16212.0903835104,
14619.983346453,Wed
15654.9635226194,
19066.3709514044,
12685.5431358811,Mon
13269.3544594825,Thu
13396.362383148,Thu
7525.96837560995,Wed
12085.7222859025,Tue
71331.1111813511,Sat
17717.0039679902,Tue
18277.146180888,
29511.4185614237,
11206.1765094034,Wed
13280.5489897232,Thu
23938.1938463079,Sat
9477.24468074727,Wed
9647.99631189909,
18770.8057980082,Wed
23682.3076377693,Fri
10661.2421751811,Tue
14496.7550546579,
13353.8817177692,Wed
6997.68136895649,Fri
64694.5939193773,
24750.9263869211,Mon
19777.4089674188,Mon
16506.0019746385,Wed
12203.1076300935,Fri
13840.0118358918,Mon
17668.9847265281,Fri
25398.7833778306,
21096.8388893298,Tue
15280.4873705478,Tue
19559.2410514185,Tue
26791.7510309162,Fri
9803.79261635294,Mon
9954.08459776838,Thu
11714.4687502987,
19857.2650459236,Mon
13172.8751364997,Fri
25391.9753920792,Tue
18124.4604065598,Sat
16692.5717778739,Wed
18598.5664565827,Wed
14106.5009648587,Sat
21580.2197742426,
20335.1751746168,Wed
39666.232277153,
13730.3366378587,
18635.1377869657,
21272.4344658565,
13801.7477903492,Wed
13054.3242527437,Sat
12816.4363382682,Tue
13152.6214431344,Mon
12566.9013162799,Thu
14415.6001670411,Tue
16788.326068788,
58173.3585196323,Tue
20394.5754213336,Tue
12176.8565785796,
28037.7507511954,
22051.5597367416,
10837.9422395283,Mon
21565.1198004583,
13873.7967660274,Tue
31876.4242676029,Mon
14268.941801141,Wed
13470.7444831975,Wed
17842.4130592228,Sat
16921.6564563828,Sat
17715.6016422825,Fri
20609.1721104514,Mon
7865.08303327116,Mon
10381.9663734946,Sat
12440.7106825422,Thu
19645.1124608343,Sat
32180.9785569963,Wed
32737.8398058583,Sat
33015.5307158559,
14304.4564900567,Thu
15570.4605512482,Mon
22216.7137486368,
11097.0343511199,Wed
10362.4171139813,Fri
13767.5174825114,Fri
17278.1696149426,Mon
11836.167997362,Thu
18323.083457222,
11524.1560887715,Tue
8371.28074497945,Fri
37833.0177844471,Thu
21656.5116991314,
28372.4113537115,
33276.8908066851,
12629.7132979655,Sat
21985.8314476676,Sat
12670.597030109,Thu
13558.1363540392,Tue
15893.0576490776,Thu
12637.6357489825,Fri
13070.9982308917,
24992.9561869919,
12319.8804641392,Sat
10753.8693966082,Thu
10913.5131342132,Fri
13157.7706172281,Fri
21497.2581711848,
17868.8873234681,Thu
18366.2603475081,
14961.0328591918,
23011.704752224,
7103.8257839537,
17462.3724279388,Fri
38232.7571466879,Tue
20301.5231358044,Sat
13049.1053775925,
13641.3661985429,Wed
15534.1024403241,Tue
12719.7918250367,Fri
13157.5918674307,
15069.6415459827,Wed
9308.7799399349,Sat
16858.4953475327,
25918.4756301159,
11311.0085214765,Sat
22168.4250156561,Sat
23091.3559250252,Sat
13459.5421171472,Thu
