section,shape_area,district
QE075,61537240.1142158,QE07
BKN022,12389231.8856874,BKN02
BKS155,15260259.6717899,BKS15
BKS181,34930264.187887,BKS18
MN084,7342914.10044849,MN08
BX092,17340003.0564857,BX09
MN124,25338801.8984507,MN12
BKS186,24111088.2436294,BKS18
QE143,41087251.7936624,QE14
BKN054,45581062.8566073,BKN05
BKS115,22159754.4439075,BKS11
QE076,42561387.4517399,QE07
BX091,34488108.7597651,BX09
QW041,24937666.9036861,QW04
MN031,15613966.7632201,MN03
BKN093,17316222.4303931,BKN09
MN081,12497781.0897158,MN08
SI031,60970713.6927178,SI03
BKS154,31459462.564506,BKS15
BX124,20247315.4353106,BX12
QW092,18470371.323914,QW09
BKN083,13969094.0710481,BKN08
SI014,124172273.309876,SI01
BKN021,24829534.8828339,BKN02
MN052,23414639.463571,MN05
QW061,30980360.5067438,QW06
BKN175,26527396.9123216,BKN17
BKN033,16982116.9179274,BKN03
QE126,39261805.7719668,QE12
BKS152,27908178.062193,BKS15
BKS184,45960504.8476462,BKS18
QE137,49037068.9619916,QE13
BKN053,49050586.0512556,BKN05
MN033,10365179.9312633,MN03
BX094,45104623.9165186,BX09
BX103,61359885.7489285,BX10
QE132,53436417.4812534,QE13
BKS144,23046719.0864194,BKS14
BKS112,16544789.1052287,BKS11
SI036,123550887.810495,SI03
MN085,11171110.6905792,MN08
MN032,10069374.1669943,MN03
BKS064,15100011.7315036,BKS06
BKN051,30477725.3377094,BKN05
QW016,25816828.8636477,QW01
MN061,14161740.2034663,MN06
BX072,22127438.8747708,BX07
QE133,36352182.6743111,QE13
QW062,51441715.7435008,QW06
MN043,18748808.7732856,MN04
SI022,78460676.3151412,SI02
BKN012,19704672.3367664,BKN01
BX053,9640338.27625957,BX05
QE074,34190415.2180045,QE07
QE078,58086245.1127363,QE07
BX083,55780514.5741008,BX08
BX082,19672225.7003336,BX08
MN011,21747275.947256,MN01
BKS062,14359413.9864693,BKS06
SI012,79200524.2924158,SI01
MN034,10743053.3297242,MN03
BKS065,12279297.7891776,BKS06
BKS131,31953900.9104987,BKS13
MN074,9612296.68894575,MN07
QW015,32902217.0633871,QW01
QE122,35421424.5080621,QE12
BKN092,13058717.5046762,BKN09
QE115,70739503.3609531,QE11
BKN042,17978373.724312,BKN04
BKS102,20995653.1491873,BKS10
QE131,57952248.0831629,QE13
BKS116,20610778.6317691,BKS11
BX021,60952683.8111957,BX02
MN083,8421087.33522411,MN08
BKS104,43603315.3962682,BKS10
BKS123,13796712.2874037,BKS12
SI011,85742900.8980948,SI01
SI033,39894877.9180356,SI03
QE141,29877363.1247957,QE14
BX052,8610464.78538957,BX05
QW022,36236550.6952523,QW02
SI037,111994674.233923,SI03
BKS126,23837426.2260821,BKS12
BKN041,16353299.49231,BKN04
SI034,49950134.0530682,SI03
BKS182,27219024.5937429,BKS18
BKS124,16656059.1421361,BKS12
MN092,16619217.6367028,MN09
BKN023,12124361.5256539,BKN02
BX093,17457425.0780346,BX09
QW055,44015350.0566916,QW05
QE084,40715535.5246545,QE08
MN071,12805228.9726447,MN07
BKN011,30451362.2773569,BKN01
BKS143,25801199.6471461,BKS14
BKN035,11856362.7542874,BKN03
QE127,47516028.1267127,QE12
BKN031,20818385.4179993,BKN03
BKN174,13475154.6174423,BKN17
QW013,23974505.2695985,QW01
MN042,20824881.1394705,MN04
MN112,12608787.9072132,MN11
BX043,19000590.122229,BX04
BKS111,14659372.7193356,BKS11
MN013,11287280.6449482,MN01
QE072,30300351.4285121,QE07
QE071,34610193.2274616,QE07
QW011,16654211.8675206,QW01
BKS187,58876843.5003551,BKS18
MN104,14440056.481105,MN10
BX112,42507218.7206979,BX11
BKS141,18223057.0928099,BKS14
QE116,40216962.9771217,QE11
SI021,78933720.3853815,SI02
QE104,48127851.4505367,QE10
BKN081,16438594.6688344,BKN08
QW053,18540667.7724417,QW05
BX012,32963513.4971884,BX01
QE114,53263350.7100694,QE11
QE083,58858435.8153187,QE08
SI024,283954208.097006,SI02
MN123,18497090.1475823,MN12
BX073,14320302.0204625,BX07
BX123,42275847.3803801,BX12
BX042,15376402.23418,BX04
QW014,11858944.8867524,QW01
QW043,23535975.1210025,QW04
BX101,44378176.17705,BX10
MN022,11702862.2479606,MN02
QE077,39105322.3553523,QE07
QE113,30642837.0861808,QE11
BX125,43487867.5802606,BX12
BKN043,22037081.0624148,BKN04
MN021,16377203.6547977,MN02
QE136,34953789.9507322,QE13
MN113,14266871.7120463,MN11
MN122,18100360.7904543,MN12
QE102,41930882.1585375,QE10
MN041,9684786.25495931,MN04
BX041,21156425.8453577,BX04
BKN082,15197620.8749939,BKN08
BX111,29830650.1182483,BX11
BKN173,24497915.8468647,BKN17
MN051,20389427.8983014,MN05
QW093,24470594.5297211,QW09
BKS151,20588150.1531592,BKS15
BKN162,24166376.8944453,BKN16
MN101,15410206.9482724,MN10
BKN091,15409764.2049438,BKN09
BKS183,22726017.8668173,BKS18
BKS132,56302452.1267475,BKS13
BKS125,18142676.287729,BKS12
QW032,15949958.3493645,QW03
BKS073,14936669.0509618,BKS07
BX061,19168065.063535,BX06
QW031,48252866.267704,QW03
MN091,12577723.7013263,MN09
BKS114,16313981.3981756,BKS11
QE138,59361252.2164865,QE13
MN073,10569398.8992354,MN07
BX031,44753909.0895887,BX03
BKS063,12513556.392548,BKS06
BKS113,13231173.2367485,BKS11
QW021,31069645.8297015,QW02
BX081,17015214.5183574,BX08
QE073,28140241.6128739,QE07
BKS101,19974313.8311121,BKS10
QW052,22142293.3303552,QW05
BKS074,17824627.3265392,BKS07
BKS071,36443537.095809,BKS07
QW051,50926502.1929845,QW05
QE124,34124345.3144127,QE12
QW012,28246465.4117293,QW01
QE134,29018113.5351155,QE13
QE103,41770985.7274669,QE10
BKS142,15138153.9052641,BKS14
QE112,37290456.1309923,QE11
BKS121,15123436.8047728,BKS12
QW033,19283988.5399492,QW03
MN093,12606565.5162047,MN09
BKN052,30962676.6531893,BKN05
BX071,16886037.9308019,BX07
QW094,39737715.7382798,QW09
MN062,14328368.4871366,MN06
BX113,28375302.3177396,BX11
QE082,45015097.4302271,QE08
SI013,87070585.5660887,SI01
QE135,30363853.0499261,QE13
MN121,15974816.6816094,MN12
BKS103,26774302.0901965,BKS10
BKS072,35054796.6565931,BKS07
BX051,20067997.8273782,BX05
BX121,21537690.7820297,BX12
MN063,10329975.7860495,MN06
SI023,152055075.228232,SI02
QE123,35858898.174339,QE12
QE142,98152994.3510326,QE14
BKN014,18458956.0086469,BKN01
MN111,15870853.5128074,MN11
SI035,98694923.8577582,SI03
