shape_area,shape_length
10743053.3297242,16301.6693062477
16619217.6367028,21462.9618499023
18142676.287729,19895.948340866
10329975.7860495,13046.9172776633
42561387.4517399,38458.5233230595
124172273.309876,86394.8567158812
13475154.6174423,20396.7757366828
15613966.7632201,23399.1453500576
111994674.233923,60974.0909223295
15870853.5128074,16380.4111550405
14328368.4871366,18579.2305562642
12606565.5162047,15625.8602192538
14266871.7120463,20649.1190174468
44753909.0895887,33694.7823755302
29018113.5351155,26972.388644566
61359885.7489285,46906.4519523782
45960504.8476462,69015.7402834744
7342914.10044849,13645.4918927946
10569398.8992354,13477.2308028111
21156425.8453577,20227.6434038375
18458956.0086469,21277.20644623
22726017.8668173,20262.2475610623
25816828.8636477,22946.8983283321
78460676.3151412,70950.1639188674
283954208.097006,86317.5547416461
39105322.3553523,27088.2874100691
24497915.8468647,23129.6188232816
19672225.7003336,19793.8869724708
26527396.9123216,31429.6139494555
20067997.8273782,20237.2514765949
15138153.9052641,25981.0950312978
15123436.8047728,17695.7381926653
49037068.9619916,46238.4905010084
17457425.0780346,23687.8411999046
8421087.33522411,13845.2603032159
12279297.7891776,17680.2163023119
22127438.8747708,21512.7958621949
48252866.267704,39434.8205869726
13231173.2367485,17476.6594327688
16982116.9179274,17576.8495017494
58086245.1127363,49074.9953776144
47516028.1267127,46821.5565025335
58858435.8153187,43230.6269307228
24166376.8944453,31583.1226420865
35421424.5080621,41127.2883449164
98694923.8577582,49931.7639320845
14320302.0204625,20290.6175201957
85742900.8980948,52406.2415745994
152055075.228232,63617.1145760157
9640338.27625957,18148.805711404
23837426.2260821,22678.1314974776
41087251.7936624,47439.3919767709
17824627.3265392,26836.549296087
18497090.1475823,21569.0867883189
45015097.4302271,40555.3682271722
18748808.7732856,37624.3237104776
43603315.3962682,34141.8590371508
20610778.6317691,19071.0392039057
18223057.0928099,24053.3281300996
30300351.4285121,30660.253322531
11702862.2479606,22214.8900071018
57952248.0831629,34918.520785887
26774302.0901965,21920.922287302
15100011.7315036,19596.1406388291
13796712.2874037,17142.5910070772
12577723.7013263,16816.9348974393
30363853.0499261,25751.3896556001
39261805.7719668,50399.5960885582
15376402.23418,20096.4596677107
11858944.8867524,16097.312442171
10069374.1669943,18536.6608620277
23046719.0864194,26113.1012932274
23974505.2695985,23118.6053023445
19704672.3367664,25400.9146195463
35858898.174339,41023.4347513353
24937666.9036861,25676.6134558636
34124345.3144127,47400.6624306807
14161740.2034663,20558.982795051
27219024.5937429,21715.5704128837
16377203.6547977,23914.5052905076
17978373.724312,18605.1448111128
20824881.1394705,26775.4100529522
37290456.1309923,29259.3627404463
16544789.1052287,18369.9625879557
31459462.564506,64651.5274687687
39894877.9180356,50503.3925249864
11856362.7542874,16115.9850059299
28140241.6128739,30546.0900618957
40715535.5246545,31073.0949773338
49050586.0512556,36390.3618320378
87070585.5660887,64249.9997940034
44378176.17705,136291.458072366
36352182.6743111,29984.6651612821
70739503.3609531,39910.7073989291
34930264.187887,44893.2826158312
11171110.6905792,15241.7112519159
18100360.7904543,22528.9416778183
