material_group,organic_percent
Metal,0.0
Organic,0.0
C&D,0.0
Glass,0.0
Plastic,0.0
Plastic,0.001
Special Waste,0.0
Special Waste,0.0
Special Waste,0.0
Plastic,0.001
Plastic,0.002
Metal,0.0
Plastic,0.002
Organic,0.0
Special Waste,0.0
C&D,0.0
Metal,0.0
Organic,0.567
Special Waste,0.0
Plastic,0.001
Organic,0.002
Plastic,0.007
Organic,0.0
Organic,0.0
Metal,0.0
Organic,0.003
Plastic,0.0
Metal,0.0
Special Waste,0.0
Metal,0.0
Plastic,0.0
Miscellaneous Inorganics,0.001
Organic,0.001
Organic,0.31
Plastic,0.001
Organic,0.001
Glass,0.0
Plastic,0.001
Special Waste,0.0
E-Waste,0.001
Organic,0.005
Plastic,0.001
Plastic,0.001
Plastic,0.005
Paper,0.013
Metal,0.0
Plastic,0.007
Plastic,0.0
Glass,0.0
Plastic,0.0
Glass,0.001
Organic,0.599
Organic,0.008
E-Waste,0.0
Special Waste,0.0
Miscellaneous Inorganics,0.0
Paper,0.0
Metal,0.0
Metal,0.0
Metal,0.0
Special Waste,0.0
Glass,0.0
Organic,0.002
Metal,0.0
C&D,0.0
Metal,0.0
Special Waste,0.0
Plastic,0.002
Metal,0.0
Special Waste,0.0
Plastic,0.0
Plastic,0.005
Metal,0.0
Special Waste,0.0
Plastic,0.0
E-Waste,0.0
E-Waste,0.0
E-Waste,0.001
Glass,0.001
Plastic,0.004
Special Waste,0.0
Plastic,0.012
Plastic,0.009
Paper,0.02
Organic,0.0
Organic,0.001
Plastic,0.0
Paper,0.004
Paper,0.002
E-Waste,0.0
Metal,0.0
C&D,0.0
Paper,0.0
E-Waste,0.0
E-Waste,0.0
E-Waste,0.0
E-Waste,0.002
E-Waste,0.0
Paper,0.008
Plastic,0.001
Plastic,0.009
Metal,0.0
Plastic,0.001
C&D,0.001
Metal,0.0
C&D,0.001
E-Waste,0.0
Special Waste,0.0
Glass,0.0
Organic,0.004
Paper,0.021
C&D,0.0
Organic,0.001
C&D,0.0
Special Waste,0.0
Metal,0.0
Special Waste,0.0
Metal,0.0
Metal,0.0
Paper,0.004
Plastic,0.0
Special Waste,0.0
E-Waste,0.0
Glass,0.0
Glass,0.0
Organic,0.005
Glass,0.001
Plastic,0.0
Metal,0.0
Paper,0.001
Paper,0.0
Plastic,0.007
Organic,0.525
Plastic,0.001
Paper,0.006
Special Waste,0.0
Organic,0.003
Plastic,0.001
Organic,0.343
Special Waste,0.0
Metal,0.0
Paper,0.0
Glass,0.0
Glass,0.001
E-Waste,0.0
Special Waste,0.0
Plastic,0.007
Metal,0.0
Metal,0.001
Organic,0.001
Organic,0.004
E-Waste,0.0
Organic,0.003
Organic,0.0
Special Waste,0.0
Organic,0.001
Special Waste,0.0
Paper,0.023
Plastic,0.0
Organic,0.001
Special Waste,0.0
C&D,0.0
Paper,0.004
Metal,0.0
Metal,0.0
Organic,0.0
Plastic,0.0
Organic,0.002
Glass,0.0
Metal,0.0
Plastic,0.0
Special Waste,0.0
Organic,0.0
Organic,0.004
Paper,0.0
Plastic,0.0
Glass,0.0
Special Waste,0.0
Special Waste,0.0
Glass,0.0
Special Waste,0.0
Glass,0.002
Metal,0.0
Organic,0.368
Paper,0.0
Paper,0.009
Plastic,0.0
Plastic,0.001
Special Waste,0.0
Plastic,0.001
Plastic,0.008
Metal,0.0
Glass,0.0
Paper,0.0
Paper,0.001
Special Waste,0.0
Glass,0.0
Special Waste,0.0
Metal,0.0
Paper,0.0
