programname,servicefromdate,sponsorname
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-10-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-06-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-11-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-11-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-11-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-11-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-04-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-11-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-04-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-04-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-11-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-11-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-04-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-10-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-10-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-06-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-06-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-06-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-10-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-08-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-06-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-04-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-10-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-05-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-04-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-09-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-12-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-01-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-04-01T00:00:00.000,"Hamilton-Madison House, Inc."
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE",2022-07-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-03-01T00:00:00.000,"Hamilton-Madison House, Inc."
"6K1-Hamilton-Madison House, Inc.-01|DFTABASELINE",2023-02-01T00:00:00.000,"Hamilton-Madison House, Inc."
