total_daily,service_date
83,2019-08-02T00:00:00.000
119,2020-01-30T00:00:00.000
136,2019-11-11T00:00:00.000
103,2019-10-08T00:00:00.000
84,2020-03-06T00:00:00.000
137,2020-03-20T00:00:00.000
143,2020-03-31T00:00:00.000
141,2019-11-06T00:00:00.000
111,2019-09-09T00:00:00.000
116,2019-11-13T00:00:00.000
129,2019-09-19T00:00:00.000
134,2019-08-21T00:00:00.000
86,2020-01-10T00:00:00.000
53,2020-03-12T00:00:00.000
149,2020-03-25T00:00:00.000
78,2019-12-20T00:00:00.000
1,2019-11-03T00:00:00.000
128,2020-01-28T00:00:00.000
127,2019-07-01T00:00:00.000
105,2020-02-17T00:00:00.000
103,2019-12-04T00:00:00.000
101,2019-12-12T00:00:00.000
121,2020-01-13T00:00:00.000
108,2019-11-01T00:00:00.000
142,2019-10-02T00:00:00.000
122,2019-10-30T00:00:00.000
124,2020-02-04T00:00:00.000
139,2019-08-20T00:00:00.000
97,2019-11-08T00:00:00.000
79,2019-07-26T00:00:00.000
151,2019-08-05T00:00:00.000
100,2019-07-23T00:00:00.000
146,2020-03-27T00:00:00.000
99,2020-02-19T00:00:00.000
114,2019-11-07T00:00:00.000
95,2019-11-15T00:00:00.000
138,2019-08-07T00:00:00.000
142,2019-10-23T00:00:00.000
120,2019-09-18T00:00:00.000
151,2019-07-30T00:00:00.000
104,2019-07-29T00:00:00.000
72,2020-02-07T00:00:00.000
138,2020-02-11T00:00:00.000
145,2020-01-27T00:00:00.000
126,2019-08-26T00:00:00.000
60,2020-03-11T00:00:00.000
96,2020-01-23T00:00:00.000
40,2020-03-13T00:00:00.000
73,2019-09-27T00:00:00.000
113,2019-09-05T00:00:00.000
140,2019-07-16T00:00:00.000
97,2020-01-22T00:00:00.000
130,2020-03-03T00:00:00.000
90,2019-12-23T00:00:00.000
103,2019-07-05T00:00:00.000
136,2019-07-31T00:00:00.000
125,2020-03-02T00:00:00.000
129,2019-07-15T00:00:00.000
77,2020-02-14T00:00:00.000
126,2019-07-03T00:00:00.000
65,2019-12-27T00:00:00.000
143,2019-07-24T00:00:00.000
90,2019-10-17T00:00:00.000
104,2020-03-04T00:00:00.000
89,2019-08-15T00:00:00.000
100,2019-12-06T00:00:00.000
112,2019-11-14T00:00:00.000
149,2020-03-30T00:00:00.000
96,2019-07-18T00:00:00.000
102,2019-10-31T00:00:00.000
124,2020-02-25T00:00:00.000
164,2019-09-17T00:00:00.000
93,2019-10-25T00:00:00.000
11,2020-03-22T00:00:00.000
147,2020-03-26T00:00:00.000
127,2020-02-10T00:00:00.000
87,2019-12-30T00:00:00.000
137,2020-03-24T00:00:00.000
125,2020-01-09T00:00:00.000
108,2020-02-03T00:00:00.000
1,2019-10-09T00:00:00.000
88,2019-12-13T00:00:00.000
97,2019-11-22T00:00:00.000
88,2020-02-28T00:00:00.000
1,2019-08-04T00:00:00.000
111,2019-12-03T00:00:00.000
10,2020-02-16T00:00:00.000
107,2020-02-12T00:00:00.000
1,2019-09-01T00:00:00.000
86,2019-12-09T00:00:00.000
92,2019-10-24T00:00:00.000
133,2020-01-15T00:00:00.000
98,2019-12-18T00:00:00.000
81,2020-01-03T00:00:00.000
91,2019-08-23T00:00:00.000
108,2020-02-05T00:00:00.000
144,2019-07-17T00:00:00.000
121,2020-01-21T00:00:00.000
127,2019-09-23T00:00:00.000
107,2019-07-25T00:00:00.000
103,2020-01-16T00:00:00.000
199,2019-09-10T00:00:00.000
138,2019-10-16T00:00:00.000
157,2020-04-01T00:00:00.000
126,2019-10-29T00:00:00.000
133,2019-08-19T00:00:00.000
123,2019-11-18T00:00:00.000
116,2019-08-22T00:00:00.000
133,2019-09-03T00:00:00.000
178,2019-11-26T00:00:00.000
121,2019-07-11T00:00:00.000
119,2019-11-25T00:00:00.000
116,2019-09-04T00:00:00.000
1,2019-09-02T00:00:00.000
73,2019-08-16T00:00:00.000
1,2019-09-15T00:00:00.000
117,2019-09-16T00:00:00.000
192,2019-09-25T00:00:00.000
137,2019-11-05T00:00:00.000
116,2020-03-10T00:00:00.000
115,2020-01-07T00:00:00.000
75,2019-12-02T00:00:00.000
1,2020-02-02T00:00:00.000
130,2019-08-27T00:00:00.000
120,2019-12-16T00:00:00.000
75,2020-03-09T00:00:00.000
154,2019-08-13T00:00:00.000
80,2020-01-17T00:00:00.000
123,2020-01-08T00:00:00.000
20,2019-12-15T00:00:00.000
142,2019-09-24T00:00:00.000
96,2019-12-31T00:00:00.000
93,2019-07-12T00:00:00.000
82,2019-12-11T00:00:00.000
103,2020-02-13T00:00:00.000
1,2019-08-18T00:00:00.000
86,2019-12-19T00:00:00.000
171,2019-11-12T00:00:00.000
117,2019-08-01T00:00:00.000
60,2020-03-18T00:00:00.000
92,2020-02-27T00:00:00.000
159,2020-01-14T00:00:00.000
91,2019-09-26T00:00:00.000
55,2020-03-19T00:00:00.000
134,2019-07-08T00:00:00.000
