objectid,parent_bbl,effective_tax_year
30,3001990015,2024-2025
38,1014800112,2016-2017
59,3011290030,2024-2025
45,1014800119,2016-2017
28,1019460022,2009-2010
58,1007020180,2018-2019
48,3011290150,2024-2025
24,1004640048,2007-2008
57,1007550040,2019-2020
41,1014800115,2016-2017
67,3020110060,2024-2025
20,4050100079,
65,1019970001,2022-2023
61,1014030133,2019-2020
64,1014830120,2021-2022
54,3002950111,2024-2025
36,1005350020,2016-2017
79,3021340038,2024-2025
69,1001520023,2023-2024
72,3011180004,2023-2024
33,1006760005,2024-2025
60,3001460016,2019-2020
23,1007830034,
4,4050100079,
9,4050100079,
7,4050100079,
32,1007020125,2015-2016
