parent_bbl,sub_lot_bbl,parent_boro,parent_lot
1009990062,1009998062,1,62
3021340040,3021348041,3,40
1007020150,1007028003,1,150
1006300140,1006308140,1,140
1014800118,1014808100,1,118
3002950014,3002958014,3,14
4050100079,4050108008,4,79
3002950108,3002958014,3,108
1012650001,1012658040,1,1
1014800116,1014808100,1,116
3087200040,3087208005,3,40
3011200019,3011208019,3,19
4050100079,4050108005,4,79
1014830110,1014838110,1,110
4050100079,4050108003,4,79
3087200030,3087208001,3,30
1014800120,1014808100,1,120
1018650010,1018658010,1,10
4050100079,4050108006,4,79
1019990001,1019998001,1,1
1012650040,1012658040,1,40
3011200001,3011208001,3,1
1010400001,1010408001,1,1
3023320030,3023328030,3,30
1014150105,1014158105,1,105
3002950107,3002958014,3,107
