name,location,handicap_accessible
Bleecker Playground,Hudson & West 11 streets,
Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,
Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,
Dry Dock Playground,"East 10 Street & Szold Place, Avenue D",
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Yes
Edenwald Playground,"East 226 Drive, Schieffelin Avenue",
Castle Hill Playground,"Parker Street, Castle Hill Avenue, Puroy Street",
Coney Island,W 33 St.,Yes
Carroll Park,Court & Smith Streets,Yes
Bennett Park,"West 185 Street, Ft Washington Avenue",
Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",
Annunciation Park,"Convent and Amsterdam Av, W 135 St",Yes
Alstyne Playground,Alystine Avenue & 102 Street,
Dyckman House Museum,Broadway & West 204 Street,
Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",
Clement Clark Moore Park,Broadway & 83 Street,
Breukelen Playground,Louisiana & Flatlands Avenue,
Belmont Playground,"Crotona Avenue, East 181 Street",Yes
Augustus St. Gaudens,"East 19 to East 20 streets, 2 Avenue",
De Witt Clinton Park,"West 52 to West 54 streets, 11 to 12 avenues",Yes
East River Park (Tennis Courts),East River Park at Broome Street,
Asser Levy Park (Performance Space),"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",
East River Park (Track Building),East 6 Street & FDR Drive,
Cypress Hills Park,Blake & Euclid avenues,
227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,Yes
Coney Island,Brighton 2nd,Yes
Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Yes
Columbus Park,"Adams, Johnson, Fulton, Joralemon streets",
Dr. Martin Luther King Jr. Park,"Dumont, Blake, Miller avenues",
Asser Levy,Asser Levy Place & East 24-25 streets,
Coney Island Beach,West 16th Street,Yes
Cedar Playground,"West 179 Street, West Burnside Avenue, Major Deegan Expressway, Sedgewick Avenue",
Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",
Chelsea Park,West 27 Street & 9 Avenue,
Dr. Charles R. Drew Memorial Park,"Van Wyck Expressway, 116 Avenue, 140 Street, 115 Avenue",
Albemarle Park,Albermarle Road & Dahill Road,Yes
Carver Playground,Ralph Avenue & Sumpter Street,
Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Yes
Capt. Rivera Playground,"East 156 Street, Forest Avenue",Yes
Bay Terrace Playground (PS 169),23 Avenue & 212 Street,
Cavanaugh Triangle (Angelo Campanero Playground),"East Gun Hill Road, Eastchest Road, & O'Neil Place",Yes
Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Yes
Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",
Benson Playground,Bath Avenue between Bay 22 & Bay 23 streets,
100% Playground,"Glenwood Road, East 100 & East 101 streets",
Castlewood Playground (PS 186),Little Neck Parkway & 72 Avenue,
Eastchester Playground,"Adee Avenue, Tenbroeck Avenue",
Astoria Heights Playground,"30 Road, 45 to 46 streets",
Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",
Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",
Carl Schurz Park,East 84 Street & East End Avenue,Yes
Asser Levy Park,"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",
Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",Yes
Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",
Brownsville Playground,Linden Boulevard & Hegeman Avenue,
Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",
Broadway Malls,"Broadway, Columbus Circle to West 110 Street",
Crowley Playground,57 Avenue & 83 Street,
Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",Yes
Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,
Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,
Bartlett Playground,Bartlett Street & Throop Avenue,
Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,
Century Playground,Brighton Beach Avenue & West 2 Street,
Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",
Battery Park Comfort Station,"Battery Place, State & Whitehall streets",
