specific_conductance_s_cm,sample_site
122,47550
100,31850
96,51450
97,23450
102,50850
120,31050
114,20150
98,33850
95,57750
123,31950
87,53550
95,21550
99,45250
106,31450
103,20650
108,45250
82,76150
98,77650
86,46250
98,33050
200,39650
105,40350
279,15150
379,33950
101,37950
160,10750
86,46150
96,20150
96,33550
96,26850
124,11750
102,47650
264,31450
102,16150
84,44450
84,22250
104,31850
96,44450
362,32350
95,53550
93,78150
102,11750
104,50750
120,35750
87,77750
106,50750
103,59050
101,22950
108,30550
119,57750
86,31850
377,33450
97,46150
380,31550
120,53550
119,16150
99,39650
152,39950
96,44350
119,37450
115,78150
112,24350
126,31650
106,11750
125,33550
206,39950
118,22950
247,31550
106,77750
98,30550
278,37950
88,27350
83,78150
94,47550
102,52050
85,40350
213,36950
371,33950
104,39950
120,46150
85,37950
232,18650
85,51450
99,36950
115,31050
118,22250
356,30150
86,33450
366,33950
86,79550
84,47550
100,31750
94,79550
194,31550
108,52050
103,46250
352,31550
105,33850
95,76150
85,21550
99,45250
104,33050
100,23450
102,38250
101,18650
85,16150
97,37450
101,30150
103,27350
105,32350
87,22950
85,57750
94,46250
107,40350
96,59050
123,35750
106,50850
118,26850
84,38250
96,20650
83,15150
99,35750
259,38250
106,46250
100,15150
111,77750
92,20150
101,77650
114,31950
103,59050
103,15150
108,36950
98,52050
99,50250
244,30550
218,44350
96,31450
116,47650
99,77650
95,10750
114,27350
383,33450
120,10750
97,22250
99,50250
104,44350
85,26850
233,33850
95,47650
104,23450
102,31750
218,30550
95,77750
84,58650
99,58650
87,59050
95,27350
183,33850
112,47650
177,36950
100,38250
99,31950
97,31650
301,11750
85,44350
102,53550
220,33050
98,24350
109,50250
104,58650
94,16150
197,31750
100,50850
115,20650
94,40350
100,24350
173,31450
244,31850
347,33450
119,76150
118,32350
355,30150
118,44450
96,39950
104,37950
104,79550
119,31650
108,50750
102,20650
105,79550
115,58650
98,18650
97,31050
119,33550
105,39650
118,21550
160,33050
121,37450
119,51450
102,20150
