line_no,nonhispanic_latino_male_amer
44,
40,
68,
48,
62,
78,
47,
73,
37,
47,
67,
13,
6,
64,
79,
22,
71,
24,
29,
30,3.0
20,
37,
28,
69,1.0
47,
78,1.0
83,
63,
81,1.0
31,4.0
65,23.0
40,
64,
63,
78,1.0
74,1.0
36,
23,2.0
74,4.0
31,1.0
14,
30,4.0
32,16.0
82,
64,
54,1.0
82,
80,
7,
8,1.0
22,
24,
68,
55,
76,1.0
16,1.0
30,
14,5.0
31,
82,
77,
6,
24,
56,
74,0.0
66,
38,1.0
8,1.0
16,3.0
76,
71,
63,
24,
78,
23,
61,
76,
40,
56,4.0
38,
81,
32,1.0
39,
67,3.0
56,
76,
32,
61,3.0
7,
31,4.0
44,
15,2.0
81,
66,
67,
80,
21,2.0
83,2.0
79,
45,
46,1.0
37,
21,
47,
83,3.0
56,1.0
8,24.0
71,
32,47.0
55,
15,
79,
14,1.0
69,
66,
39,
60,2.0
36,
75,
70,
62,
62,
15,2.0
46,
21,1.0
60,
65,13.0
16,5.0
7,
21,
54,3.0
48,
61,
31,
23,1.0
70,
48,
65,147.0
46,
79,
83,1.0
8,
32,
77,1.0
8,5.0
38,
73,
20,
61,
80,
77,1.0
45,1.0
30,55.0
45,1.0
16,3.0
29,4.0
16,
75,
82,
74,0.0
29,
67,
23,
40,
7,
75,
81,
72,1.0
54,
63,
15,
64,
13,
24,
7,
55,1.0
36,
22,
15,3.0
29,
13,
30,
75,
14,
39,1.0
37,
46,1.0
14,
48,
70,
45,
53,
62,
22,4.0
23,
53,
39,
22,1.0
65,40.0
38,
