cad_incident_id,incident_close_datetime,first_hosp_arrival_datetime,borough,citycouncildistrict,held_indicator,first_on_scene_datetime,communityschooldistrict
50240049,2005-01-24T00:31:49.000,,MANHATTAN,3.0,N,,2.0
50101551,2005-01-10T13:00:40.000,,QUEENS,22.0,N,2005-01-10T12:38:03.000,30.0
50363115,2005-02-05T22:59:06.000,,BROOKLYN,,N,2005-02-05T22:53:56.000,
50033020,2005-01-03T18:46:29.000,,BROOKLYN,,N,2005-01-03T18:40:19.000,
50340484,2005-02-03T06:53:05.000,,MANHATTAN,,N,2005-02-03T06:41:32.000,
50242970,2005-01-24T19:55:58.000,,QUEENS,,N,,
50180925,2005-01-18T10:05:49.000,,QUEENS,27.0,Y,2005-01-18T09:55:04.000,29.0
50322392,2005-02-01T18:30:24.000,,MANHATTAN,,N,2005-02-01T18:17:09.000,
50262695,2005-01-26T19:26:46.000,,QUEENS,,N,,
50201764,2005-01-20T14:38:14.000,,QUEENS,,N,2005-01-20T14:15:11.000,
50312295,2005-01-31T16:24:17.000,,QUEENS,,N,,
50251977,2005-01-25T14:33:12.000,,BROOKLYN,,N,,
50232920,2005-01-23T23:10:05.000,,QUEENS,,N,,
50141546,2005-01-14T13:16:22.000,,BROOKLYN,,N,,
50321133,2005-02-01T11:08:51.000,,BROOKLYN,37.0,Y,,32.0
50360288,2005-02-05T02:22:02.000,,BRONX,,N,2005-02-05T02:16:26.000,
50352000,2005-02-04T17:01:22.000,2005-02-04T16:18:29.000,MANHATTAN,,Y,2005-02-04T15:44:58.000,
50011923,2005-01-01T07:12:10.000,,QUEENS,,Y,2005-01-01T07:10:56.000,
50130722,2005-01-13T08:27:03.000,,MANHATTAN,,N,2005-01-13T08:22:51.000,
50370303,2005-02-06T02:58:34.000,,BROOKLYN,,N,,
50010612,2005-01-01T02:18:48.000,,BROOKLYN,,N,2005-01-01T02:10:33.000,
50261699,2005-01-26T13:45:02.000,,BROOKLYN,,N,,
50341047,2005-02-03T10:50:28.000,,QUEENS,27.0,N,2005-02-03T10:44:46.000,29.0
50272262,2005-01-27T17:51:25.000,,BRONX,,N,2005-01-27T17:47:09.000,
50140005,2005-01-14T00:28:40.000,,BRONX,,N,,
50360049,2005-02-05T00:22:34.000,,MANHATTAN,,N,,
50331012,2005-02-02T10:36:43.000,,MANHATTAN,,N,,
50331305,2005-02-02T12:05:57.000,,QUEENS,23.0,Y,,29.0
50240867,2005-01-24T09:42:56.000,,MANHATTAN,,Y,2005-01-24T09:29:02.000,
50281286,2005-01-28T11:56:30.000,,BRONX,17.0,N,,7.0
50332328,2005-02-02T17:39:43.000,,MANHATTAN,,Y,2005-02-02T17:13:01.000,
50122398,2005-01-12T17:49:21.000,,QUEENS,26.0,N,,30.0
50342620,2005-02-03T20:18:38.000,,BRONX,,N,,
50070032,2005-01-07T00:22:16.000,,MANHATTAN,,N,,
50072540,2005-01-07T18:09:26.000,,QUEENS,,N,,
50033609,2005-01-03T21:16:26.000,,MANHATTAN,9.0,N,,5.0
50040760,2005-01-04T08:11:21.000,,BRONX,,N,,
50340738,2005-02-03T09:56:02.000,2005-02-03T09:28:44.000,BROOKLYN,36.0,Y,2005-02-03T09:00:12.000,13.0
50291674,2005-01-29T14:28:15.000,,BRONX,,N,,
50222357,2005-01-22T18:40:43.000,,MANHATTAN,3.0,Y,,2.0
50260388,2005-01-26T04:26:46.000,,MANHATTAN,6.0,N,,3.0
50260489,2005-01-26T06:13:26.000,,MANHATTAN,2.0,N,,2.0
50220073,2005-01-22T01:25:25.000,2005-01-22T00:59:36.000,BROOKLYN,41.0,N,,23.0
50151084,2005-01-15T10:42:08.000,,BRONX,13.0,N,,11.0
50310734,2005-01-31T08:39:15.000,,MANHATTAN,7.0,N,2005-01-31T08:34:14.000,3.0
50192415,2005-01-19T18:56:40.000,,QUEENS,25.0,N,,24.0
50181397,2005-01-18T12:57:27.000,,BRONX,,N,2005-01-18T12:45:25.000,
50010853,2005-01-01T03:11:42.000,,MANHATTAN,,Y,,
50252733,2005-01-25T18:21:34.000,,MANHATTAN,,N,,
50322591,2005-02-01T19:26:55.000,,BROOKLYN,,N,2005-02-01T19:24:34.000,
50192592,2005-01-19T20:42:58.000,,QUEENS,,N,2005-01-19T20:38:01.000,
50313175,2005-01-31T21:39:49.000,,MANHATTAN,,N,,
50191969,2005-01-19T17:00:52.000,,MANHATTAN,,N,2005-01-19T16:25:46.000,
50350440,2005-02-04T04:56:45.000,,QUEENS,30.0,N,,24.0
50211812,2005-01-21T14:39:38.000,,QUEENS,,N,,
50110922,2005-01-11T10:34:21.000,,QUEENS,,N,2005-01-11T10:29:03.000,
50371355,2005-02-06T11:55:34.000,,BROOKLYN,43.0,N,,20.0
50213036,2005-01-21T21:50:00.000,,QUEENS,,N,2005-01-21T21:43:29.000,
50020245,2005-01-02T01:35:14.000,,QUEENS,,N,,
50200189,2005-01-20T02:20:50.000,,MANHATTAN,4.0,N,2005-01-20T02:19:40.000,2.0
50051599,2005-01-05T13:19:14.000,,QUEENS,,N,,
50221799,2005-01-22T15:47:10.000,,MANHATTAN,,N,2005-01-22T15:23:05.000,
50180406,2005-01-18T05:28:26.000,,MANHATTAN,,N,,
50330816,2005-02-02T09:47:06.000,,BROOKLYN,47.0,N,2005-02-02T09:37:47.000,21.0
