polyline,n_samples
ybvwFrcobM|DaM,13
yjxwFpvnbM|BmHnCuI,2
ukwwFfmobMk^{U,17
ybvwFrcobM|DaM,4
opuwFnxpbM}JsGqJmG_G}D,19
ecwwFdynbMgC~HgC~H,14
ucvwF`cobMiCzH,0
kbxwFlbnbMfAiD`AuC,6
qovwFxapbMxCiJtBuG,11
_hvwF|lobMmGhS,4
ybxwF`bnbM??vRxMzJfG,51
ybxwF`bnbM??vRxMzJfG,65
qovwFxapbMxCiJtBuG,11
opuwFnxpbM}JsGqJmG_G}D,27
kbxwFlbnbMfAiD`AuC,13
a_wwFfonbMq^aV,55
qovwFxapbMxCiJtBuG,18
ybxwF`bnbM??vRxMzJfG,64
_~wwFhxmbMxD}L,14
ukwwFfmobMk^{U,22
gcxwFvanbM_CpHoCrI,59
ucvwF`cobMiCzH,0
a_xwFxwmbMeC|H,0
opuwFnxpbM}JsGqJmG_G}D,2
_~wwFhxmbMxD}L,38
a_xwFxwmbMeC|H,0
a_wwFfonbMcC|H,58
ukwwFfmobMk^{U,42
ecwwFdynbMlZhS,17
ucvwF`cobMiCzH,10
qovwFxapbMxCiJtBuG,12
_hvwF|lobMmGhS,2
kbxwFlbnbMfAiD`AuC,15
a_wwFfonbMcC|H,48
gcxwFvanbM_CpHoCrI,23
ucvwF`cobMiCzH,10
kbxwFlbnbMfAiD`AuC,15
ecwwFdynbMlZhS,58
opuwFnxpbM}JsGqJmG_G}D,30
opuwFnxpbM}JsGqJmG_G}D,25
ybxwF`bnbM??vRxMzJfG,28
ybvwFrcobM|DaM,2
mpvwFfapbMgC`I,0
ukwwFfmobMk^{U,44
mpvwFfapbMgC`I,0
_hvwF|lobMmGhS,0
opuwFnxpbM}JsGqJmG_G}D,18
_pvwFpapbMaG{DyJuGwFqD,24
qovwFxapbMxCiJtBuG,3
a_xwFxwmbMeC|H,6
ecwwFdynbMgC~HgC~H,15
icvwFhcobMgCyAoVgP,48
ecwwFdynbMlZhS,41
qovwFxapbMxCiJtBuG,4
icvwFhcobMgCyAoVgP,41
qovwFxapbMxCiJtBuG,11
a_wwFfonbMcC|H,29
apuwFxxpbMdCyHjCmIfC_I,38
mpvwFfapbMgC`I,0
icvwFhcobMgCyAoVgP,30
_pvwFpapbMaG{DyJuGwFqD,24
ecwwFdynbMgC~HgC~H,21
agvwFxmobMfCeI,17
opuwFnxpbM}JsGqJmG_G}D,24
agvwFxmobMfCeI,12
a_wwFfonbMq^aV,39
ucvwF`cobMiCzH,7
_hvwF|lobMmGhS,3
apuwFxxpbMdCyHjCmIfC_I,16
