org_enroll,target_bldg_cap
319.0,813.0
114.0,1009.0
,759.0
420.0,1221.0
437.0,3393.0
256.0,340.0
380.0,620.0
412.0,504.0
247.0,554.0
704.0,656.0
,2261.0
,1483.0
369.0,858.0
148.0,786.0
,986.0
,1544.0
402.0,2789.0
150.0,172.0
0.0,702.0
,574.0
415.0,623.0
404.0,618.0
560.0,867.0
31.0,1483.0
214.0,1250.0
346.0,623.0
432.0,696.0
,1544.0
720.0,819.0
258.0,717.0
,573.0
,2147.0
247.0,260.0
332.0,812.0
,3793.0
200.0,317.0
,1441.0
,451.0
,2239.0
,1309.0
310.0,465.0
110.0,1242.0
118.0,760.0
,1247.0
347.0,676.0
,991.0
539.0,1245.0
,1483.0
229.0,740.0
338.0,2264.0
0.0,1544.0
499.0,693.0
470.0,901.0
229.0,890.0
,702.0
638.0,856.0
,2970.0
333.0,687.0
,451.0
462.0,1384.0
258.0,381.0
,498.0
69.0,1547.0
,1195.0
,1483.0
381.0,1309.0
,2244.0
654.0,1264.0
116.0,147.0
407.0,900.0
353.0,1228.0
327.0,760.0
423.0,1009.0
,767.0
,1791.0
132.0,621.0
343.0,1228.0
313.0,2239.0
334.0,3344.0
,554.0
,2970.0
351.0,691.0
,2191.0
,1132.0
81.0,1067.0
,536.0
,3793.0
381.0,615.0
,656.0
592.0,1346.0
518.0,2970.0
53.0,994.0
192.0,169.0
467.0,1547.0
,2243.0
,625.0
324.0,2817.0
1098.0,1544.0
649.0,1076.0
1150.0,1601.0
,1035.0
,1275.0
210.0,940.0
,440.0
483.0,628.0
465.0,498.0
468.0,1964.0
27.0,773.0
82.0,440.0
43.0,176.0
403.0,858.0
,623.0
485.0,3344.0
283.0,767.0
247.0,2239.0
,536.0
,1231.0
,856.0
235.0,558.0
,657.0
374.0,1306.0
376.0,408.0
350.0,570.0
211.0,1250.0
166.0,786.0
563.0,1231.0
,820.0
633.0,780.0
180.0,631.0
316.0,418.0
510.0,625.0
598.0,1146.0
451.0,657.0
0.0,1247.0
186.0,1346.0
353.0,2264.0
290.0,693.0
,786.0
115.0,1472.0
359.0,1404.0
573.0,681.0
689.0,1067.0
447.0,900.0
6.0,364.0
0.0,1298.0
,2357.0
281.0,493.0
199.0,1242.0
,2244.0
215.0,1005.0
,2244.0
17.0,906.0
360.0,1544.0
139.0,1035.0
,1195.0
326.0,621.0
,1231.0
138.0,648.0
246.0,1085.0
342.0,636.0
388.0,702.0
669.0,994.0
469.0,687.0
341.0,2264.0
327.0,1509.0
,1221.0
714.0,814.0
9.0,794.0
531.0,1265.0
,504.0
485.0,0.0
387.0,336.0
52.0,625.0
541.0,2098.0
319.0,2357.0
497.0,1791.0
293.0,813.0
180.0,158.0
,317.0
,1035.0
0.0,0.0
26.0,420.0
436.0,352.0
614.0,842.0
118.0,1964.0
,1467.0
361.0,440.0
234.0,242.0
95.0,696.0
16.0,2243.0
504.0,520.0
,574.0
,1384.0
,1035.0
148.0,618.0
,1132.0
390.0,1002.0
210.0,641.0
196.0,504.0
105.0,558.0
