latitude,longitude,community_board
40.751593,-73.882764,3.0
40.625803,-74.075147,1.0
40.604581,-73.960652,15.0
40.612677,-74.083078,1.0
40.863435,-73.906866,7.0
40.648182,-73.947361,17.0
40.839135,-73.861223,9.0
40.813586,-73.939644,10.0
40.857416,-73.929193,12.0
40.671063,-73.923227,8.0
40.704034,-73.887544,5.0
40.666067,-73.930453,9.0
40.650826,-73.96194,14.0
40.674766,-73.873314,5.0
40.605601,-74.007984,11.0
40.857408,-73.89677,5.0
40.835963,-73.916307,4.0
40.857834,-73.901129,5.0
40.682778,-73.856886,9.0
40.82964,-73.888488,3.0
40.703205,-73.905918,5.0
40.681782,-73.974142,6.0
,,
40.632995,-73.897899,18.0
,,
40.811476,-73.940481,10.0
40.85413,-73.864813,11.0
40.724316,-73.939512,1.0
40.86991,-73.858541,12.0
40.740647,-73.891163,2.0
40.665361,-73.888431,5.0
40.677202,-73.877545,5.0
40.663123,-73.923708,17.0
40.705786,-73.759259,12.0
,,
40.800979,-73.9653,7.0
40.800121,-73.9531,10.0
40.748777,-73.89347,3.0
40.861516,-73.896193,5.0
40.724274,-73.846688,6.0
40.671074,-73.866042,5.0
40.768733,-73.933208,1.0
40.766537,-73.826974,7.0
40.724524,-73.99974,2.0
40.838601,-73.864682,9.0
40.876809,-73.902428,8.0
,,
40.767529,-73.924578,1.0
,,
40.670118,-73.865814,5.0
40.6024,-73.991494,11.0
40.823167,-73.9387,10.0
40.780878,-73.946441,8.0
40.856197,-73.906684,5.0
40.663016,-73.884214,5.0
,,
40.75479,-73.8239,7.0
40.687986,-73.917694,4.0
40.67373,-73.79447,12.0
40.855188,-73.931061,12.0
40.80346,-73.950974,10.0
40.849323,-73.888961,6.0
40.757646,-73.914547,1.0
40.834484,-73.925474,4.0
40.670952,-73.86251,5.0
40.642597,-73.947726,17.0
40.869431,-73.883551,7.0
40.658034,-73.912635,16.0
40.662633,-73.897584,5.0
40.744596,-73.956445,2.0
40.823122,-73.908039,3.0
40.873289,-73.885171,7.0
40.867449,-73.894842,7.0
,,
40.635841,-74.152323,1.0
40.757461,-73.998105,4.0
40.884076,-73.898053,8.0
40.87791,-73.857522,12.0
40.684541,-73.771115,12.0
40.645161,-74.083968,1.0
40.722854,-73.985854,3.0
40.828578,-73.941434,9.0
40.825021,-73.914161,3.0
40.642216,-73.954443,17.0
40.894112,-73.859592,12.0
40.86729,-73.901835,7.0
40.540571,-74.171966,3.0
40.841525,-73.910456,4.0
40.655256,-73.93756,17.0
40.813725,-73.94395,10.0
40.830678,-73.854758,9.0
40.658149,-73.901353,16.0
40.831818,-73.942815,12.0
40.87889,-73.906154,8.0
40.701526,-73.741307,13.0
40.838398,-73.925141,4.0
40.593283,-73.787095,14.0
40.838281,-73.927269,4.0
40.760691,-73.97262,5.0
40.741215,-73.924791,2.0
40.636952,-74.002868,12.0
40.823024,-73.938049,10.0
40.644919,-74.016039,7.0
40.745578,-73.912181,2.0
40.695521,-73.941309,3.0
40.830975,-73.922916,4.0
,,
,,
40.662212,-73.893349,5.0
40.65559,-73.72962,13.0
40.674315,-73.735702,13.0
,,
40.830872,-73.826387,10.0
40.756405,-73.979938,5.0
40.825727,-73.880777,9.0
40.855288,-73.896213,5.0
40.814275,-73.935337,11.0
40.869024,-73.922459,12.0
40.703672,-73.899905,5.0
40.640565,-74.017962,7.0
40.866909,-73.886679,7.0
40.685402,-73.840586,9.0
40.705271,-73.807739,12.0
40.739553,-73.897653,2.0
40.84684,-73.9249,5.0
40.564928,-74.18332,3.0
40.83317,-73.872452,9.0
40.702191,-73.891388,5.0
40.666891,-73.884171,5.0
,,
40.670848,-73.935649,8.0
40.824831,-73.854232,9.0
40.729842,-73.985131,3.0
40.824405,-73.924047,4.0
40.65666,-73.957425,9.0
40.82782,-73.906298,3.0
40.680516,-73.859224,9.0
40.588197,-73.952313,15.0
40.863906,-73.92346,12.0
40.820848,-73.866991,9.0
40.841631,-73.843472,10.0
40.75805,-73.834215,7.0
40.637402,-73.92017,18.0
40.611348,-73.954907,14.0
40.645831,-73.962401,14.0
40.654696,-73.926781,17.0
40.591795,-73.977611,13.0
40.676237,-73.819907,10.0
40.678798,-74.01122,6.0
40.870731,-73.90397,8.0
40.860979,-73.900264,5.0
40.602524,-73.996827,11.0
40.813956,-73.906845,1.0
40.649491,-73.930127,17.0
40.738412,-73.846767,6.0
40.811816,-73.959146,9.0
40.830623,-73.875843,9.0
,,
40.644916,-73.952351,17.0
40.702856,-73.811594,12.0
40.863587,-73.868435,11.0
40.822406,-73.915197,1.0
40.595996,-73.742187,14.0
40.813956,-73.906845,1.0
40.5959,-73.989313,11.0
40.638138,-73.945294,17.0
40.823694,-73.916973,1.0
40.760667,-73.833483,7.0
40.778025,-73.949974,8.0
40.814649,-73.942121,10.0
,,
,,
40.851187,-73.93267,12.0
40.677392,-73.891522,5.0
40.827849,-73.88689,3.0
40.605765,-73.757358,14.0
40.846711,-73.827379,10.0
40.863582,-73.86641,11.0
40.730732,-73.828914,8.0
,,
40.8634,-73.897679,7.0
40.869669,-73.835545,12.0
40.885979,-73.844608,12.0
,,
,,
40.629838,-74.144207,1.0
40.829061,-73.865724,9.0
40.774158,-73.950919,8.0
40.692022,-73.798351,12.0
40.813931,-73.908835,1.0
40.74943,-74.002422,4.0
40.849082,-73.868753,11.0
40.727165,-73.726984,13.0
40.664279,-73.925001,17.0
40.703156,-73.92038,4.0
40.753283,-73.98897,5.0
40.690621,-73.938428,3.0
40.869946,-73.835849,12.0
40.816641,-73.888365,2.0
,,
