bin,nta
3204045.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
2022545.0,Soundview-Castle Hill-Clason Point-Harding Park
1090727.0,Hudson Yards-Chelsea-Flatiron-Union Square
3327551.0,East Flatbush-Farragut
5106237.0,Grymes Hill-Clifton-Fox Hills
3343256.0,East New York
,
4112570.0,Flushing
2117805.0,Melrose South-Mott Haven North
3038166.0,Crown Heights North
2058806.0,Williamsbridge-Olinville
,
1063957.0,Washington Heights North
2017481.0,Van Cortlandt Village
3186146.0,Bensonhurst East
1064752.0,Marble Hill-Inwood
2096675.0,Parkchester
2101646.0,Allerton-Pelham Gardens
3090478.0,East New York
2083139.0,Spuyten Duyvil-Kingsbridge
,
1034257.0,Midtown-Midtown South
2116375.0,Highbridge
,
3000000.0,Midwood
3103804.0,Rugby-Remsen Village
2051319.0,Bronxdale
4051288.0,Forest Hills
3418421.0,Park Slope-Gowanus
,
,
3139194.0,Borough Park
4000000.0,Jamaica
,
4436429.0,Hammels-Arverne-Edgemere
4198391.0,Richmond Hill
1053887.0,Central Harlem North-Polo Grounds
,
4234130.0,Hollis
1076333.0,Yorkville
4005720.0,Old Astoria
3117582.0,Flatbush
3016259.0,Sunset Park West
4539017.0,Laurelton
4006909.0,Old Astoria
1087101.0,Midtown-Midtown South
3085401.0,East New York (Pennsylvania Ave)
1064974.0,Marble Hill-Inwood
5013765.0,Stapleton-Rosebank
3116540.0,Flatbush
2024272.0,Soundview-Bruckner
3085552.0,East New York (Pennsylvania Ave)
4532158.0,Flushing
2114253.0,Morrisania-Melrose
3099544.0,Brownsville
4167585.0,Bellerose
2013473.0,Bedford Park-Fordham North
,
3100136.0,Brownsville
2015749.0,Van Cortlandt Village
3342857.0,East New York
5146053.0,Port Richmond
2016744.0,Bedford Park-Fordham North
3082467.0,Brownsville
5079912.0,Annadale-Huguenot-Prince's Bay-Eltingville
2047838.0,East Tremont
2013896.0,Fordham South
4084243.0,Ridgewood
3077157.0,Bushwick South
2007824.0,East Concourse-Concourse Village
,
,
1053895.0,Central Harlem North-Polo Grounds
4544541.0,Elmhurst-Maspeth
2012362.0,East Tremont
3167633.0,Bath Beach
3087756.0,East New York
3389671.0,Gravesend
2016540.0,Bedford Park-Fordham North
2068047.0,Williamsbridge-Olinville
3390973.0,East New York
3233403.0,Canarsie
4298968.0,Far Rockaway-Bayswater
,
