executed_date,ejectment
2019-07-11T00:00:00.000,Not an Ejectment
2017-03-02T00:00:00.000,Not an Ejectment
2025-04-11T00:00:00.000,Not an Ejectment
2018-08-03T00:00:00.000,Not an Ejectment
2017-09-28T00:00:00.000,Not an Ejectment
2020-01-02T00:00:00.000,Not an Ejectment
2025-08-27T00:00:00.000,Not an Ejectment
2018-09-14T00:00:00.000,Not an Ejectment
2023-06-14T00:00:00.000,Not an Ejectment
2018-01-19T00:00:00.000,Not an Ejectment
2017-10-20T00:00:00.000,Not an Ejectment
2025-02-03T00:00:00.000,Not an Ejectment
2025-06-03T00:00:00.000,Not an Ejectment
2018-01-26T00:00:00.000,Not an Ejectment
2024-11-08T00:00:00.000,Not an Ejectment
2025-04-23T00:00:00.000,Not an Ejectment
2025-03-20T00:00:00.000,Not an Ejectment
2025-06-11T00:00:00.000,Not an Ejectment
2017-12-15T00:00:00.000,Not an Ejectment
2019-08-28T00:00:00.000,Not an Ejectment
2018-10-01T00:00:00.000,Not an Ejectment
2020-03-02T00:00:00.000,Not an Ejectment
2018-05-03T00:00:00.000,Not an Ejectment
2018-08-28T00:00:00.000,Not an Ejectment
2019-01-17T00:00:00.000,Not an Ejectment
2017-06-19T00:00:00.000,Not an Ejectment
2024-02-28T00:00:00.000,Not an Ejectment
2025-06-23T00:00:00.000,Not an Ejectment
2018-05-23T00:00:00.000,Not an Ejectment
2024-07-24T00:00:00.000,Not an Ejectment
2018-02-07T00:00:00.000,Not an Ejectment
2018-10-09T00:00:00.000,Not an Ejectment
2024-11-25T00:00:00.000,Not an Ejectment
2024-06-05T00:00:00.000,Not an Ejectment
2020-01-27T00:00:00.000,Not an Ejectment
2025-04-08T00:00:00.000,Not an Ejectment
2023-02-06T00:00:00.000,Not an Ejectment
2024-12-19T00:00:00.000,Not an Ejectment
2018-01-03T00:00:00.000,Not an Ejectment
2019-10-17T00:00:00.000,Not an Ejectment
2020-01-07T00:00:00.000,Not an Ejectment
2024-03-01T00:00:00.000,Not an Ejectment
2024-12-06T00:00:00.000,Not an Ejectment
2022-03-25T00:00:00.000,Not an Ejectment
2019-12-04T00:00:00.000,Not an Ejectment
2019-09-03T00:00:00.000,Not an Ejectment
2017-01-11T00:00:00.000,Not an Ejectment
2019-11-04T00:00:00.000,Not an Ejectment
2025-11-12T00:00:00.000,Not an Ejectment
2022-08-18T00:00:00.000,Not an Ejectment
2024-01-04T00:00:00.000,Not an Ejectment
2020-01-06T00:00:00.000,Not an Ejectment
2017-01-26T00:00:00.000,Not an Ejectment
2024-01-02T00:00:00.000,Not an Ejectment
2024-02-26T00:00:00.000,Not an Ejectment
2024-05-22T00:00:00.000,Not an Ejectment
2018-01-24T00:00:00.000,Not an Ejectment
2023-06-21T00:00:00.000,Not an Ejectment
2018-10-12T00:00:00.000,Not an Ejectment
2018-05-01T00:00:00.000,Not an Ejectment
2019-01-03T00:00:00.000,Not an Ejectment
2018-11-19T00:00:00.000,Not an Ejectment
2025-11-18T00:00:00.000,Not an Ejectment
2017-12-04T00:00:00.000,Not an Ejectment
2023-02-23T00:00:00.000,Not an Ejectment
2019-09-17T00:00:00.000,Not an Ejectment
2025-05-29T00:00:00.000,Not an Ejectment
2018-12-19T00:00:00.000,Not an Ejectment
2023-10-23T00:00:00.000,Not an Ejectment
2024-02-21T00:00:00.000,Not an Ejectment
2023-08-04T00:00:00.000,Not an Ejectment
2017-09-05T00:00:00.000,Not an Ejectment
2023-06-27T00:00:00.000,Not an Ejectment
2023-02-14T00:00:00.000,Not an Ejectment
2025-04-10T00:00:00.000,Not an Ejectment
2018-12-11T00:00:00.000,Not an Ejectment
2023-05-23T00:00:00.000,Not an Ejectment
2024-03-05T00:00:00.000,Not an Ejectment
2025-06-26T00:00:00.000,Not an Ejectment
2018-06-05T00:00:00.000,Not an Ejectment
2018-08-28T00:00:00.000,Not an Ejectment
2024-03-13T00:00:00.000,Not an Ejectment
2017-05-26T00:00:00.000,Not an Ejectment
2020-02-24T00:00:00.000,Not an Ejectment
2018-12-17T00:00:00.000,Not an Ejectment
2024-05-23T00:00:00.000,Not an Ejectment
2023-07-06T00:00:00.000,Not an Ejectment
2023-08-15T00:00:00.000,Not an Ejectment
2023-07-31T00:00:00.000,Not an Ejectment
2017-07-31T00:00:00.000,Not an Ejectment
2025-11-06T00:00:00.000,Not an Ejectment
2017-03-16T00:00:00.000,Not an Ejectment
2017-03-17T00:00:00.000,Not an Ejectment
2019-05-24T00:00:00.000,Not an Ejectment
2017-03-17T00:00:00.000,Not an Ejectment
2022-05-20T00:00:00.000,Not an Ejectment
2024-08-01T00:00:00.000,Not an Ejectment
2018-05-25T00:00:00.000,Not an Ejectment
2020-01-09T00:00:00.000,Not an Ejectment
2017-02-14T00:00:00.000,Not an Ejectment
2023-09-22T00:00:00.000,Not an Ejectment
2024-11-21T00:00:00.000,Not an Ejectment
2019-04-17T00:00:00.000,Not an Ejectment
2017-07-07T00:00:00.000,Not an Ejectment
2017-11-21T00:00:00.000,Not an Ejectment
2018-05-10T00:00:00.000,Not an Ejectment
2025-10-21T00:00:00.000,Not an Ejectment
2017-02-27T00:00:00.000,Not an Ejectment
2018-08-28T00:00:00.000,Not an Ejectment
2018-03-19T00:00:00.000,Not an Ejectment
2017-05-15T00:00:00.000,Not an Ejectment
2022-04-22T00:00:00.000,Not an Ejectment
2022-08-08T00:00:00.000,Not an Ejectment
2018-01-23T00:00:00.000,Not an Ejectment
2017-06-07T00:00:00.000,Not an Ejectment
2025-01-31T00:00:00.000,Not an Ejectment
2023-09-05T00:00:00.000,Not an Ejectment
2024-11-06T00:00:00.000,Not an Ejectment
2025-07-08T00:00:00.000,Not an Ejectment
2018-07-30T00:00:00.000,Not an Ejectment
2025-08-15T00:00:00.000,Not an Ejectment
2017-11-02T00:00:00.000,Not an Ejectment
2025-06-04T00:00:00.000,Not an Ejectment
2018-04-18T00:00:00.000,Not an Ejectment
2018-08-03T00:00:00.000,Not an Ejectment
2025-05-12T00:00:00.000,Not an Ejectment
2017-02-02T00:00:00.000,Not an Ejectment
2025-06-03T00:00:00.000,Not an Ejectment
2017-03-07T00:00:00.000,Not an Ejectment
2023-08-02T00:00:00.000,Not an Ejectment
2022-05-31T00:00:00.000,Not an Ejectment
2018-10-24T00:00:00.000,Not an Ejectment
2019-03-22T00:00:00.000,Not an Ejectment
2025-10-24T00:00:00.000,Not an Ejectment
2024-06-14T00:00:00.000,Not an Ejectment
2017-10-31T00:00:00.000,Not an Ejectment
2017-05-18T00:00:00.000,Not an Ejectment
2020-11-30T00:00:00.000,Not an Ejectment
2018-02-13T00:00:00.000,Not an Ejectment
2017-01-27T00:00:00.000,Not an Ejectment
2022-12-14T00:00:00.000,Not an Ejectment
2019-01-24T00:00:00.000,Not an Ejectment
2017-01-12T00:00:00.000,Not an Ejectment
2023-01-06T00:00:00.000,Not an Ejectment
2018-09-05T00:00:00.000,Not an Ejectment
2017-09-14T00:00:00.000,Not an Ejectment
2024-01-04T00:00:00.000,Not an Ejectment
2024-12-12T00:00:00.000,Not an Ejectment
2025-04-02T00:00:00.000,Not an Ejectment
2023-10-12T00:00:00.000,Not an Ejectment
2018-07-13T00:00:00.000,Not an Ejectment
2023-10-12T00:00:00.000,Not an Ejectment
2023-12-14T00:00:00.000,Not an Ejectment
2018-05-09T00:00:00.000,Not an Ejectment
2025-11-18T00:00:00.000,Not an Ejectment
2019-01-28T00:00:00.000,Not an Ejectment
2019-07-25T00:00:00.000,Not an Ejectment
2018-09-21T00:00:00.000,Not an Ejectment
2017-01-11T00:00:00.000,Not an Ejectment
2025-03-26T00:00:00.000,Not an Ejectment
2019-03-07T00:00:00.000,Not an Ejectment
2019-05-09T00:00:00.000,Not an Ejectment
2017-09-11T00:00:00.000,Not an Ejectment
2023-12-14T00:00:00.000,Not an Ejectment
2023-10-17T00:00:00.000,Not an Ejectment
2018-05-23T00:00:00.000,Not an Ejectment
2024-01-18T00:00:00.000,Not an Ejectment
2019-06-27T00:00:00.000,Not an Ejectment
2019-09-19T00:00:00.000,Not an Ejectment
2025-11-25T00:00:00.000,Not an Ejectment
2019-07-01T00:00:00.000,Not an Ejectment
2024-02-20T00:00:00.000,Not an Ejectment
2019-09-04T00:00:00.000,Not an Ejectment
2019-01-03T00:00:00.000,Not an Ejectment
2024-03-14T00:00:00.000,Not an Ejectment
2023-09-29T00:00:00.000,Not an Ejectment
2025-09-02T00:00:00.000,Not an Ejectment
2023-02-15T00:00:00.000,Not an Ejectment
2025-03-10T00:00:00.000,Not an Ejectment
2017-01-20T00:00:00.000,Not an Ejectment
2024-10-28T00:00:00.000,Not an Ejectment
2025-12-11T00:00:00.000,Not an Ejectment
2018-05-04T00:00:00.000,Not an Ejectment
2025-03-19T00:00:00.000,Not an Ejectment
2025-03-18T00:00:00.000,Not an Ejectment
2018-08-20T00:00:00.000,Not an Ejectment
2018-11-13T00:00:00.000,Not an Ejectment
2017-08-28T00:00:00.000,Not an Ejectment
2024-03-22T00:00:00.000,Not an Ejectment
2017-11-30T00:00:00.000,Not an Ejectment
2019-02-04T00:00:00.000,Not an Ejectment
2017-05-31T00:00:00.000,Not an Ejectment
2023-06-28T00:00:00.000,Not an Ejectment
2017-03-20T00:00:00.000,Not an Ejectment
2019-02-04T00:00:00.000,Not an Ejectment
2018-01-10T00:00:00.000,Not an Ejectment
2017-12-13T00:00:00.000,Not an Ejectment
2018-01-10T00:00:00.000,Not an Ejectment
2024-02-20T00:00:00.000,Not an Ejectment
