cty_fnd,agy_cd,agy_nm,pub_dt,fisc_yr
965605,827,Department of Sanitation,20171130,2004
201277,836,Department of Finance,20171130,2004
22597,156,Taxi & Limousine Commission,20171130,2002
0,820,Office of Administrative Trials and Hearings,20171130,2002
2518,132,Independent Budget Office,20171130,2005
12258,866,Department of Consumer Affairs,20171130,2002
126952,260,Youth & Community Development,20171130,2005
2539,136,Landmarks Preservation Comm.,20171130,2004
35201,904,District Attorney - Queens,20171130,2002
76845,130,Department of Juvenile Justice,20171130,2003
6199,131,Office of Payroll Admin.,20171130,2004
2877,136,Landmarks Preservation Comm.,20171130,2005
2551,132,Independent Budget Office,20171130,2002
2422,132,Independent Budget Office,20171130,2004
99697,125,Department for the Aging,20171130,2005
0,991,General Reserve,20171130,2009
356,943,Public Administrator- Brooklyn,20171130,2005
956840,827,Department of Sanitation,20171130,2003
46329,102,City Council,20171130,2005
12920,906,Off. of Prosec. & Spec. Narc.,20171130,2003
1624,312,Conflicts of Interest Board,20171130,2002
136922,856,Dept of Citywide Admin Srvces,20171130,2004
0,996,Lease Adjustment,20171130,2002
655668,826,Dept of Environmental Prot.,20171130,2003
3386,860,Dept of Records & Info Serv.,20171130,2003
35897,902,District Attorney - Bronx,20171130,2003
0,995,Energy Adjustment,20171130,2004
403,943,Public Administrator- Brooklyn,20171130,2004
11531,499,Community Boards (All),20171130,2003
223,945,Public Administrator -Richmond,20171130,2003
501534,100,M.A.C. Debt Service,20171130,2004
66875,901,District Attorney - N.Y.,20171130,2004
2821,101,Public Advocate,20171130,2002
45461,102,City Council,20171130,2004
471,134,Civil Service Commission,20171130,2002
62859,130,Department of Juvenile Justice,20171130,2004
34698,904,District Attorney - Queens,20171130,2004
5812,131,Office of Payroll Admin.,20171130,2003
0,138,Districting Commission,20171130,2005
143601,856,Dept of Citywide Admin Srvces,20171130,2003
826437,819,Health + Hospitals,20171130,2002
11940,499,Community Boards (All),20171130,2004
1378,313,Office of Collective Barg.,20171130,2003
448564,816,Dept Health & Mental Hygiene,20171130,2002
176556,836,Department of Finance,20171130,2003
57098,806,Housing Preservation & Dev.,20171130,2003
63211,806,Housing Preservation & Dev.,20171130,2002
26567991,TCW,CITYWIDE TOTAL,20171130,2002
29869,127,Financial Info. Serv. Agency,20171130,2004
36602,902,District Attorney - Bronx,20171130,2004
56678,781,Department of Probation,20171130,2004
115124,260,Youth & Community Development,20171130,2004
3222,226,Commission on Human Rights,20171130,2003
661120,826,Dept of Environmental Prot.,20171130,2004
1854,101,Public Advocate,20171130,2003
0,ICA,Intra-City Adjustment,20171130,2002
0,820,Office of Administrative Trials and Hearings,20171130,2003
475,133,Equal Employment Practices Com,20171130,2003
329,942,Public Administrator - Bronx,20171130,2002
61268,903,District Attorney - Kings,20171130,2004
120563,126,Department of Cultural Affairs,20171130,2005
59297,781,Department of Probation,20171130,2002
555913,816,Dept Health & Mental Hygiene,20171130,2004
344,944,Public Administrator - Queens,20171130,2004
71802,903,District Attorney - Kings,20171130,2002
89980,260,Youth & Community Development,20171130,2003
