franchisee,actual_fee_revenue_collected_in_fy2015,doc_agency_code,franchise_type_specific_category,start_date,registration_value_for_fy_2015_transactions,solicitation_award_method,registration_date_or_date_sent_to_comptroller_for_registration
"A. M. F. TELE-COMMUNICATIONS, INC.",55965.0,858.0,Public Pay Telephone,10/16/1999,,RFP (CSP),12/2/99
CEMUSA,51368653.0,841.0,"Maintenance of Bus Stop Shelters, Newsstand and Public Toilets",6/12/2006,,Request for Proposal,4/11/05
AT&T (Teleport),2750000.0,858.0,Hi-CAP,5/2/1994,,Transfer of Control,7/22/94
"VEOLIA TRANSPORTATION SERVICES, INC.",517697.0,841.0,Bus Service,7/1/2011,,RFP,6/15/11
"LOOKING GLASS NETWORKS, INC. .",199696.0,858.0,Hi-CAP,11/29/2000,,CSP,2/9/01
ROOSEVELT ISLAND OPERATING CORP.,25330.0,,Roosevelt Island Tramway (Railroad),2/19/1974,,Board of Estimate,NOT REGISTERED
XO XOMMUNICATIONS f/k/a Nextlink,600148.0,858.0,Hi-CAP, 2/10/99,,"Corporate Resturcturing of Parent, XO.",3/26/99
"EXTENET II f/k/a SBA MONARCH TOWERS II LLC f/k/a /MOBILITIE II, LLC",1958395.0,858.0,Mobile,3/22/2012,,CSP/Change of Control to SBA Monarch,3/5/08
"STEALTH COMMUNICATIONS SERVICES, LLC",112533.0,858.0,Hi-CAP,4/20/2013,$0.00,CSP,3/28/13
NATIONAL RAILROAD PASSENGER CORP (Amtrak),142728.0,,Railroad,10/9/1902,,Board of Estimate,NOT REGISTERED
PSE&G for LIPA,1747951.0,,"Distribution of Gas in Fifth Ward, Staten Island",5/29/1956,,Board of Estimate,NOT REGISTERED
"TIME WARNER ENTERTAINMENT COMPANY, L.P.-Southern Manhattan",23035543.0,858.0,Cable Television,11/30/2011,,CSP/Renewal,10/20/11
"MOBILITIE, LLC",125663.0,858.0,Mobile,11/15/2004,,Amendment of Franchise Agreement for use of Utility Poles in response to RFP.,3/5/08
"SIDERA NETWORKS f/k/a RCN NY COMMUNICATIONS f/k/a Con Edison ""CECI""",496753.0,858.0,Hi-CAP,9/22/2000,,Change of Control,10/13/00
"YIPES ENTERPRISE SERVICES (YES), Inc. a/k/a Reliance Globalcom",192596.0,858.0,Hi-CAP,9/24/2001,,Change of Control-Amendment,12/12/07
TW TELECOM f/k/a Time Warner AXS of NYC (Awarded 12/8/93),830672.0,858.0,Hi-CAP,12/20/1993,,Transfer,1/6/94
"CROWN CASTLE SOLUTIONS, INC.  ",212591.0,858.0,Mobile,11/14/2005,,CSP,11/30/04
TIME WARNER NY CABLE LLC-Northern Manhattan,10849833.0,858.0,Cable Television,11/30/2011,,CSP/Renewal,10/20/11
"METRO FIBER CO., LLC",0.0,858.0,Hi-CAP,7/12/2014,"$816,250.00",CSP,7/2/14
ZAYO GROUP LLC (f/k/a AboveNet),750000.0,858.0,Hi-CAP,12/20/1993,,CSP/Change of Control from Abovenet to Zayo Group LLC,1/6/94
"UNITED FEDERAL DATA OF NEW YORK, LLC",0.0,858.0,Hi-CAP,7/1/2013,$0.00,CSP,6/10/13
CABLEVISION SYSTEMS NYC CORPORATION-Bronx,18242923.0,858.0,Cable Television,11/30/2011,,CSP/Renewal,10/20/11
"METRO FIBER CO., LLC",28696.0,858.0,Hi-CAP,7/13/2014,"$816,250.00",CSP,7/3/14
VERIZON NEW YORK INC.,35319441.0,858.0,Cable Television,7/18/2008,,CSP,6/26/08
"LEXENT METRO CONNECT, LLC",496753.0,858.0,Hi-CAP,8/22/2002,,CSP,12/10/02
