actual_fee_revenue_collected_in_fy2015,brief_description_of_franchise_award_or_fy2015_transaction,doc_cd_e_g_rct1,agency
55965.0,,RCT1,DOITT
51368653.0,,RCT1,DOT
2750000.0,,RCT1,DOITT
517697.0,Award of franchise,RCT1,DOT
199696.0,,RCT1,DOITT
25330.0,,,DOT
600148.0,,RCT1,DOITT
1958395.0,Award of Franchise; Change of Control from Mobilitie 2 to SBA Monarch.,RCT1,DOITT
112533.0,FCRC approval of Information Services franchise 2/13/2013.,RCT1,DOITT
142728.0,,,DOT
1747951.0,,,DOT
23035543.0,,RCT1,DOITT
125663.0,,RCT1,DOITT
496753.0,FCRC approved transfer of control at ultimate parent level 4/08/2013,RCT1,DOITT
192596.0,,RCT1,DOITT
830672.0,,RCT1,DOITT
212591.0,,RCT1,DOITT
10849833.0,,RCT1,DOITT
0.0,FCRC approval of Information Services franchise 5/14/2014.,RCT1,DOITT
750000.0,,RCT1,DOITT
0.0,FCRC approval of Telecommunication Services franchise 2/13/2013.,RCT1,DOITT
18242923.0,,RCT1,DOITT
28696.0,FCRC approval of Information Services franchise 5/14/2014.,RCT1,DOITT
35319441.0,,RCT1,DOITT
496753.0,FCRC approved transfer of control at ultimate parent level 4/08/2013,RCT1,DOITT
3422795.0,,RCT1,DOITT
614653.0,,RCT1,DOITT
81326.0,FCRC approval of Information Services franchise 2/13/2013.,RCT1,DOITT
100858.0,,RCT1,DOITT
3066453.0,,RCT1,DOITT
1396236.0,,RCT1,DOITT
623503.0,,RCT1,DOITT
6898153.0,,RCT1,DOITT
262610.0,"FCRC approved assignment of PPT franchise on August 8, 2012.",RCT1,DOITT
,,,DOT
496753.0,FCRC approved transfer of control at ultimate parent level 4/08/2013,RCT1,DOITT
10000.0,FCRC approval of Information Services franchise 5/13/15.,RCT1,DOITT
3172232.0,,RCT1,DOITT
20777.0,FCRC approval of Information Services franchise 6/11/2014.,RCT1,DOITT
400000.0,,RCT1,DOITT
19076392.0,,RCT1,DOITT
0.0,,RCT1,DOITT
0.0,FCRC approval of Telecommunication Services franchise 2/13/2013.,RCT1,DOITT
112215.0,FCRC approved transfer of control at ultimate parent level 4/08/2013,RCT1,DOITT
0.0,FCRC approval of Information Services franchise 5/13/15.,RCT1,DOITT
497241.0,FCRC approved transfer of control at ultimate parent level 4/08/2013,RCT1,DOITT
29581.0,,RCT1,DOITT
,,,DOT
27108.0,Award of franchise,RCT1,DOT
17840.0,,,DOT
6211804.0,,RCT1,DOITT
326455.0,,RCT1,DOITT
2943606.0,,RCT1,DOITT
0.0,FCRC approval of Information Services franchise 6/11/2014.,RCT1,DOITT
109942.0,,RCT1,DOITT
300000.0,,RCT1,DOITT
3141058.0,FCRC approval of Public Communictions Structure  franchise 12/10/14.,RCT1,DOITT
221296.0,,RCT1,DOITT
16415978.0,,RCT1,DOITT
702131.0,,RCT1,DOITT
59456.0,,RCT1,DOITT
125663.0,,RCT1,DOITT
140963.0,,,DOT
106720.0,,RCT1,DOITT
42636.0,,RCT1,DOITT
