doc_id_automatically_generated_contract_id_number_from_fms,public_hearing_date_if_applicable,franchise_type_general_category
20000016632.0,8/9/1999,Other Telecommunications
20060041570.0,5/11/2006,Street Furniture
9559216.0,5/11/1998; 7/11/2005,Other Telecommunications
20118205446.0,5/9/2011,Transportation 
20010017129.0,9/11/2000,Other Telecommunications
,,Transportation 
,1/13/2003,Other Telecommunications
20128203391.0,12/10/2007; 12/12/11; 05/07/2012,Other Telecommunications
20138203226.0,2/11/2013,Other Telecommunications
,,Transportation 
,,Miscellaneous Utilities
20128201486.0,8/8/2011,Cable Television
20080029806.0,12/10/2007,Other Telecommunications
20010011298.0,3/6/2006;8/9/2010,Other Telecommunications
20080019732.0,12/10/2007,Other Telecommunications
9453184.0,6/8/1998,Other Telecommunications
20050018779.0,7/12/2004,Other Telecommunications
20128201606.0,8/8/2011,Cable Television
20148204308.0,5/12/2014,Other Telecommunications
9453171.0,6/11/2012,Other Telecommunications
20138204142.0,2/11/2013,Other Telecommunications
20128201576.0,8/8/2011,Cable Television
20148204306.0,5/12/2014,Other Telecommunications
20080040337.0,5/20/2008,Cable Television
20030011753.0,6/10/2002;11/8/2010,Other Telecommunications
,12/7/1998,Other Telecommunications
20000013439.0,8/9/1999,Other Telecommunications
20138203991.0,2/11/2013,Other Telecommunications
20000016646.0,8/9/1999,Other Telecommunications
20000011791.0,9/13/1999; 3/12/2007; 4/12/2010,Other Telecommunications
20080029718.0,12/10/2007; 8/10/2009,Other Telecommunications
,12/7/1998,Other Telecommunications
20000011774.0,8/9/1999; 9/10/2001,Other Telecommunications
20000019782.0,8/6/2012,Other Telecommunications
,,Miscellaneous Utilities
20010004682.0,9/8/2003; 6/2/2008; 8/9/2010,Other Telecommunications
20158205371.0,5/11/2015,Other Telecommunications
20128201563.0,8/8/2011,Cable Television
20148204352.0,6/9/2014,Other Telecommunications
9453164.0,Amendment 11/10/2003,Other Telecommunications
20128201426.0,8/8/2011,Cable Television
9453167.0,,Other Telecommunications
20138203378.0,2/11/2013,Other Telecommunications
20080029457.0,11/8/2010,Other Telecommunications
20158205372.0,5/11/2015,Other Telecommunications
20030006533.0,5/7/2007; 7/7/08,Other Telecommunications
20000014172.0,8/9/1999,Other Telecommunications
,,Miscellaneous Utilities
20128000075.0,6/6/2011,Transportation 
,,Transportation 
20128201562.0,8/8/2011,Cable Television
20030008213.0,5/7/2007,Other Telecommunications
20000011791.0,8/9/1999,Other Telecommunications
20148204471.0,6/9/2014,Other Telecommunications
20000017156.0,8/9/2011,Other Telecommunications
20060030788.0,10/11/2005,Other Telecommunications
20158202566.0,12/8/10,Other Telecommunications
20128204127.0,4/9/2012,Other Telecommunications
20128201561.0,8/8/2011,Cable Television
,12/7/1998;8/9/2010,Other Telecommunications
20128203392.0,12/12/2011,Other Telecommunications
20050018296.0,7/12/2004,Other Telecommunications
,,Transportation 
20000019912.0,8/9/1999; 2/11/2002; 5/10/2010,Other Telecommunications
20000040058.0,8/9/1999,Other Telecommunications
