doc_id_automatically_generated_contract_id_number_from_fms,revenue_collected_in_fy_2015,agency,concession_type_general_category
20148203886.0,13248.0,DPR,"Sports, Recreation & Events"
20148204097.0,525.0,DPR,Food-Related
20148203664.0,1593.0,DPR,"Sports, Recreation & Events"
20148200152.0,41670.0,DPR,Food-Related
20158204906.0,0.0,DPR,Food-Related
20118000120.0,3750.0,DPR,Food-Related
20090030037.0,654224.0,DPR,"Sports, Recreation & Events"
20108200572.0,90668.0,DPR,Food-Related
20158200241.0,175080.0,DPR,Food-Related
20158000120.0,2028.0,DPR,Food-Related
20138202221.0,101250.0,DPR,"Sports, Recreation & Events"
20148203976.0,13174.0,DPR,Food-Related
20148203616.0,0.0,DOT,Occupancy/Parking Lot/Other
20128202971.0,12384.0,DPR,Food-Related
20138203601.0,210.0,DPR,Food-Related
20128000060.0,12666.0,DPR,Food-Related
20138200766.0,4500.0,DPR,Merchandise & Marketing
20118201473.0,12231.0,DPR,Food-Related
20158204457.0,0.0,DPR,"Sports, Recreation & Events"
20090028792.0,10285.0,DPR,Food-Related
20040018396.0,239408.0,DPR,"Sports, Recreation & Events"
20158204456.0,0.0,DPR,"Sports, Recreation & Events"
20148203106.0,1534.0,DPR,"Sports, Recreation & Events"
,157155.0,DPR,"Sports, Recreation & Events"
20148201471.0,116100.0,DPR,Food-Related
20148202221.0,62168.0,DOT,Food-Related
20158201096.0,339440.0,DPR,Food-Related
20148200961.0,537763.0,DPR,Merchandise & Marketing
,122849.0,DOT,Food-Related
20128200136.0,2668.0,DPR,Food-Related
,,DPR,"Sports, Recreation & Events"
20138202539.0,4259.0,DPR,Food-Related
20138202643.0,167819.0,DPR,Food-Related
20050001357.0,804810.0,DPR,"Sports, Recreation & Events"
20128202041.0,0.0,DOT,Occupancy/Parking Lot/Other
20158200826.0,175009.0,DPR,"Sports, Recreation & Events"
20138203903.0,0.0,DPR,Occupancy/Parking Lot/Other
20070039331.0,36900.0,DCAS,Occupancy/Parking Lot/ Other
20128203841.0,242856.0,DPR,"Sports, Recreation & Events"
20080001760.0,36761.0,DPR,Food-Related
20128200871.0,114000.0,DPR,Occupancy/Parking Lot/Other
20108200096.0,122650.0,DPR,Food-Related
20148000075.0,9332.0,DPR,Food-Related
20128204096.0,0.0,DPR,"Sports, Recreation & Events"
20148203977.0,5000.0,DPR,"Sports, Recreation & Events"
20148202807.0,11425.0,DPR,"Sports, Recreation & Events"
20148201591.0,16668.0,DOT,Food-Related
,,DPR,Food-Related
20158204801.0,0.0,DPR,Food-Related
20148201847.0,0.0,DOT,Occupancy/Parking Lot/Other
20148204068.0,187.0,DPR,Food-Related
20148200422.0,22147.0,DPR,Food-Related
20118204561.0,7294.0,DPR,Merchandise & Marketing
20128200241.0,10686.0,DPR,Food-Related
20148204111.0,4226.0,DPR,Food-Related
20128201876.0,895.0,DPR,Food-Related
20108202836.0,14944.0,DCAS,Occupancy/Parking Lot/ Other
20158203961.0,16196.0,DPR,Food-Related
20148201891.0,125775.0,DPR,Food-Related
20100012953.0,0.0,DOT,Occupancy/Parking Lot/Other
20118201471.0,1431.0,DPR,Food-Related
20138202536.0,38548.0,DPR,Food-Related
20148201848.0,0.0,DOT,Occupancy/Parking Lot/Other
20148201681.0,0.0,DEP,Other
2016800030.0,0.0,DPR,Food-Related
20138200241.0,3000.0,DPR,"Sports, Recreation & Events"
20148202945.0,3902.0,DPR,"Sports, Recreation & Events"
20090032323.0,975.0,DPR,Food-Related
20148200423.0,60422.0,DPR,Food-Related
20118204426.0,16194.0,DPR,Food-Related
20128203061.0,137332.0,DPR,Food-Related
20090028129.0,297192.0,DPR,"Sports, Recreation & Events"
20108200121.0,93957.0,DPR,Food-Related
20138204201.0,1180.0,DPR,Food-Related
20148203121.0,141076.0,DPR,Food-Related
20138202071.0,37675.0,DPR,Merchandise & Marketing
20138200961.0,0.0,DPR,Food-Related
20138202491.0,15168.0,DPR,Food-Related
20128203196.0,0.0,DPR,Food-Related
20138201037.0,133702.0,DPR,Food-Related
20148204411.0,742.0,DPR,Food-Related
20148203662.0,1906.0,DPR,"Sports, Recreation & Events"
2016800045.0,,DPR,Occupancy/Parking Lot/Other
20118200661.0,91807.0,DCAS,Occupancy/Parking Lot/ Other
20122801111.0,0.0,DOT,Occupancy/Parking Lot/Other
20070017309.0,6120.0,DCAS,Occupancy/Parking Lot/ Other
20128200556.0,1050.0,DPR,Food-Related
20090017338.0,1758.0,DPR,Merchandise & Marketing
,,DOT,Occupancy/Parking Lot/Other
20108202881.0,4113.0,DCAS,Occupancy/Parking Lot/ Other
20138202896.0,800.0,DPR,Food-Related
20158202971.0,0.0,DPR,Merchandise & Marketing
,0.0,DCAS,Occupancy/Parking Lot/ Other
20148203107.0,2047.0,DPR,"Sports, Recreation & Events"
20148200886.0,12797.0,DPR,"Sports, Recreation & Events"
20158204802.0,0.0,DPR,Food-Related
20080037419.0,314138.0,DPR,Occupancy/Parking Lot/Other
20158200828.0,55103.0,DPR,"Sports, Recreation & Events"
20148203768.0,38125.0,DPR,Food-Related
20108200093.0,111772.0,DPR,Food-Related
20148203212.0,851.0,DPR,Food-Related
20148203262.0,5160.0,DPR,"Sports, Recreation & Events"
20148202596.0,106132.0,DPR,Food-Related
20138204231.0,6375.0,DPR,Food-Related
20080035229.0,0.0,DPR,"Sports, Recreation & Events"
20128202131.0,0.0,DPR,Food-Related
20128202206.0,75553.0,DPR,Food-Related
20138203992.0,40000.0,DPR,Merchandise & Marketing
20138203722.0,76891.0,DPR,Food-Related
20148200617.0,10067.0,DPR,"Sports, Recreation & Events"
20118200766.0,23724.0,DPR,Food-Related
,,DPR,"Sports, Recreation & Events"
20080015650.0,285121.0,DPR,"Sports, Recreation & Events"
20118000000.0,42926.0,DPR,Food-Related
20118200722.0,36468.0,DPR,Food-Related
20100015489.0,32115.0,DPR,"Sports, Recreation & Events"
20128203091.0,111350.0,DPR,Food-Related
20128200466.0,51600.0,DPR,Food-Related
20108201276.0,89608.0,DPR,Food-Related
20138201306.0,96912.0,DPR,Food-Related
20138203046.0,558.0,DPR,Food-Related
20118000121.0,3750.0,DPR,Food-Related
20060023829.0,140479.0,DPR,"Sports, Recreation & Events"
20100011985.0,0.0,DOT,Occupancy/Parking Lot/Other
20138202671.0,117255.0,DPR,Food-Related
20128203811.0,5178.0,DCAS,Occupancy/Parking Lot/ Other
20130909004.0,28105.0,DCAS,Occupancy/Parking Lot/ Other
20118000105.0,0.0,DPR,Food-Related
20118203796.0,13959.0,DCAS,Occupancy/Parking Lot/ Other
20080034498.0,87499.0,DPR,"Sports, Recreation & Events"
20148000031.0,28150.0,DPR,Food-Related
20148201501.0,49998.0,DPR,"Sports, Recreation & Events"
20128203706.0,29800.0,DPR,Food-Related
,175000.0,DPR,"Sports, Recreation & Events"
20148203376.0,230825.0,DPR,Occupancy/Parking Lot/Other
20138200091.0,43266.0,DPR,Food-Related
20118000063.0,3000.0,DPR,Food-Related
20108200391.0,78118.0,DPR,Food-Related
,,DPR,Occupancy/Parking Lot/Other
20108200094.0,53235.0,DPR,Food-Related
20128200587.0,17905.0,DPR,Merchandise & Marketing
20138202521.0,748.0,DPR,Food-Related
20108200092.0,67018.0,DPR,Food-Related
20158204771.0,0.0,DPR,Food-Related
20128204441.0,115850.0,DPR,Merchandise & Marketing
20118201038.0,33081.0,DPR,Food-Related
20148202943.0,1537.0,DPR,"Sports, Recreation & Events"
20138204277.0,1518.0,DPR,Food-Related
20158204803.0,0.0,DPR,Food-Related
20118000107.0,8336.0,DPR,Food-Related
20090010428.0,186521.0,DPR,Food-Related
20138204276.0,3101.0,DPR,Food-Related
20158200256.0,130444.0,DPR,Food-Related
20148204112.0,21750.0,DPR,Food-Related
20118203964.0,260000.0,DPR,"Sports, Recreation & Events"
20138201307.0,5961.0,DPR,"Sports, Recreation & Events"
20108202476.0,365000.0,DPR,Occupancy/Parking Lot/Other
20000030714.0,1973312.0,DPR,Food-Related
20148202161.0,31357.0,DPR,Food-Related
20148201381.0,0.0,DOT,Occupancy/Parking Lot/Other
20108201921.0,99000.0,DPR,Merchandise & Marketing
20090008318.0,0.0,DPR,"Sports, Recreation & Events"
20128000046.0,6650.0,DPR,Food-Related
20118203646.0,72011.0,DCAS,Occupancy/Parking Lot/ Other
20130909005.0,64774.0,DCAS,Occupancy/Parking Lot/ Other
20118200616.0,406900.0,DCAS,Occupancy/Parking Lot/ Other
20138200588.0,1026.0,DPR,Merchandise & Marketing
20118200961.0,0.0,DPR,Merchandise & Marketing
20100000391.0,0.0,DHS,"Sports, Recreation & Events"
20020010097.0,3555947.0,DPR,"Sports, Recreation & Events"
20148203032.0,6854.0,DPR,"Sports, Recreation & Events"
20128203736.0,4827.0,DCAS,Occupancy/Parking Lot/ Other
20148202821.0,5185.0,DPR,"Sports, Recreation & Events"
20138203196.0,101557.0,DPR,Merchandise & Marketing
20158204306.0,0.0,DOT,Occupancy/Parking Lot/Other
20148000030.0,11499.0,DPR,Food-Related
20108200573.0,23336.0,DPR,Food-Related
20118203377.0,0.0,DOHMH,Other
20158201486.0,81533.0,DPR,"Sports, Recreation & Events"
20138202538.0,3798.0,DPR,Food-Related
20128204966.0,0.0,DOT,Occupancy/Parking Lot/Other
20148202626.0,186700.0,DPR,Food-Related
20108201861.0,1259.0,DPR,Food-Related
20108202791.0,42926.0,DPR,Food-Related
20070011387.0,926.0,DCAS,Occupancy/Parking Lot/ Other
20148200002.0,,DPR,"Sports, Recreation & Events"
20100010240.0,0.0,DOT,Occupancy/Parking Lot/Other
