actual_fy14,_4_month_actual_fy17
193,61
"4,501","1,254"
92.6%,98.5%
222.0,74.0
116:20,16:39
16.2%,13.8%
923,829
270,13
87.5%,
"12,689","12,839"
96,232
35,6
2:07,
103.5,55.4
33.3%,46.8%
0.35,0.40
0.05,0.09
"10,293","3,322"
$69.52,
"3,126",735
"11,750","8,958"
68,54
42.0,50.5
"67,541","67,648"
234,42
761,645
251,97
$357.74,
100%,100%
"2,940",671
"19,633","15,200"
,
20.00%,39.00%
48%,39%
"1,086","1,076"
1.4,1.5
"24,068","21,080"
"44,456",
"2,303",
195,148
297,375
"$8,524",
"55,529","16,179"
"6,915","5,342"
3.2%,2.5%
24.2%,23.6%
12,8
416,381
100%,100%
567,"1,457"
138,
3%,8%
"1,248",945
79%,74%
169,
0,0
"205,089","47,050"
93,122
"5,248","5,449"
"$7,500",
87.4%,86.4%
,357
57.9%,55.0%
47,4
496,818
434,142
84.6%,74.9%
"2,152",710
8%,2%
$363.82,
29,28
0.14,0.09
32.6%,
7.5,
9.8,9.9
"15,731","4,999"
399,253
2:06,0:09
832,
103,150
221,228
100%,100%
155,150
152,328
"10,748","3,666"
888,265
0.4%,
"8,432","2,982"
83%,85%
"1,102",
384,388
189,91
"254,404",
0.10,0.11
413,214
523,494
56,46
"41,094","22,022"
422,
1.8%,
73.9%,83.5%
139,106
0.05,0.13
130.2,73.8
0:23,0:16
$283.27,
157,126
530,
"21,507","24,722"
14%,14%
21.5%,
177,214
25.7%,27.0%
"1,436","1,673"
,
23.2%,
"4,053","1,024"
"782,805","325,053"
"21,346","6,199"
"63,351","26,233"
602,170
0.7,0.4
93,
90.5%,100.0%
98.8%,98.9%
23.0,33.0
"1,243",
"1,572",412
26%,25%
21,0
152,299
253,
"392,759","185,281"
21.8%,16.4%
1%,0%
45%,6%
79,24
1.8%,3.0%
770,244
256,220
22.0,3.0
497,291
"$14,302",
"23,725","22,776"
$773,
217,64
"54,852","54,809"
"1,908",
"4,276",
38%,100%
56,
100%,100%
34,7
"30,422","28,260"
55.1,
65.0%,46.0%
"$4,144",
642,185
61.6%,64.7%
147,247
274,73
128,59
94,258
3.1,6.1
9.3%,6.6%
88.2%,91.1%
83,84
733,115
"$15,250","$18,960"
21%,67%
"$9,340",
234.1,129.2
0.9%,
"26,401","27,724"
82.1%,76.6%
"6,354","7,180"
42,
185,87
"3,929","2,787"
0.04,0.06
0.07,0.06
93%,93%
366,
0.08,0.15
"$8,629",
348,86
,1.0%
"4,610",
"1,101",266
"4,976,399","1,371,743"
3.9%,4.4%
57%,44%
"412,437","198,444"
82.1%,83.7%
60.9%,
94.0%,100.0%
$62,
519,150
39.5%,41.7%
,0.0%
