agency,agency_name,service_name,goal,goal_description
DORIS,DEPARTMENT OF RECORDS & INFORMATION SERVICES,Customer Service,3a,Customer Service Indicators
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Agency-wide Management,7a,agencywide indicators
3-1-1,311,Provide public access to City government.,1a,Increase public access to government services and information.
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Protect and advocate for consumers.,1c,Promptly negotiate settlements on violations issued to businesses.
DHS,DEPARTMENT OF HOMELESS SERVICES,Provide temporary emergency housing to homeless individuals and families.,1b,"Ensure that all temporary shelters for homeless individuals and families are clean, safe and well-run."
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Customer Service,7b,Customer Service SLA
DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Design and build quality public buildings and infrastructure.,1b,Meet quality assurance and site safety standards for all active projects.
DPR,DEPARTMENT OF PARKS AND RECREATION,"Manage the City’s street, park and forest trees.",2a,Maintain and preserve trees under DPR stewardship.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage energy use by City agencies.,5a,Maximize citywide efforts to monitor and reduce energy use to reach greenhouse gas reduction goals.
DOT,DEPARTMENT OF TRANSPORTATION,Customer Service,7a,Customer service indicators
DCLA,DEPARTMENT OF CULTURAL AFFAIRS,Customer Service,3a,Customer service indicators
DOE,DEPARTMENT OF EDUCATION,"Prepare children to become productive, engaged adults",3b,"Increase the percentage of elementary, middle and high school students taking coursework that prepares them for future success."
DOF,DEPARTMENT OF FINANCE,Bill and collect property and other taxes.,1a,Increase the proportion of individuals and businesses that are in compliance with tax and revenue laws.
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Prevent chronic disease by promoting healthy behaviors and preventive health care.,2a,Reduce tobacco use and promote physical activity and healthy eating.
CCHR,COMMISSION ON HUMAN RIGHTS,Enforce the NYC Human Rights Law.,1a,"Investigate, prosecute and resolve complaints of discrimination, discriminatory harassment, and bias-based profiling in a timely and efficient manner."
CCHR,COMMISSION ON HUMAN RIGHTS,Educate the community on the NYC Human Rights Law.,2a,"Increase community awareness of the NYCHRL through know-your-rights presentations aimed at the general public; through know-your-obligations presentations aimed at housing providers, employers, and small businesses; and other initiatives."
CCRB,CIVILIAN COMPLAINT REVIEW BOARD,"Investigate, prosecute and resolve claims of police misconduct.",1b,Increase the use of mediation to resolve complaints.
ACS,ADMIN FOR CHILDREN'S SERVICES,Ensure access to quality early child care and education services in all communities.,2a,Ensure access to quality early child care services in all communities and achieve maximum capacity enrollment at all participating centers.
CUNY,CITY UNIVERSITY OF NEW YORK,CUNY Performance Reporting,1a,CUNY Performance Indicators
DPR,DEPARTMENT OF PARKS AND RECREATION,Provide recreational and educational opportunities for New Yorkers of all ages.,4b,Increase volunteer activity at City programs and events.
DOC,DEPARTMENT OF CORRECTION,"Provide a safe and secure environment for inmates, staff and host communities.",1e,Ensure timely transport of inmates to courts throughout the City.
DSNY,DEPARTMENT OF SANITATION,"Clean streets, sidewalks and vacant lots.",1a,Increase street and sidewalk cleanliness.
DORIS,DEPARTMENT OF RECORDS & INFORMATION SERVICES,Provide the public and City agencies with access to public records and publications.,1c,Ensure historical records are preserved according to archival standards
DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Design and build quality public buildings and infrastructure.,1c,Improve customer satisfaction ratings.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage the City’s fleet and fuel resources.,6a,Reduce fuel use and emissions.
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Assist and educate businesses and promote a fair marketplace.,2b,Educate businesses to help them understand their responsibilities toward consumers and their employees.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Procure goods and select services for City agencies.,4b,Use citywide buying power to achieve and maximize best value for goods and services.
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Regulate franchised cable services.,3a,Ensure customer complaints are resolved positively.
DCP,DEPARTMENT OF CITY PLANNING,Manage land use and environmental review processes to facilitate public and private development citywide.,3a,Conduct timely and thorough review of land use and environmental review projects subject to City Planning Commission review to ensure project submissions are technically complete and adhere to all applicable requirements and procedures.
DOP,DEPARTMENT OF PROBATION,Improve community safety through a combination of accountability and support activities with those under probation supervision.,2c,Maximize accountability with probation terms through field visits and enforcement actions.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Help City agencies fulfill their workforce needs.,1c,Ensure timely administration of civil service exams.
DOF,DEPARTMENT OF FINANCE,Administer rent and property owner exemption programs,3a,Promptly review applications for exemption programs.
DFTA,DEPARTMENT FOR THE AGING,Provide nutrition opportunities to older New Yorkers.,1a,Increase utilization of senior centers.
DOF,DEPARTMENT OF FINANCE,"Bill, adjudicate and collect on parking tickets.",2a,Increase the proportion of parking tickets that are resolved.
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Provide high quality and timely services to the public.,5a,Provide birth and death certificates to the public quick and efficiently.
DORIS,DEPARTMENT OF RECORDS & INFORMATION SERVICES,Provide the public and City agencies with access to public records and publications.,1b,Promptly respond to requests for information.
DFTA,DEPARTMENT FOR THE AGING,Customer Service,3a,Customer Service Indicators
DSNY,DEPARTMENT OF SANITATION,"Clean streets, sidewalks and vacant lots.",1b,Increase the percentage of vacant lots that are clean.
DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Design and build quality public buildings and infrastructure.,1a,Complete projects on time and within budget.
DOT,DEPARTMENT OF TRANSPORTATION,Agency-wide Management,6a,Agency-wide management indicators
BIC,BUSINESS INTEGRITY COMMISSION,Customer Service,3a,Customer Service Indicators
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Bill and collect revenue for water and sewer usage.,4a,"Ensure that customer billing is accurate, transparent and fair."
DOC,DEPARTMENT OF CORRECTION,Customer Service,5a,Customer Service Indicators
DOI,DEPARTMENT OF INVESTIGATION,Customer Service,3a,Customer Service Indicators
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Protect and advocate for workers.,4a,Investigate complaints in a timely manner to ensure employers' compliance with the Paid Safe and Sick Leave Law.
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Regulate provisioning of public telecommunications services on City streets.,4a,"Maximize usefulness, operability and cleanliness of public telecommunications services on City streets."
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage the City’s surplus real and personal property.,3a,"Maximize revenue from the sale of real property, surplus goods and savings from the reallocation of usable surplus items."
DFTA,DEPARTMENT FOR THE AGING,Customer Service,3b,Customer Service SLA
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Customer Service,7a,Customer Service Indicators
DOB,DEPARTMENT OF BUILDINGS,Agency-wide Management,3a,Agency-wide management indicators
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Support sharing and management of citywide data and information.,2a,Increase the public’s use of City government information through NYC.gov.
DOF,DEPARTMENT OF FINANCE,Agency-wide Management,7a,Agency-wide management indicators
DHS,DEPARTMENT OF HOMELESS SERVICES,Customer Service,5a,Customer Service Indicators
DOT,DEPARTMENT OF TRANSPORTATION,Deliver projects on time.,5a,Complete capital bridge projects on schedule.
CCRB,CIVILIAN COMPLAINT REVIEW BOARD,"Investigate, prosecute and resolve claims of police misconduct.",1c,Improve the quality and timeliness of prosecutions.
3-1-1,311,Customer Service,2a,Customer Service Indicators
DOC,DEPARTMENT OF CORRECTION,Agency-wide Management,4a,agency-wide indicators
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Ensure the sufficiency, quality and security of the City’s drinking water supply.",1a,Comply with all federal and State drinking water quality standards.
DOE,DEPARTMENT OF EDUCATION,"Design and construct new schools, additions and capital
improvement projects authorized by the Department of
Education’s Five-Year Capital Plan.",7a,Produce the number of new school seats authorized by the Department of Education.
DOC,DEPARTMENT OF CORRECTION,Provide correction-related services and information to the public.,3a,Provide timely notifications to crime victims.
ACS,ADMIN FOR CHILDREN'S SERVICES,Protect children from child abuse.,1a,Respond quickly to every allegation of abuse and neglect and perform thorough assessments of safety and risk.
DOT,DEPARTMENT OF TRANSPORTATION,Provide a safe transportation network.,2a,"Improve safety for pedestrians, motorists and bus and bike riders."
DOT,DEPARTMENT OF TRANSPORTATION,Design public space to facilitate livability.,4a,Enhance quality of life through streetscape improvements.
DOP,DEPARTMENT OF PROBATION,Improve community safety through a combination of accountability and support activities with those under probation supervision.,2a,Assess risk to match individuals with supervision and monitoring levels; use re-arrest and violation trends to make adjustments to supervision level components.
DPR,DEPARTMENT OF PARKS AND RECREATION,Customer Service,6a,Customer service indicators
DPR,DEPARTMENT OF PARKS AND RECREATION,Agency-wide Management,5a,Agency-wide management indicators
DOE,DEPARTMENT OF EDUCATION,Support children with special needs.,2a,Improve the ability of English Language Learners to learn English and improve academic progress.
BIC,BUSINESS INTEGRITY COMMISSION,Regulate businesses in and around the City's public wholesale markets.,2b,Process registration applications for public wholesale businesses in a timely manner.
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Agency-wide Management,6a,Agency-wide management indicators
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Promote a safe environment.,3c,Reduce animal-related risks to human health.
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Assist and educate businesses and promote a fair marketplace.,2a,Ensure that business licensing is easy.
DORIS,DEPARTMENT OF RECORDS & INFORMATION SERVICES,Provide the public and City agencies with access to public records and publications.,1a,Increase the volume and availability of public records and publications.
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Promote a safe environment.,3b,Reduce the threat of foodborne illness.
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Maintain the City’s water delivery and sewer collection systems.,2a,Resolve emergencies and perform preventive maintenance and required repairs to the water distribution and wastewater collection systems in a timely manner.
CCRB,CIVILIAN COMPLAINT REVIEW BOARD,"Investigate, prosecute and resolve claims of police misconduct.",1a,Improve the quality and timeliness of investigations.
DPR,DEPARTMENT OF PARKS AND RECREATION,Provide recreational and educational opportunities for New Yorkers of all ages.,4a,"Increase public attendance at educational programs, recreation centers and other venues."
DOP,DEPARTMENT OF PROBATION,Customer Service,3a,Customer Service Indicators
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,"Deliver City IT services including hardware, software and technical support",1b,Resolve all service disruptions within targeted levels.
DSNY,DEPARTMENT OF SANITATION,Collect and dispose of refuse.,2a,Improve efficiency of refuse handling.
DOC,DEPARTMENT OF CORRECTION,"Provide a safe and secure environment for inmates, staff and host communities.",1c,Provide inmates with timely access to health services.
DORIS,DEPARTMENT OF RECORDS & INFORMATION SERVICES,"Provide City agencies, the courts and district attorneys with record storage, retrieval and retention scheduling services.",2b,Promptly transfer eligible agency records to off-site storage.
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Protect and advocate for consumers.,1a,Mediate consumer complaints with businesses to achieve fair and timely outcomes.
DOC,DEPARTMENT OF CORRECTION,"Provide a safe and secure environment for inmates, staff and host communities.",1a,Ensure the security and safety of inmates in DOC custody.
DOC,DEPARTMENT OF CORRECTION,Prepare inmates for return to their neighborhoods as civil and contributing members.,2a,Prepare as many inmates as possible for release.
DOE,DEPARTMENT OF EDUCATION,"Prepare children to become productive, engaged adults",3a,Increase the percentage of high school graduates enrolling in post-secondary education or training.
DOF,DEPARTMENT OF FINANCE,Customer Service,8a,Customer service indicators
ACS,ADMIN FOR CHILDREN'S SERVICES,Provide custody and care of youth in secure and safe detention and placement facilities while providing casework services.,3a,Assure that detention facilities are safe and secure.
DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Provide financial support to the City’s non-profit arts and cultural sector for operations, programs and activities.",1c,Expand resources for arts programs and public schools by increasing the supply and use of donated materials.
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Educate and empower New Yorkers with low incomes.,3a,Help residents with low incomes achieve financial stability.
BPL,BROOKLYN PUBLIC LIBRARY,,,
DCP,DEPARTMENT OF CITY PLANNING,"Shape the use and development of land in the City’s neighborhoods, business districts and waterfront through participatory planning and zoning changes.",1a,"Advance land use projects and proposals for public review that promote housing and affordability, economic development, sustainability and neighborhood quality of life."
CCRB,CIVILIAN COMPLAINT REVIEW BOARD,Customer Service,3a,Customer Service Indicators
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Customer Service,7b,Service Level Agreement Indicators
DOB,DEPARTMENT OF BUILDINGS,Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.,2c,Prevent construction-related fatalities and injuries.
DCA,DEPARTMENT OF CONSUMER AFFAIRS,Protect and advocate for consumers.,1b,Ensure all businesses comply with NYC’s Consumer Protection Law and related laws.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Help City agencies fulfill their workforce needs.,1d,Provide a wide range of training opportunities.
BIC,BUSINESS INTEGRITY COMMISSION,Regulate businesses in and around the City's public wholesale markets.,2a,Ensure that businesses in and around public wholesale markets abide by the law.
DHS,DEPARTMENT OF HOMELESS SERVICES,Coordinate and/or provide support services to help individuals and families who are homeless to exit shelter as quickly as possible.,2b,Minimize re-entries into the shelter services system.
DPR,DEPARTMENT OF PARKS AND RECREATION,Manage the City’s parks and recreation facilities.,1a,Ensure that all parks and playgrounds are clean and in good condition.
BOE,BOARD OF ELECTIONS,,,
BIC,BUSINESS INTEGRITY COMMISSION,Regulate the City's commercial waste hauling industry.,1b,Process license and registration applications for the waste hauling industry in a timely manner.
DoITT,DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,"Deliver City IT services including hardware, software and technical support",1c,Ensure all application development and IT infrastructure projects are delivered on time and within budget.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Help City agencies fulfill their workforce needs.,1a,Increase the public’s access to information about employment opportunities in City government.
DHS,DEPARTMENT OF HOMELESS SERVICES,Agency-wide Management,4a,agency-wide indicators
DOE,DEPARTMENT OF EDUCATION,Educate New York City’s children.,1a,Improve academic achievement.
DFTA,DEPARTMENT FOR THE AGING,Provide supportive services for seniors.,2b,Increase supportive services to the homebound.
DOB,DEPARTMENT OF BUILDINGS,Facilitate safe and compliant development.,1c,Promptly schedule development inspections.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Customer Service,8a,Customer Service Indicators
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage the City’s fleet and fuel resources.,6b,Optimize fleet resources to meet agency needs.
DOE,DEPARTMENT OF EDUCATION,"Design and construct new schools, additions and capital
improvement projects authorized by the Department of
Education’s Five-Year Capital Plan.",7b,Improve cost efficiencies in construction.
DORIS,DEPARTMENT OF RECORDS & INFORMATION SERVICES,"Provide City agencies, the courts and district attorneys with record storage, retrieval and retention scheduling services.",2a,Retrieve records promptly from off-site facilities upon record owner's request.
DOF,DEPARTMENT OF FINANCE,Serve and execute legal processes and mandates,6a,"Increase the proportion of judgments, orders and warrants that are successfully served/executed."
DSNY,DEPARTMENT OF SANITATION,Recycle refuse.,3a,Increase the percentage of waste recycled.
DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICE,Manage and operate City-owned office buildings.,2b,Meet timeliness standards for maintenance service requests and repair work.
