eventid,borough,country,category,eventagency,communityboard_s
891044,Brooklyn,United States of America,Television,Mayor's Office of Media & Entertainment,"1,"
890254,Brooklyn,United States of America,Television,Mayor's Office of Media & Entertainment,"1,"
889128,Brooklyn,United States of America,Commercial,Mayor's Office of Media & Entertainment,"2,"
889389,Manhattan,United States of America,Still Photography,Mayor's Office of Media & Entertainment,"5,"
889482,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"10, 7, 9,"
890185,Manhattan,United States of America,WEB,Mayor's Office of Media & Entertainment,"2, 6,"
889044,Brooklyn,United Kingdom,Documentary,Mayor's Office of Media & Entertainment,"2,"
890399,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"2, 3, 4, 5,"
891085,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"7,"
889121,Brooklyn,United States of America,Theater,Mayor's Office of Media & Entertainment,"1,"
890885,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"2,"
891102,Brooklyn,United States of America,Commercial,Mayor's Office of Media & Entertainment,"3,"
891133,Brooklyn,United States of America,Film,Mayor's Office of Media & Entertainment,"1, 2,"
891385,Queens,United States of America,Television,Mayor's Office of Media & Entertainment,"1,"
891481,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"8,"
891413,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"4, 5,"
890740,Brooklyn,United States of America,Television,Mayor's Office of Media & Entertainment,"1,"
889601,Queens,United States of America,Television,Mayor's Office of Media & Entertainment,"2,"
889218,Brooklyn,United States of America,Still Photography,Mayor's Office of Media & Entertainment,"6,"
889242,Manhattan,United States of America,Film,Mayor's Office of Media & Entertainment,"6,"
889935,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"5,"
891169,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"5, 6,"
889901,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"8,"
891397,Queens,United States of America,Television,Mayor's Office of Media & Entertainment,"2,"
889030,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"5,"
890685,Manhattan,United States of America,Still Photography,Mayor's Office of Media & Entertainment,"4,"
889468,Manhattan,United States of America,WEB,Mayor's Office of Media & Entertainment,"5,"
889256,Queens,United States of America,Television,Mayor's Office of Media & Entertainment,"2,"
889003,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"9,"
888931,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"3,"
890656,Brooklyn,United States of America,Commercial,Mayor's Office of Media & Entertainment,"6,"
888919,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"3,"
889083,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"5,"
889023,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"7,"
889515,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"1, 2,"
891144,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"3,"
889484,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"4, 5,"
890609,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"1,"
890530,Brooklyn,United States of America,Commercial,Mayor's Office of Media & Entertainment,"2, 6,"
891059,Brooklyn,United States of America,Commercial,Mayor's Office of Media & Entertainment,"3,"
891134,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"1, 5, 6,"
889166,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"4,"
890366,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"4, 5,"
889432,Queens,United States of America,Television,Mayor's Office of Media & Entertainment,"2, 5,"
889353,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"2, 4,"
890079,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"5, 6,"
891541,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"4,"
888972,Queens,United States of America,Commercial,Mayor's Office of Media & Entertainment,"2,"
889409,Manhattan,United States of America,Film,Mayor's Office of Media & Entertainment,"3,"
889124,Brooklyn,United States of America,Theater,Mayor's Office of Media & Entertainment,"1,"
891082,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"5,"
891135,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"1,"
890784,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"4,"
891333,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"3,"
890671,Brooklyn,United States of America,Commercial,Mayor's Office of Media & Entertainment,"6,"
889644,Brooklyn,United States of America,Film,Mayor's Office of Media & Entertainment,"3,"
890768,Brooklyn,United States of America,WEB,Mayor's Office of Media & Entertainment,"14,"
888909,Brooklyn,United States of America,Television,Mayor's Office of Media & Entertainment,"1,"
890856,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"2, 4, 5,"
889195,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"4,"
889585,Manhattan,United States of America,Commercial,Mayor's Office of Media & Entertainment,"2, 7,"
890788,Brooklyn,United States of America,Film,Mayor's Office of Media & Entertainment,"1,"
889033,Manhattan,United States of America,Television,Mayor's Office of Media & Entertainment,"5,"
888820,Manhattan,United States of America,Theater,Mayor's Office of Media & Entertainment,"3,"
890764,Brooklyn,United States of America,WEB,Mayor's Office of Media & Entertainment,"14,"
889464,Manhattan,United States of America,WEB,Mayor's Office of Media & Entertainment,"5,"
890144,Queens,United States of America,Commercial,Mayor's Office of Media & Entertainment,"2,"
