init_type,fy3_amt,init_nm
CI,0,Teen RAPP Enhancement
EIR,0,Young Men's Initiative Funding Adjustment
EIRS,1827,
CI,0,Digital Inclusion and Literacy
EIR,14800,COMPASS Elementary
CI,0,Trans Equity Programs
SAV,-2525,Vacancy Reductions
CI,0,Council Enhancements
CI,0,Discharge Planning
CI,0,Social Adult Day Care
CI,0,Access Health
CI,0,Legal Services for Low Income New Yorkers.
CIS,0,
CI,0,Cultural Immigrant Initiative
EIR,0,Youth Health Initiative
CSP,-1686,
CI,0,Veterans Homelessness Prevention
CIS,0,
CI,0,Youth Build
CI,0,Local Initiative Reallocations
CI,0,Beating Hearts
CI,0,Green Jobs Corps Program
SAV,-1686,Vacancy Reductions
CI,0,Job Training and Placement Initiative
CI,0,Senior Centers for Immigrant Populations
EIR,6,Collective Bargaining (ABI Local 211 )
EIR,0,Summer Youth Employment Program
EIR,0,Terminal Leave
EIR,15000,Senior Center Model Budget Food
CI,0,City Council Member Items Reallocation
CI,0,City Council Enhancements
CI,0,School Buses
CI,0,CC Member Items 113
CI,0,Local Initiatives
EIR,1478,Rumblers
BAS,7798749,
EIRS,23,
EIR,0,Technical Adjustment
EIR,0,CEC Adjustment
EIR,0,Foster Care Taskforce.
CI,0,Adult Literacy
EIR,0,Rolls
EIR,0,Senior Enhancements
CI,0,Local Initiatives
BAS,526745,
CI,0,NYC Support Our Seniors Initiative
EIR,0,Home Delivered Meals
CSP,-20577,
CI,0,HIV/AIDS - End the Epidemic
EIR,0,OEO Funding Adjustment
EIR,0,Motor Fuel
CI,0,NYC Cleanup Initiative
CI,0,Big Brothers Big Sisters
EIR,0,"Work, Learn, Grow (Year-Round Employment)"
EIR,45,Lease Adjustment
EIRS,14800,
EIR,4775,Additional Traffic Enforcement Agents (TEAs)
EIR,0,DFTA NYCHA Senior Club Funding
CI,0,Court-Involved Youth MH
BAS,246884,
EIR,0,Trash Pick-Up
CI,0,Local Initiatives
EIR,-80,Office of Economic Opportunity Realignment
SAV,-1068,Vacancy Reduction
BAS,1734605,
CI,0,A Greener NYC
CI,0,Afterschool Enrichment
CI,0,Access to Crisis and Emergency Services
CI,0,Local Initiatives
CI,0,Veterans Initiative
CI,0,Connect
EIR,0,NORC Supportive Service Mayoral
CI,0,Legal Services for Workplace Rights
EIR,0,Low Wage Worker Initiative
EIR,2810,NYCHA JOBS PLUS
CI,0,Cancer Services
EIR,0,Poll Site Interpretation
CI,0,CASA
CI,0,Communities of Color Non-Profit Stabilization Fund
CI,0,Trans Equity Programs
CI,0,Trans Equity Programs
CI,0,City Council Enhancements
CI,0,Local Initiatives
CI,0,Local Initiative
CI,0,HIV/AIDS Faith Based
EIRS,95,
CI,0,"Senior Centers, Programs, and Services Restoration"
CI,0,City's First Readers Initiative
CI,0,City Council Enhancements
EIRS,0,
CI,0,Legal Services for the Working Poor
EIR,95,DC37 Labor Funding Adjustment
EIR,0,Get Alarmed NYC
CIS,0,
EIR,0,08-010 Lump Sum
BAS,1827519,
EIR,5,DC 37 Collective Bargaining
CI,0,Step In and Stop It Initiative to Address Bystander Intervention
CI,0,Reproductive and Sexual Health Services
EIR,6,Collective Bargaining
CI,0,Access to Food and Nutritional Education
CIS,0,
BAS,1398641,
SAV,0,Highway Shoulder & Ramp Cleaning Restoration
EIR,0,Legal Services for Workplace
CIS,0,
CI,0,Viral Hepatitis Prevention
SAV,-44,Vacancy Reductions
EIR,0,Motor Fuel
EIR,23,DC 37 Collective Bargaining
CI,0,Food Access and Benefits
EIR,4915,Investigation Division (ID) Resources
EIR,0,SONYC Summer
CI,0,NYC Cleanup Initiative
CI,0,COMPASS Elementary Afterschool
CIS,0,
CI,0,Diversity Inclusion and Equity in Tech Initiative
EIR,897,DC37 Labor Funding Adjustment
CSP,-66,
CI,0,Physical Education and Fitness
CI,0,Elder Abuse Programs
CI,0,Local Initiatives
CSP,-2525,
EIR,0,Fair Futures
CIS,0,
CI,0,Local Initiative
CIS,0,
EIR,0,EMS Revenue Shortfall
EIR,0,OTPS Rolls
CI,0,Child Health and Wellness
CI,0,Case Management Waitlist
CSP,-1068,
CSP,-44,
EIR,0,Adult Literacy
EIRS,-11615,
SAV,-66,Vacancy Reduction
CI,0,Local Initiatives
BAS,5243013,
CI,0,New York Immigrant Family Unity Project
CI,0,Immigrant Opportunity Initiative
CI,0,"LGBT Community Services. This funding supports the Outer Borough LGBT Services Consortium, which works to increase coordinated delivery of h"
CIS,0,
EIRS,15045,
CSP,-481,
CI,0,Local Initiatives
EIRS,2747,
CI,0,Information and Referral Services
CI,0,Local Initiatives
SAV,0,Lot Cleaning Restoration
EIR,349,CB- DC 37 Local 1087
SAV,-481,Vacancy Reductions
BAS,897893,
CI,0,Civic Education in New York City Schools
CI,0,Jill Chaifitz Helpline
CI,0,Homeless Prevention Fund
CI,0,Contraceptive Fund
EIR,-4915,Technical Adjustment
EIRS,0,
CI,0,Access to Critical Services for Seniors (non-ACES)
EIR,0,CB - Backpay Adjustment
BAS,5290457,
CI,0,Wraparound support for transitional-aged foster youth
