funding,fy5_amt
C,0.0
C,0.0
C,349.0
C,0.0
C,14800.0
C,0.0
C,-2525.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,-1686.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,-1686.0
C,0.0
C,0.0
C,6.0
C,0.0
C,0.0
C,15000.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,7788891.0
C,23.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,527943.0
C,0.0
C,0.0
C,-20577.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,45.0
C,14800.0
C,4874.0
C,0.0
C,0.0
C,246882.0
C,0.0
C,0.0
C,-80.0
C,-1068.0
C,1713533.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,95.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,95.0
C,0.0
C,0.0
C,0.0
C,1813296.0
C,5.0
C,0.0
C,0.0
C,6.0
C,0.0
C,0.0
C,1396084.0
C,0.0
C,0.0
C,0.0
C,0.0
C,-44.0
C,0.0
C,23.0
C,0.0
C,4915.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,897.0
C,-66.0
C,0.0
C,0.0
C,0.0
C,-2525.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,-1068.0
C,-44.0
C,0.0
C,-11840.0
C,-66.0
C,0.0
C,5247055.0
C,0.0
C,0.0
C,0.0
C,0.0
C,15045.0
C,-481.0
C,0.0
C,-63.0
C,0.0
C,0.0
C,0.0
C,349.0
C,-481.0
C,897907.0
C,0.0
C,0.0
C,0.0
C,0.0
C,-4915.0
C,0.0
C,0.0
C,0.0
C,5290453.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,918748.0
C,1273937.0
C,0.0
C,0.0
C,0.0
C,5771.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
