pub_dt,act,agen
20200928,0,Prior Payable Adjustment
20210311,0,Prior Payable Adjustment
20200928,159,Fire
20200928,1077,Homeless Services
20201113,0,Capital Stabilization Reserve
20201020,287,Sanitation
20200928,412,Sanitation
20201113,65,Health and Mental Hygiene
20201113,69,Transportation
20210311,748,Correction
20201020,125,Parks and Recreation
20201218,157,Sanitation
20201113,485,Environmental Protection
20200928,-2,Intra-City Expenses
20201020,1620,Homeless Services
20210311,96,Homeless Services
20200928,41,Parks and Recreation
20200928,344,Police
20201020,1024,Health and Mental Hygiene
20200928,660,Health and Mental Hygiene
20200928,170,Transportation
20201113,206,City University
20210311,941,Social Services
20210311,1468,Citywide Administrative Services
20210311,1491,Health and Mental Hygiene
20200928,1,City University
20201020,311,Environmental Protection
20201020,1749,Education
20210311,1340,Fire
20210311,6389,Social Services
20201218,164,Admin. for Children's Services
20201020,0,Prior Payable Adjustment
20200928,817,Pensions
20201020,241,Correction
20201020,1004,Police
20201020,833,Admin. for Children's Services
20201113,953,Admin. for Children's Services
20201113,802,Social Services
20200928,1741,Social Services
20201020,-4,Intra-City Expenses
20210311,0,Prior Payable Adjustment
20201113,0,Capital Stabilization Reserve
20200928,0,Capital Stabilization Reserve
20200928,386,Housing Preservation and Dev.
20200928,583,Admin. for Children's Services
20201113,2485,All Other
20201113,173,Environmental Protection
20200928,-2,Intra-City Expenses
20201113,1248,Debt Service
20201113,1763,Homeless Services
20201020,660,Police
20210311,2157,Homeless Services
20210311,611,Police
20201020,262,Fire
20210311,3229,Police
20210311,250,Fire
20201113,265,Debt Service
20201020,494,Housing Preservation and Dev.
20201020,0,Capital Stabilization Reserve
20210311,863,Environmental Protection
20200928,460,Citywide Administrative Services
20201113,143,Homeless Services
20200928,41,Parks and Recreation
20201113,0,General Reserve
20210311,3999,All Other
20201113,38,Parks and Recreation
20201113,95,Correction
20200928,837,Debt Service
20201113,160,Fire
20210311,318,Parks and Recreation
20201020,0,Prior Payable Adjustment
20210311,4196,Miscellaneous
20201113,1089,Health and Mental Hygiene
20200928,763,Miscellaneous
20201020,748,Miscellaneous
20210311,456,Debt Service
20201113,164,Sanitation
20200928,4471,Education
20210311,5777,Pensions
20201113,-26,Intra-City Expenses
20200928,0,Capital Stabilization Reserve
20210311,1641,Admin. for Children's Services
20201020,0,General Reserve
20210311,1846,Debt Service
20201113,390,Health + Hospitals
20201113,1426,Citywide Administrative Services
20200928,1118,All Other
20201218,609,Social Services
20200928,0,Prior Payable Adjustment
20210311,1628,Sanitation
20201218,89,Housing Preservation and Dev.
20210311,133,Health + Hospitals
20201020,1511,Miscellaneous
20200928,583,Admin. for Children's Services
20201020,6219,Education
20200928,386,Housing Preservation and Dev.
20201020,542,Homeless Services
20210311,821,Pensions
20210311,50,Parks and Recreation
20201218,142,Homeless Services
20210311,0,Capital Stabilization Reserve
20201218,94,Environmental Protection
20201218,85,Correction
20201020,110,City University
20210311,0,Capital Stabilization Reserve
20200928,817,Pensions
20200928,0,General Reserve
20210311,0,General Reserve
20200928,1118,All Other
20201113,2125,Education
20201020,996,All Other
20210311,719,Miscellaneous
20200928,660,Health and Mental Hygiene
20210311,130,Health and Mental Hygiene
20200928,1741,Social Services
20201020,822,Pensions
20201020,185,Transportation
20201113,411,Police
20200928,344,Police
20201113,65,Housing Preservation and Dev.
20200928,4471,Education
20200928,159,Fire
20200928,2,Health + Hospitals
20201113,3033,Social Services
20210311,-49,Intra-City Expenses
20201113,0,Prior Payable Adjustment
20201020,490,Social Services
20201020,2231,Social Services
20210311,1499,Education
20201020,365,Health and Mental Hygiene
20201020,2115,All Other
20210311,423,City University
20201113,819,Pensions
20200928,837,Debt Service
20201113,336,Correction
20201218,169,Fire
20201020,699,Sanitation
20201113,424,Transportation
20201113,863,Sanitation
20201113,385,Health + Hospitals
20210311,928,Health + Hospitals
20201113,559,Housing Preservation and Dev.
20201113,96,City University
20201113,120,Admin. for Children's Services
20201113,0,Prior Payable Adjustment
20201218,396,Police
20201113,1415,Police
20210311,15761,Education
20200928,763,Miscellaneous
20210311,795,Housing Preservation and Dev.
20201020,1640,Pensions
20200928,0,General Reserve
20201020,0,Capital Stabilization Reserve
20200928,82,Correction
20210311,32,City University
20200928,82,Correction
20201020,109,City University
20200928,116,Environmental Protection
20201020,195,Environmental Protection
20200928,1077,Homeless Services
20201113,0,General Reserve
20210311,84,Transportation
20200928,2,Health + Hospitals
20210311,94,Environmental Protection
20201113,-22,Intra-City Expenses
20200928,1,City University
20201218,101,Health and Mental Hygiene
20201113,582,Fire
20201020,0,General Reserve
20201020,250,Admin. for Children's Services
20210311,9,Housing Preservation and Dev.
20201113,2458,Pensions
20201113,2004,Miscellaneous
20201020,109,Housing Preservation and Dev.
20201020,983,Debt Service
20201020,-2,Intra-City Expenses
20201113,8344,Education
20201113,372,All Other
20201020,355,Transportation
20200928,412,Sanitation
20200928,460,Citywide Administrative Services
20201020,3,Health + Hospitals
20200928,170,Transportation
20201020,1371,Citywide Administrative Services
20201020,5,Health + Hospitals
20210311,292,Sanitation
20210311,131,Correction
20210311,723,Transportation
20201113,54,Citywide Administrative Services
20201113,164,Parks and Recreation
20201113,493,Miscellaneous
20201020,422,Fire
20200928,116,Environmental Protection
20210311,414,All Other
20201020,159,Correction
20210311,117,Admin. for Children's Services
20201020,85,Parks and Recreation
20201020,146,Debt Service
20210311,9,Citywide Administrative Services
20201020,911,Citywide Administrative Services
