city,agency_name
60,Borough President - Queens
14,Civil Service Commission
68,Department of Emergency Management
228,Department of Small Business Services
1079,Board of Elections
896,Department of Probation
10980,Department of Social Services
179,Department of City Planning
17664,Police Department
383,Department of Investigation
69,Borough President - Brooklyn
440,Financial Information Services Agency
896,Department of Probation
46,Office of the Actuary
440,Financial Information Services Agency
658,Office of the Comptroller
10942,Fire Department
2209,Department of Homeless Services
75,Landmarks Preservation Commission
591,City Council
230,Department of Small Business Services
1940,Law Department
17,Office of Collective Bargaining
73,City Clerk
11044,Department of Social Services
7317,Administration for Children's Services
178,Department of City Planning
58,Borough President - Manhattan
1106,Mayoralty
73,City Clerk
22649,Department of Education
650,NYC Taxi and Limousine Commission
226,Department of Small Business Services
6629,Fire Department
157,Commission on Human Rights
157,Commission on Human Rights
39,Independent Budget Office
60,Borough President - Queens
39,Independent Budget Office
7317,Administration for Children's Services
1940,Law Department
2110,Department of Homeless Services
222,Department for the Aging
48,Borough President - Staten Island
22649,Department of Education
17,Office of Collective Bargaining
47,Department of Veterans' Services
57,Public Advocate
236,Civilian Complaint Review Board
22649,Department of Education
75,Landmarks Preservation Commission
383,Department of Investigation
94725,Department of Education
157,Commission on Human Rights
178,Department of City Planning
17,Office of Collective Bargaining
62,Tax Commission
71,Borough President - Bronx
17664,Police Department
7060,Department of Correction
46,Office of the Actuary
57,Public Advocate
896,Department of Probation
58,Borough President - Manhattan
10935,Fire Department
36201,Police Department
75,Landmarks Preservation Commission
15,Equal Employment Practices Commission
383,Department of Investigation
3753,City University
26,Conflicts of Interest Board
14,Civil Service Commission
1079,Board of Elections
179,Community Boards (Total of 59)
440,Financial Information Services Agency
47,Department of Veterans' Services
71,Borough President - Bronx
26,Conflicts of Interest Board
57,Public Advocate
26,Conflicts of Interest Board
110,Campaign Finance Board
62,Tax Commission
6399,Fire Department
1940,Law Department
160,Office of Payroll Administration
110,Campaign Finance Board
7060,Department of Correction
3753,City University
60,Department of Cultural Affairs
7317,Administration for Children's Services
6629,Fire Department
14,Civil Service Commission
2110,Department of Homeless Services
71,Borough President - Bronx
441,Department of Youth and Community Development
46,Office of the Actuary
650,NYC Taxi and Limousine Commission
441,Department of Youth and Community Development
57,Public Advocate
658,Office of the Comptroller
73,City Clerk
2110,Department of Homeless Services
17,Office of Collective Bargaining
650,NYC Taxi and Limousine Commission
69,Borough President - Brooklyn
46,Office of the Actuary
60,Borough President - Queens
26,Conflicts of Interest Board
2021,Department of Correction
22649,Department of Education
236,Civilian Complaint Review Board
160,Office of Payroll Administration
177,Department of City Planning
3753,City University
60,Department of Cultural Affairs
236,Civilian Complaint Review Board
94725,Department of Education
160,Office of Payroll Administration
38,Board of Correction
7317,Administration for Children's Services
94676,Department of Education
47,Department of Veterans' Services
219,Civilian Complaint Review Board
17448,Police Department
36201,Police Department
224,Department for the Aging
2021,Department of Correction
6533,City University
68,Department of Emergency Management
157,Commission on Human Rights
10942,Fire Department
6533,City University
69,Borough President - Brooklyn
1100,Mayoralty
160,Office of Payroll Administration
10942,Fire Department
224,Department for the Aging
222,Department for the Aging
1940,Law Department
6629,Fire Department
68,Department of Emergency Management
179,Community Boards (Total of 59)
58,Borough President - Manhattan
14,Civil Service Commission
11044,Department of Social Services
3753,City University
6533,City University
15,Equal Employment Practices Commission
73,City Clerk
650,NYC Taxi and Limousine Commission
440,Financial Information Services Agency
15,Equal Employment Practices Commission
39,Independent Budget Office
110,Campaign Finance Board
226,Department of Small Business Services
58,Borough President - Manhattan
68,Department of Emergency Management
179,Community Boards (Total of 59)
1988,Department of Correction
17664,Police Department
60,Borough President - Queens
7060,Department of Correction
62,Tax Commission
62,Tax Commission
60,Department of Cultural Affairs
47,Department of Veterans' Services
60,Department of Cultural Affairs
38,Board of Correction
48,Borough President - Staten Island
658,Office of the Comptroller
383,Department of Investigation
501,Department of Youth and Community Development
48,Borough President - Staten Island
591,City Council
36201,Police Department
36178,Police Department
2021,Department of Correction
591,City Council
69,Borough President - Brooklyn
6533,City University
1079,Board of Elections
1098,Mayoralty
15,Equal Employment Practices Commission
896,Department of Probation
38,Board of Correction
11044,Department of Social Services
1098,Mayoralty
75,Landmarks Preservation Commission
39,Independent Budget Office
94725,Department of Education
7219,Department of Correction
179,Community Boards (Total of 59)
868,City Council
441,Department of Youth and Community Development
658,Office of the Comptroller
151,Campaign Finance Board
38,Board of Correction
48,Borough President - Staten Island
1079,Board of Elections
71,Borough President - Bronx
