voted,election
3461.0,2024 Presidential Primary
34179.0,2024 General Election
4612.0,2024 Presidential Primary
2400.0,2024 State Primary
55000.0,2024 General Election
3837.0,2024 Presidential Primary
28393.0,2024 General Election
44624.0,2024 General Election
3876.0,2024 State Primary
2213.0,2024 Presidential Primary
7042.0,2024 Presidential Primary
44227.0,2024 General Election
2755.0,2024 State Primary
3172.0,2024 State Primary
56371.0,2024 General Election
54896.0,2024 General Election
3335.0,2024 State Primary
7088.0,2024 State Primary
50517.0,2024 General Election
2834.0,2024 Presidential Primary
1707.0,2024 Presidential Primary
30369.0,2024 General Election
43576.0,2024 General Election
1639.0,2024 Presidential Primary
2888.0,2024 State Primary
2259.0,2024 State Primary
2354.0,2024 Presidential Primary
2195.0,2024 Presidential Primary
46067.0,2024 General Election
2977.0,2024 Presidential Primary
1534.0,2024 Presidential Primary
3987.0,2024 State Primary
6121.0,2024 Presidential Primary
26166.0,2024 General Election
33967.0,2024 General Election
1055.0,2024 Presidential Primary
3168.0,2024 State Primary
37762.0,2024 General Election
4033.0,2024 State Primary
63315.0,2024 General Election
4196.0,2024 State Primary
7276.0,2024 State Primary
29712.0,2024 General Election
3716.0,2024 State Primary
2712.0,2024 Presidential Primary
4632.0,2024 State Primary
,2024 State Primary
2186.0,2024 State Primary
51555.0,2024 General Election
14226.0,2024 State Primary
