borough,lot,longitude,nta,owner_name
MANHATTAN,45,-73.99667,West Village,VILLAGE HOTEL LLC
MANHATTAN,16,-74.009143,Battery Park City-Lower Manhattan,SCCQ DOWNTOWN LLC
MANHATTAN,7,-74.005399,Battery Park City-Lower Manhattan,151 MAIDEN LLC
MANHATTAN,38,-74.001706,Battery Park City-Lower Manhattan,"HHC 33 PECK SLIP HOLDINGS, LLC"
MANHATTAN,50,-73.994495,SoHo-TriBeCa-Civic Center-Little Italy,9876 BOWERY REALTY CORP
MANHATTAN,23,-73.996378,Chinatown,"50 BOWERY HOLDINGS, LLC"
MANHATTAN,1209,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1249,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,3,-73.9912,East Village,33 COOPER SQUARE ASSOCIATES LLC
MANHATTAN,1265,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,NEWMONT SOHO LLC
MANHATTAN,1263,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1207,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1225,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1267,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,67,-73.98926,Chinatown,ALLEN STREET OWNER LLC
MANHATTAN,1220,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,"246 SPRING STREET NY, LLC"
MANHATTAN,12,-74.008755,SoHo-TriBeCa-Civic Center-Little Italy,95 WEST BROADWAY HOLDINGS LLC
MANHATTAN,55,-73.996883,SoHo-TriBeCa-Civic Center-Little Italy,196 GRAND LLC
MANHATTAN,1216,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,RIVA RIDGE LTD
MANHATTAN,8,-73.994553,Chinatown,ANCHOR REALTY CORP
MANHATTAN,23,-73.992984,Chinatown,PCK REALTY INC
MANHATTAN,37,-74.01345,Battery Park City-Lower Manhattan,THE KING'S COLLEGE
MANHATTAN,16,-73.994665,Chinatown,125 BOWERY INC
MANHATTAN,19,-73.999953,SoHo-TriBeCa-Civic Center-Little Italy,CRI 11 HOWARD STREET LLC
MANHATTAN,1,-73.988533,East Village,NEW YORK UNIVERSITY
MANHATTAN,41,-74.007242,Battery Park City-Lower Manhattan,120-122 WATER STREET LLC
MANHATTAN,1272,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,8,-74.006694,Battery Park City-Lower Manhattan,110 WALL STREET L.P.
MANHATTAN,17,-74.002272,Battery Park City-Lower Manhattan,"SEAPORT HOSPITALITY,  LLC"
MANHATTAN,1275,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,9,-73.999628,Chinatown,RICE BOWL REALTY CORP
MANHATTAN,41,-73.9882,Chinatown,LUDLOW STREET HOSPITALITY LLC
MANHATTAN,1001,-74.005771,Battery Park City-Lower Manhattan,BEEKMAN GROUND TENANT LLC
MANHATTAN,1256,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,"DUBOFF, MINDY"
MANHATTAN,36,-73.99268,Chinatown,SARA PARK MANAGEMENT INC
MANHATTAN,1601,-73.991464,Chinatown,UNAVAILABLE OWNER
MANHATTAN,1213,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1211,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1102,-73.99,Chinatown,UNAVAILABLE OWNER
MANHATTAN,18,-73.988689,East Village,NEW YORK UNIVERSITY
MANHATTAN,2,-74.014323,Battery Park City-Lower Manhattan,GOLDEN SEAHORSE LLC
MANHATTAN,1254,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,SOHO 1404 LLC
MANHATTAN,36,-73.986458,Lower East Side,SC DELANCEY LLC
MANHATTAN,47,-73.990144,Chinatown,J&N HOTEL ASSOCIATES LLC
MANHATTAN,16,-74.014976,Battery Park City-Lower Manhattan,"HMC FINANCIAL CENTER, INC."
MANHATTAN,68,-74.005372,SoHo-TriBeCa-Civic Center-Little Italy,SOHO 54 LLC.
MANHATTAN,1271,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1257,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,39,-74.012421,Battery Park City-Lower Manhattan,"32 PEARL, LLC"
MANHATTAN,38,-74.013475,Battery Park City-Lower Manhattan,"JITEN HOTEL MANAGEMENT SERVICES, INC."
MANHATTAN,1102,-74.010092,Battery Park City-Lower Manhattan,INN ON BROADWAY US INC.
MANHATTAN,17,-73.993106,Chinatown,"HARLEN SALES CO.,INC."
MANHATTAN,1,-73.997388,SoHo-TriBeCa-Civic Center-Little Italy,CORAL BROOME STREET LLC
MANHATTAN,1303,-74.008043,Battery Park City-Lower Manhattan,EBNB 70 PINE OWNER LLC
MANHATTAN,39,-73.984803,East Village,MIDON REALTY CORP
MANHATTAN,20,-73.994993,SoHo-TriBeCa-Civic Center-Little Italy,"HANBEE REALTY,"
MANHATTAN,1224,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,33,-74.012638,Battery Park City-Lower Manhattan,"B.H. 8 STONE STREET AG, LLC"
MANHATTAN,29,-73.995155,SoHo-TriBeCa-Civic Center-Little Italy,CHUNKIEN REALTY CORP
MANHATTAN,1243,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1302,-74.008043,Battery Park City-Lower Manhattan,UNAVAILABLE OWNER
MANHATTAN,11,-74.007654,Battery Park City-Lower Manhattan,55 JOHN STREET DII LLC
MANHATTAN,5,-73.993402,Chinatown,225 BOWERY LLC
MANHATTAN,1202,-74.006864,Battery Park City-Lower Manhattan,5 BEEKMAN HOTEL OWNER LLC
MANHATTAN,1002,-74.007874,Battery Park City-Lower Manhattan,"75 WALL HOTEL, LLC"
MANHATTAN,4,-74.010504,Battery Park City-Lower Manhattan,"CDL (NEW YORK) LIMITED, L.P."
MANHATTAN,9002,-74.01711,Battery Park City-Lower Manhattan,URBAN COMMONS 2 WEST IV LLC
MANHATTAN,1266,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,"TJSD PROPERTIES, LLC"
MANHATTAN,30,-74.006644,Battery Park City-Lower Manhattan,LAM PLATT STREET HOTEL LLC
MANHATTAN,7,-74.002644,SoHo-TriBeCa-Civic Center-Little Italy,BRIDGETON 396 BROADWAY FEE LLC
MANHATTAN,29,-73.992547,Chinatown,ELDRIDGE HOTEL LLC
MANHATTAN,9,-73.991879,East Village,321 BOWERY
MANHATTAN,1201,-74.01402,Battery Park City-Lower Manhattan,123 WASHINGTON LLC
MANHATTAN,43,-74.010398,Battery Park City-Lower Manhattan,SOUTH WILLIAM ST ASSOC
MANHATTAN,38,-74.007055,Battery Park City-Lower Manhattan,"HCIN WATER STREET ASSOCIATES, LLC"
MANHATTAN,1218,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,15,-73.995505,Chinatown,"93 BOWERY HOLDINGS, LLC"
MANHATTAN,17,-73.999278,SoHo-TriBeCa-Civic Center-Little Italy,UNAVAILABLE OWNER
MANHATTAN,1259,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,24,-74.000635,SoHo-TriBeCa-Civic Center-Little Italy,TAI FOOK CORP
MANHATTAN,7,-73.990085,East Village,2 ST.MARKS PL HOTELCP.
MANHATTAN,1240,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,SOHO 1202 CORP.
MANHATTAN,2,-74.000307,SoHo-TriBeCa-Civic Center-Little Italy,"9 CROSBY, LLC"
MANHATTAN,1231,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
MANHATTAN,1226,-74.005253,SoHo-TriBeCa-Civic Center-Little Italy,BAYROCK/SAPIR ORGANIZATION LLC
