borocode,street_name,council_district,census_tract,bldg_class
1,WEST 8 STREET,3.0,63.0,HB
1,WILLIAM STREET,1.0,7.0,H3
1,MAIDEN LANE,1.0,1502.0,H2
1,PECK SLIP,1.0,1501.0,HB
1,BOWERY,1.0,41.0,H3
1,BOWERY,1.0,29.0,H9
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,COOPER SQUARE,2.0,38.0,H2
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,ORCHARD STREET,1.0,18.0,H9
1,SPRING STREET,3.0,37.0,RH
1,CHAMBERS STREET,1.0,21.0,H2
1,GRAND STREET,1.0,41.0,H3
1,SPRING STREET,3.0,37.0,RH
1,BOWERY,1.0,18.0,HH
1,HENRY STREET,1.0,8.0,H3
1,GREENWICH STREET,1.0,13.0,H8
1,GRAND STREET,1.0,16.0,HH
1,LAFAYETTE STREET,1.0,45.0,HB
1,3 AVENUE,2.0,40.0,H8
1,WATER STREET,1.0,7.0,HB
1,SPRING STREET,3.0,37.0,RH
1,WALL STREET,1.0,7.0,H9
1,PEARL STREET,1.0,1501.0,H3
1,SPRING STREET,3.0,37.0,RH
1,MULBERRY STREET,1.0,29.0,H3
1,LUDLOW STREET,1.0,3001.0,H3
1,BEEKMAN STREET,1.0,1501.0,RH
1,SPRING STREET,3.0,37.0,RH
1,FORSYTH STREET,1.0,18.0,H3
1,CHRYSTIE STREET,1.0,3601.0,RH
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,ORCHARD STREET,1.0,18.0,RH
1,EAST 7 STREET,2.0,38.0,H8
1,WASHINGTON STREET,1.0,13.0,H2
1,SPRING STREET,3.0,37.0,RH
1,DELANCEY STREET,1.0,1402.0,H3
1,EAST HOUSTON STREET,1.0,3601.0,H3
1,WEST STREET,1.0,13.0,H2
1,WATTS STREET,3.0,37.0,H3
1,SPRING STREET,3.0,37.0,RH
1,SPRING STREET,3.0,37.0,RH
1,PEARL STREET,1.0,9.0,H3
1,GREENWICH STREET,1.0,13.0,H2
1,BROADWAY,1.0,1502.0,RH
1,BOWERY,1.0,3601.0,HR
1,BROOME STREET,1.0,41.0,H8
1,PINE STREET,1.0,7.0,RH
1,1 AVENUE,2.0,40.0,H3
1,BOWERY,1.0,41.0,H9
1,SPRING STREET,3.0,37.0,RH
1,STONE STREET,1.0,9.0,H2
1,BOWERY,1.0,41.0,HR
1,SPRING STREET,3.0,37.0,RH
1,PINE STREET,1.0,7.0,RH
1,JOHN STREET,1.0,1502.0,H8
1,BOWERY,1.0,3601.0,H9
1,NASSAU STREET,1.0,1501.0,RH
1,WALL STREET,1.0,7.0,RH
1,CHURCH STREET,1.0,13.0,H1
1,WEST STREET,1.0,31704.0,RH
1,SPRING STREET,3.0,37.0,RH
1,PLATT STREET,1.0,1502.0,H3
1,BROADWAY,1.0,31.0,H2
1,ELDRIDGE STREET,1.0,16.0,H9
1,EAST 2 STREET,2.0,3602.0,H8
1,WASHINGTON STREET,1.0,13.0,RH
1,SOUTH WILLIAM STREET,1.0,9.0,HB
1,WATER STREET,1.0,7.0,H3
1,SPRING STREET,3.0,37.0,RH
1,BOWERY,1.0,16.0,H2
1,BROOME STREET,1.0,45.0,H3
1,SPRING STREET,3.0,37.0,RH
1,CANAL STREET,1.0,45.0,H3
1,COOPER SQUARE,2.0,38.0,H3
