the_geom,url_report,borough,address,block
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0079956808312, 40.70914367293416], [-74.00818676474364, 40.70896172385602], [-74.00828338776134, 40.70904094390491], [-74.00829260247686, 40.709048499429535], [-74.00811397831698, 40.70922960762691], [-74.0079956808312, 40.70914367293416]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0055.pdf,MN,44 John Street,67
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97936850474406, 40.78855110157599], [-73.97955602151954, 40.788292659736776], [-73.97960299222927, 40.788312416042636], [-73.97961052886879, 40.78831558623868], [-73.97942301460981, 40.78857402816604], [-73.97936850474406, 40.78855110157599]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1682.pdf,MN,326 West 85th Street,1246
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00703388965964, 40.71348559159323], [-74.00728880235525, 40.71318057192081], [-74.00778853863724, 40.713407856869374], [-74.00759210627156, 40.71365573460632], [-74.00742389509745, 40.71357957229494], [-74.00737561084082, 40.713640494933266], [-74.00703388965964, 40.71348559159323]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1751.pdf,MN,256-257 and 253 Broadway,134
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98623594849398, 40.768608329273896], [-73.98619936801563, 40.76859294429788], [-73.98616276978882, 40.768577553905004], [-73.98635013375062, 40.76832070041348], [-73.98650726824799, 40.76838678166446], [-73.98631990352182, 40.76864363540888], [-73.98623594849398, 40.768608329273896]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2077.pdf,MN,417-419 West 57th Street,1067
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99067877994447, 40.73678887549262], [-73.99073589955982, 40.736710436879456], [-73.99125492026148, 40.736929658322964], [-73.9911978673626, 40.737008124211506], [-73.99067877994447, 40.73678887549262]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1538.pdf,MN,33 Union Square West,844
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.07947876389446, 40.62931256676738], [-74.07955618323682, 40.62922986170183], [-74.07985250287956, 40.629392236152874], [-74.07977508489692, 40.62947494051515], [-74.07947876389446, 40.62931256676738]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0772.pdf,SI,364 Van Duzer Street,515
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.24937867712833, 40.51153266825192], [-74.24999152495622, 40.511220177533936], [-74.25003195676673, 40.51126047024481], [-74.25011669910485, 40.51134491946162], [-74.25016602160723, 40.51139407290238], [-74.24955236151168, 40.511712011833666], [-74.24937867712833, 40.51153266825192]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2181.pdf,SI,134 Main Street,8028
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97975995097644, 40.726495114293115], [-73.97969123016964, 40.72646620576096], [-73.97973268380125, 40.72640868495063], [-73.98003122169223, 40.726533370252625], [-73.97998865546069, 40.72659126558779], [-73.97975995097644, 40.726495114293115]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2032.pdf,MN,151 Avenue B,392
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.08138906240674, 40.63809448993771], [-74.08140235891601, 40.638041214820674], [-74.08177517783434, 40.638100025247745], [-74.08176059403226, 40.638153096905235], [-74.08138906240674, 40.63809448993771]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2378.pdf,SI,413 Westervelt Avenue,25
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.82987041833107, 40.762857383477126], [-73.82972209641885, 40.76255783435289], [-73.8299954074175, 40.76248517093085], [-73.83027063536295, 40.76241199639623], [-73.83038695614495, 40.76263350128191], [-73.8304496939993, 40.76275296920767], [-73.83060145736304, 40.76304196130773], [-73.83005352831707, 40.76319906255898], [-73.82996965926576, 40.763029686016225], [-73.82995746704597, 40.76303318269624], [-73.82987041833107, 40.762857383477126]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0141.pdf,QN,137-16 Northern Boulevard,4977
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98516048515954, 40.734595339506946], [-73.9851021325186, 40.73457074630492], [-73.98503786488044, 40.73454366149989], [-73.98497980234052, 40.734519191642974], [-73.98491951800737, 40.73449378583795], [-73.9849343465333, 40.7344733741641], [-73.98463935786025, 40.73434927401295], [-73.98481342879523, 40.73411093713955], [-73.98536281482993, 40.73434246944978], [-73.98517475017114, 40.73460135043373], [-73.98516048515954, 40.734595339506946]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0244.pdf,MN,Rutherford Place at East 16th Street,897
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.10773433696116, 40.58400183393969], [-74.10779418051199, 40.583952040951274], [-74.10799021756057, 40.583788927696], [-74.10823632980588, 40.583989407679134], [-74.10802892262909, 40.584159672299776], [-74.10798114766251, 40.58419889091766], [-74.10796623035993, 40.58418698019324], [-74.10773433696116, 40.58400183393969]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1407.pdf,SI,1929 Richmond Road,897
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13549435686153, 40.616141509757725], [-74.13559734235488, 40.61576101507146], [-74.13586102687555, 40.61580529126595], [-74.13583170065647, 40.61591363889867], [-74.1358025491206, 40.61602134784619], [-74.13577546533655, 40.616121413414405], [-74.13575880286734, 40.61618297746189], [-74.13549435686153, 40.616141509757725]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0345.pdf,SI,308 Saint John Avenue,439
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.79918204678764, 40.70442426633694], [-73.79914377226079, 40.70435971104977], [-73.79917352047246, 40.70434906665153], [-73.79915139778457, 40.70431010693789], [-73.79922970752813, 40.704282088086416], [-73.79938136702754, 40.704227822795616], [-73.79945310296382, 40.704343508957635], [-73.79918998425879, 40.70443765371727], [-73.79918204678764, 40.70442426633694]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1940.pdf,QN,90-33 160th Street,9757
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98948694994857, 40.7292753211722], [-73.98970165627033, 40.72898312192855], [-73.98978491572714, 40.729018317619925], [-73.98972352396812, 40.729101870352075], [-73.98969327320883, 40.72914303980258], [-73.98966323789749, 40.729183915698435], [-73.9896271215947, 40.729233065812096], [-73.98957028069596, 40.72931042337094], [-73.98948694994857, 40.7292753211722]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2157.pdf,MN,4 Saint Mark's Place,463
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8379722758472, 40.58083117529171], [-73.83831122869456, 40.58071808394412], [-73.83833952611829, 40.58076716277862], [-73.83839799592202, 40.58086856675587], [-73.83805908856027, 40.58098164221344], [-73.8379722758472, 40.58083117529171]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2527.pdf,QN,259 Beach 116th Street,16212
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01122763548825, 40.703373000993956], [-74.01131808993091, 40.70335233079458], [-74.01131556450811, 40.703343526739935], [-74.01144321014876, 40.70331435555152], [-74.0114542012675, 40.703436404411256], [-74.01126280637396, 40.703480147643496], [-74.01122763548825, 40.703373000993956]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0030.pdf,MN,54 Pearl Street,7
