system,the_geom,communityb,parks,location
X147A-KAYAK0006,"{'type': 'Point', 'coordinates': [-73.88289470613873, 40.83246433773355]}",,,
X336-KAYAK0009,"{'type': 'Point', 'coordinates': [-73.8814407326546, 40.81788648701913]}",202.0,True,Lafayette Ave & Edgewater Rd
B116-KAYAK0004,"{'type': 'Point', 'coordinates': [-73.8849980484169, 40.62913959760067]}",,,End of Rockaway Parkway at Aviation Road
M071-KAYAK0005,"{'type': 'Point', 'coordinates': [-73.9880793591056, 40.78183699308746]}",107.0,False,72nd Street & Hudson River
R079-KAYAK0006,"{'type': 'Point', 'coordinates': [-74.19950362191517, 40.513012228596494]}",,True,Bayview Ave and Prince's Bay
R016-KAYAK0003,"{'type': 'Point', 'coordinates': [-74.09541398879121, 40.56341374084352]}",,,Foot of New Dorp Lane
B073-KAYAK0003,"{'type': 'Point', 'coordinates': [-73.96447171993913, 40.65618044729653]}",,,
Q226-KAYAK0007,"{'type': 'Point', 'coordinates': [-73.93567715156958, 40.769373740491325]}",401.0,True,Vernon Blvd
Q458-KAYAK0009,"{'type': 'Point', 'coordinates': [-73.78253393765878, 40.791269734287255]}",407.0,True,Little Bay
B418-KAYAK0007,"{'type': 'Point', 'coordinates': [-74.01829656983445, 40.67858433495981]}",306.0,True,Coffey Street
X004-KAYAK0002,"{'type': 'Point', 'coordinates': [-73.86730825512917, 40.88445059820575]}",212.0,True,Bronx River Parkway
Q126-KAYAK0005,"{'type': 'Point', 'coordinates': [-73.82472379617205, 40.797245026839384]}",407.0,True,
X307-KAYAK0008,"{'type': 'Point', 'coordinates': [-73.88917025617134, 40.80565757789492]}",202.0,True,E/S Barretto Street & N/O Randall Ave
Q099-KAYAK0003,"{'type': 'Point', 'coordinates': [-73.84169894158131, 40.73910404149398]}",,,
R006-KAYAK0002,"{'type': 'Point', 'coordinates': [-74.25440000005239, 40.50250000016996]}",503.0,False,
X088-KAYAK0004,"{'type': 'Point', 'coordinates': [-73.84886936880663, 40.805161308614714]}",209.0,True,Soundview Avenue & East River
B166D-KAYAK0005,"{'type': 'Point', 'coordinates': [-73.90234759502358, 40.61202244141994]}",318.0,False,Avenue Y & East 69th Street
X039-KAYAK0003,"{'type': 'Point', 'coordinates': [-73.79739699453121, 40.87233770209129]}",228.0,True,Orchard Beach Rd & Lagoon
Q009-KAYAK0002,"{'type': 'Point', 'coordinates': [-73.84878533941853, 40.793242425271195]}",,,Poppenhusen Ave. bet. 115 St. and College Pl.
B057-KAYAK0002,"{'type': 'Point', 'coordinates': [-73.921099999622, 40.58279999982833]}",,,"East bound Belt Parkway, just east of Exit 9 Knapp Street"
M376-KAYAK0007,"{'type': 'Point', 'coordinates': [-73.95969999946226, 40.82059999984869]}",,,"130th Street & Marginal Street, Harlem"
X305-KAYAK0007,"{'type': 'Point', 'coordinates': [-73.88469999951687, 40.82750000036242]}",,,Westchester Avenue or Bruckner Boulevard
M300-KAYAK0006,"{'type': 'Point', 'coordinates': [-73.92094016409682, 40.85764468806712]}",112.0,True,
X002-KAYAK0001,"{'type': 'Point', 'coordinates': [-73.87415332782643, 40.86688972512148]}",,,Kazimiroff Blvd at Bronx River Parkway
M042-KAYAK0002,"{'type': 'Point', 'coordinates': [-73.91763031087324, 40.8743876668788]}",,,
R046-KAYAK0005,"{'type': 'Point', 'coordinates': [-74.0892697476957, 40.567125349390544]}",595.0,True,Father Capadano Blvd
M042-KAYAK0003,"{'type': 'Point', 'coordinates': [-73.9319000004866, 40.8693999999752]}",112.0,True,Dyckman Street & Hudson River
B057-KAYAK0001,"{'type': 'Point', 'coordinates': [-73.9317000002909, 40.60250000016796]}",318.0,True,Ave U Between Burnett St & E 32 St
R117-KAYAK0007,"{'type': 'Point', 'coordinates': [-74.0627999997247, 40.615600000430774]}",,,Hylan Boulevard & Edgewater Street
B431-KAYAK0008,"{'type': 'Point', 'coordinates': [-73.99689362335107, 40.70072652233201]}",,,Between Piers 1 and 2
M071-KAYAK0004,"{'type': 'Point', 'coordinates': [-73.98510834658305, 40.78599911091254]}",107.0,True,79th Street Boat Basin & Hudson River
Q135-KAYAK0006,"{'type': 'Point', 'coordinates': [-73.76827236508763, 40.7794754558791]}",411.0,True,Cross Island Pkwy & Little Neck Bay
Q007-KAYAK0001,"{'type': 'Point', 'coordinates': [-73.77029999991872, 40.59889999955093]}",414.0,True,Beach 35 St & Norton Ave
X118-KAYAK0005,"{'type': 'Point', 'coordinates': [-73.86673090832967, 40.81057928089774]}",209.0,True,Soundview Park
M010-KAYAK0001,"{'type': 'Point', 'coordinates': [-73.96885837709186, 40.774885488538644]}",,,
R005-KAYAK0001,"{'type': 'Point', 'coordinates': [-74.10839733735786, 40.61815587459767]}",,,
Q099-KAYAK0004,"{'type': 'Point', 'coordinates': [-73.84348965653692, 40.763345056954535]}",481.0,True,Grand Central Parkway & Northern Blvd
Q471-KAYAK0010,"{'type': 'Point', 'coordinates': [-73.96006810652572, 40.7385651591028]}",,,
R046-KAYAK0004,"{'type': 'Point', 'coordinates': [-74.06499999962402, 40.589199999583386]}",,,Father Capodanno Boulevard & Sand Lane
B406-KAYAK0006,"{'type': 'Point', 'coordinates': [-73.90535540610057, 40.62739774783106]}",318.0,True,Paerdegat Avenue North
Q454-KAYAK0008,"{'type': 'Point', 'coordinates': [-73.73692941780958, 40.64922890418672]}",413.0,True,Craft Ave & Huxley St
