purpose_of_expenditure,longitude,bin
Forensic data collection,,
Credit card processing fees,,
Credit card processing fees,,
Forensic data collection,,
ACH fee,,
Trust account check order,,
Merchant account fee,,
Forensic data collection,,
Legal services,40.708546,1.0
Legal services,40.708546,1.0
Forensic data collection,,
Forensic data collection,,
ACH fee,,
Credit card processing fees,,
Clover app fee,,
Forensic data collection,,
Clover app fee,,
Legal fees,40.71322,1.0
Event space,,
Forensic data collection,,
Forensic data collection,,
Fundraising event,,
Clover app fee,,
Credit card processing fees,,
Fundraising event,,
Forensic data collection,,
Reimbursement-food for Chabad event,,
Forensic data collection,,
ACH fee,,
ACH fee,,
Forensic data collection,,
Forensic data collection,,
Expense reimbursement: website domain registration; cost of two events,,
Legal services,40.71322,1.0
ACH fee,,
ACH fee,,
Wire transfer fee,,
ACH fee,,
Credit card processing fees,,
Legal services,40.708546,1.0
Legal services,40.71322,1.0
Vetting and investigative services,,
Legal fees,40.708546,1.0
ACH fee,,
ACH fee,,
Fundraising services,,
Vetting and investigative services,40.75309,4.0
Legal services,40.708546,1.0
Event costs,,
Legal services,,
September 2024 legal fees,,
Fundraising services,,
Fundraising services,,
November 2024 legal fees,,
October 2024 legal fees,,
May legal fees,40.708546,1.0
Legal services,40.71322,1.0
Wire fee,,
Advanced retainer fee,,
Legal services,40.71322,1.0
Legal fees,40.71322,1.0
Legal fees,40.71322,1.0
Wire fee,,
ACH fee,,
Vetting and investigative services,,
Fundraising event,40.761042,4.0
ACH fee,,
Legal fees,40.708546,1.0
Legal services,40.71322,1.0
Legal fees,40.71322,1.0
Vetting and investigative services,,
Legal fees,40.708546,1.0
Vetting and investigative services,,
Forensic data collection,,
4/21/24 fundraising event rental fee,,
ACH fee,,
Forensic data collection,,
Legal services,40.708546,1.0
Fundraising event,40.761042,4.0
ACH fee,,
ACH fee,,
Forensic analysis,,
February legal fees,40.708546,1.0
Event costs reimbursement,40.769481,6.0
January 2024 legal fees,40.708546,1.0
January legal fees,40.708546,1.0
Fundraising fee,,
Clover app fee,,
Legal services,40.708546,1.0
Website design and development,,
ACH fee,,
Credit card processing fees,,
Credit card processing fees,,
Vetting and investigative services,,
Vetting and investigative services,,
Wire transfer fee.,,
ACH fee,,
Website development,,
ACH fee,,
Legal fees,40.708546,1.0
Clover app fee,,
Legal services,40.708546,1.0
Credit card processing fees,,
Vetting and investigative services,,
Vetting and investigative services,,
Credit card processing fees,,
LEGAL FEE,40.710975,1.0
Clover app fee,,
Credit card processing fees,,
Legal fees,40.71322,1.0
June legal fees,40.708546,1.0
ACH fee,,
Vetting and investigative services,40.75309,4.0
Legal services,40.71322,1.0
December 2024 legal fees,,
Clover app fee,,
March legal fees,40.708546,1.0
Forensic data collection,,
ACH fee,,
Vetting and investigative services,,
Website development,,
Fundraising services,,
Clover app fee,,
March 2024 fundraising fee,,
Legal services,40.708546,1.0
April legal fees,40.708546,1.0
Wire transfer fee,,
Vetting,,
Clover app fee,,
Credit card processing fees,,
Credit card processing fees,,
Private investigation services,40.752358,3.0
Legal services,40.708546,1.0
Clover app fee,,
Fundraising services,,
Clover app fee,,
Credit card processing fee,,
Forensic data collection,,
Forensic analysis,,
Fundraising services,,
ACH fee,,
Forensic data collection,,
Merchant account fee,,
Vetting and investigative services,,
Vetting,,
Fundraising services,,
