cross_street_1,:@computed_region_f5dn_yrer,ppt_id,zoningnumb
130TH STREET,62.0,,R3-2
WEST STREET,56.0,,C6-4
175TH STREET,41.0,,C2-4
SOUTH 8TH STREET,36.0,,C4-3
EAST 59 STREET,23.0,136969.0,C5-3
MAIDEN LANE,56.0,,C5-3
AVENUE OF THE AMERICAS,,122136.0,C6-6
WEST 190TH STREET,47.0,,R7-2
GOUVERNEUR LANE,56.0,,C6-9
NEWPORT STREET,55.0,,C1-3
MURRAY STREET,56.0,,C6-4
GUY R BREWER BOULEVARD,41.0,,R3-1
EAST 86TH STREET,23.0,119917.0,R10
Stanley Ave,45.0,,M1-1
EAST 49 STREET,71.0,121822.0,C6-6
WEST 190 STREET,47.0,,R7-2
WILLIAM STREET,56.0,,C6-4
11 AVENUE,12.0,134852.0,C1-9
Odell Street,58.0,,R6 / C2-2
McGraw Avenue,58.0,,C4-2
WASHINGTON STREET,57.0,,C6-2A
46th Ave,53.0,,M3-1
OLD SLIP,56.0,,C6-9
3 AVENUE,71.0,121358.0,C5-3
EAST 43RD STREET,11.0,,C5-3
WASHINGTON STREET,57.0,,C1-7A
5th St,53.0,,M1-4/R7A
FDR DRIVE,23.0,,R9
PARK AVENUE,11.0,,C5-2
WEST 42 STREET,11.0,122814.0,C6-6
CABRINI BOULEVARD,47.0,,R7-2
Borden Ave,53.0,,R10 / C2-5
STUYVESANT AVENUE,69.0,,R6B
N Basin Rd,53.0,,M3-1
WEST 29 STREET,11.0,134444.0,C6-4X
18TH STREET,39.0,,M3-1
WEST 44 STREET,12.0,142001.0,C6-4
47th Rd,53.0,,M3-1
HILLSIDE AVENUE,41.0,,C2-4
YORK AVENUE,23.0,,R9
BRISTOL STREET,55.0,,M1-1
BANGLA BAZAAR,58.0,,R6 / C2-2
EASTERN PARKWAY,55.0,,C2-4
WEST 97 STREET,20.0,120527.0,C1-9
